State,FullStateName,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
AK,Alaska,99501,ANCHORAGE BOROUGH,0,0,0,0,0,1
AK,Alaska,99502,ANCHORAGE BOROUGH,0,0,0,0,0,1
AK,Alaska,99503,ANCHORAGE BOROUGH,0,0,0,0,0,1
AK,Alaska,99504,ANCHORAGE BOROUGH,0,0,0,0,0,1
AK,Alaska,99505,ANCHORAGE BOROUGH,0,0,0,0,0,1
AK,Alaska,99506,ANCHORAGE BOROUGH,0,0,0,0,0,1
AK,Alaska,99507,ANCHORAGE BOROUGH,0,0,0,0,0,1
AK,Alaska,99508,ANCHORAGE BOROUGH,0,0,0,0,0,1
AK,Alaska,99509,ANCHORAGE BOROUGH,0,0,0,0,0,1
AK,Alaska,99510,ANCHORAGE BOROUGH,0,0,0,0,0,1
AK,Alaska,99511,ANCHORAGE BOROUGH,0,0,0,0,0,1
AK,Alaska,99513,ANCHORAGE BOROUGH,0,0,0,0,0,1
AK,Alaska,99514,ANCHORAGE BOROUGH,0,0,0,0,0,1
AK,Alaska,99515,ANCHORAGE BOROUGH,0,0,0,0,0,1
AK,Alaska,99516,ANCHORAGE BOROUGH,0,0,0,0,0,1
AK,Alaska,99517,ANCHORAGE BOROUGH,0,0,0,0,0,1
AK,Alaska,99518,ANCHORAGE BOROUGH,0,0,0,0,0,1
AK,Alaska,99519,ANCHORAGE BOROUGH,0,0,0,0,0,1
AK,Alaska,99520,ANCHORAGE BOROUGH,0,0,0,0,0,1
AK,Alaska,99521,ANCHORAGE BOROUGH,0,0,0,0,0,1
AK,Alaska,99522,ANCHORAGE BOROUGH,0,0,0,0,0,1
AK,Alaska,99523,ANCHORAGE BOROUGH,0,0,0,0,0,1
AK,Alaska,99524,ANCHORAGE BOROUGH,0,0,0,0,0,1
AK,Alaska,99529,ANCHORAGE BOROUGH,0,0,0,0,0,1
AK,Alaska,99530,ANCHORAGE BOROUGH,0,0,0,0,0,1
AK,Alaska,99540,ANCHORAGE BOROUGH,0,0,0,0,0,3
AK,Alaska,99545,ALASKA,0,0,0,0,0,1
AK,Alaska,99546,ADAK,0,0.04,0,0.04,0,1
AK,Alaska,99547,ATKA,0,0,0,0,0,1
AK,Alaska,99548,LAKE AND PENINSULA BOROUGH,0,0,0,0,0,1
AK,Alaska,99549,PORT HEIDEN,0,0,0,0,0,1
AK,Alaska,99550,KODIAK ISLAND BOROUGH,0,0,0,0,0,1
AK,Alaska,99551,ALASKA,0,0,0,0,0,1
AK,Alaska,99552,AKIAK,0,0,0,0,0,1
AK,Alaska,99553,AKUTAN,0,0,0,0,0,1
AK,Alaska,99554,ALAKANUK,0,0.04,0,0.04,0,1
AK,Alaska,99555,ALEKNAGIK,0,0.05,0,0.05,0,1
AK,Alaska,99556,KENAI PENINSULA BURROUGH,0,0.03,0.03,0,0,2
AK,Alaska,99557,ANIAK,0,0.02,0,0.02,0,3
AK,Alaska,99558,ANVIK,0,0,0,0,0,1
AK,Alaska,99559,BETHEL,0,0.06,0,0.06,0,4
AK,Alaska,99561,CHEFORNAK,0,0.02,0,0.02,0,1
AK,Alaska,99563,CHEVAK,0,0.03,0,0.03,0,1
AK,Alaska,99564,CHIGNIK,0,0.02,0,0.02,0,1
AK,Alaska,99565,KENAI,0,0.06,0.03,0.03,0,1
AK,Alaska,99566,ALASKA STATE,0,0,0,0,0,1
AK,Alaska,99567,ANCHORAGE BOROUGH,0,0,0,0,0,1
AK,Alaska,99568,KENAI PENINSULA BURROUGH,0,0.03,0.03,0,0,1
AK,Alaska,99569,CLARKS POINT,0,0.06,0,0.06,0,1
AK,Alaska,99571,COLD BAY,0,0,0,0,0,1
AK,Alaska,99572,KENAI PENINSULA BURROUGH,0,0.03,0.03,0,0,1
AK,Alaska,99573,ALASKA STATE,0,0,0,0,0,1
AK,Alaska,99574,CORDOVA,0,0.06,0,0.06,0,2
AK,Alaska,99575,ALASKA STATE,0,0,0,0,0,1
AK,Alaska,99576,DILLINGHAM,0,0.06,0,0.06,0,3
AK,Alaska,99577,ANCHORAGE BOROUGH,0,0,0,0,0,1
AK,Alaska,99578,EEK,0,0.02,0,0.02,0,1
AK,Alaska,99579,EGEGIK,0,0,0,0,0,1
AK,Alaska,99580,EKWOK,0,0,0,0,0,1
AK,Alaska,99581,EMMONAK,0,0.04,0,0.04,0,1
AK,Alaska,99583,FALSE PASS,0,0.03,0,0.03,0,1
AK,Alaska,99585,MARSHALL,0,0.04,0,0.04,0,1
AK,Alaska,99586,ALASKA STATE,0,0,0,0,0,4
AK,Alaska,99587,ANCHORAGE BOROUGH,0,0,0,0,0,2
AK,Alaska,99588,ALASKA STATE,0,0,0,0,0,1
AK,Alaska,99589,GOODNEWS BAY,0,0,0,0,0,1
AK,Alaska,99590,GRAYLING,0,0,0,0,0,1
AK,Alaska,99591,SAINT GEORGE,0,0,0,0,0,2
AK,Alaska,99599,ANCHORAGE BOROUGH,0,0,0,0,0,1
AK,Alaska,99602,HOLY CROSS,0,0,0,0,0,1
