State,FullStateName,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
AL,Alabama,35004,MOODY,0.04,0.1,0,0.04,0.02,2
AL,Alabama,35005,ADAMSVILLE,0.04,0.1,0.01,0.04,0.01,1
AL,Alabama,35006,JEFFERSON COUNTY,0.04,0.06,0.01,0,0.01,2
AL,Alabama,35007,ALABASTER,0.04,0.09,0.01,0.04,0,1
AL,Alabama,35010,ALEXANDER,0.04,0.1,0.02,0.04,0,1
AL,Alabama,35013,ALLGOOD,0.04,0.1,0.03,0.03,0,1
AL,Alabama,35014,TALLADEGA COUNTY,0.04,0.07,0.03,0,0,1
AL,Alabama,35015,IRONDALE,0.04,0.1,0.01,0.04,0.01,1
AL,Alabama,35016,ARAB (MARSHALL CO),0.04,0.09,0,0.05,0,1
AL,Alabama,35019,CULLMAN COUNTY,0.04,0.085,0.045,0,0,1
AL,Alabama,35020,BESSEMER,0.04,0.1,0.01,0.04,0.01,2
AL,Alabama,35021,BESSEMER,0.04,0.1,0.01,0.04,0.01,1
AL,Alabama,35022,BESSEMER,0.04,0.1,0.01,0.04,0.01,4
AL,Alabama,35023,HUEYTOWN,0.04,0.1,0.01,0.04,0.01,4
AL,Alabama,35031,BLOUNT COUNTY,0.04,0.07,0.03,0,0,1
AL,Alabama,35032,BON AIR TOWN,0.04,0.05,0.01,0,0,1
AL,Alabama,35033,CULLMAN COUNTY,0.04,0.085,0.045,0,0,2
AL,Alabama,35034,BIBB COUNTY,0.04,0.08,0.04,0,0,1
AL,Alabama,35035,BIBB COUNTY,0.04,0.08,0.04,0,0,1
AL,Alabama,35036,GARDENDALE,0.04,0.1,0.01,0.04,0.01,2
AL,Alabama,35038,DORA,0.04,0.09,0.02,0.03,0,1
AL,Alabama,35040,CALERA (SHELBY CO),0.04,0.09,0.01,0.04,0,1
AL,Alabama,35042,CENTREVILLE,0.04,0.1,0.04,0.02,0,2
AL,Alabama,35043,CHELSEA,0.04,0.1,0.01,0.05,0,1
AL,Alabama,35044,CHILDERSBURG,0.04,0.09,0.01,0.04,0,2
AL,Alabama,35045,CLANTON,0.04,0.1,0.03,0.03,0,1
AL,Alabama,35046,CHILTON COUNTY,0.04,0.08,0.04,0,0,1
AL,Alabama,35048,CLAY,0.04,0.1,0.01,0.04,0.01,1
AL,Alabama,35049,CLEVELAND PJ,0.04,0.08,0.03,0,0.01,2
AL,Alabama,35051,SHELBY COUNTY,0.04,0.05,0.01,0,0,1
AL,Alabama,35052,ST. CLAIR COUNTY,0.04,0.06,0,0,0.02,1
AL,Alabama,35053,CULLMAN COUNTY,0.04,0.085,0.045,0,0,1
AL,Alabama,35054,ST. CLAIR COUNTY,0.04,0.06,0,0,0.02,1
AL,Alabama,35055,CULLMAN,0.04,0.09,0.045,0.005,0,3
AL,Alabama,35056,CULLMAN,0.04,0.09,0.045,0.005,0,1
AL,Alabama,35057,CULLMAN COUNTY,0.04,0.085,0.045,0,0,2
AL,Alabama,35058,CULLMAN COUNTY,0.04,0.085,0.045,0,0,1
