State,FullStateName,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
AR,Arkansas,71601,PINE BLUFF,0.065,0.1,0.0125,0.0225,0,4
AR,Arkansas,71602,PINE BLUFF,0.065,0.1,0.0125,0.0225,0,2
AR,Arkansas,71603,PINE BLUFF,0.065,0.1,0.0125,0.0225,0,1
AR,Arkansas,71630,ARKANSAS CITY,0.065,0.08,0.015,0,0,1
AR,Arkansas,71631,BRADLEY COUNTY,0.065,0.085,0.02,0,0,3
AR,Arkansas,71635,ASHLEY COUNTY,0.065,0.08,0.015,0,0,2
AR,Arkansas,71638,DERMOTT,0.065,0.105,0.02,0.02,0,1
AR,Arkansas,71639,DUMAS,0.065,0.11,0.015,0.03,0,1
AR,Arkansas,71640,EUDORA,0.065,0.105,0.02,0.02,0,1
AR,Arkansas,71642,ASHLEY COUNTY,0.065,0.08,0.015,0,0,2
AR,Arkansas,71643,GOULD,0.065,0.115,0.02,0.03,0,3
AR,Arkansas,71644,JEFFERSON COUNTY,0.065,0.0775,0.0125,0,0,3
AR,Arkansas,71646,ASHLEY COUNTY,0.065,0.08,0.015,0,0,9
AR,Arkansas,71647,BRADLEY COUNTY,0.065,0.085,0.02,0,0,8
AR,Arkansas,71651,BRADLEY COUNTY,0.065,0.085,0.02,0,0,2
AR,Arkansas,71652,CLEVELAND COUNTY,0.065,0.0975,0.0325,0,0,2
AR,Arkansas,71653,LAKE VILLAGE,0.065,0.105,0.02,0.02,0,1
AR,Arkansas,71654,MCGEHEE,0.065,0.11,0.015,0.03,0,1
AR,Arkansas,71655,MONTICELLO,0.065,0.0975,0.0225,0.01,0,1
AR,Arkansas,71658,ASHLEY COUNTY,0.065,0.08,0.015,0,0,4
AR,Arkansas,71659,JEFFERSON COUNTY,0.065,0.0775,0.0125,0,0,2
AR,Arkansas,71660,CLEVELAND COUNTY,0.065,0.0975,0.0325,0,0,3
AR,Arkansas,71661,ASHLEY COUNTY,0.065,0.08,0.015,0,0,2
AR,Arkansas,71662,DESHA COUNTY,0.065,0.08,0.015,0,0,1
AR,Arkansas,71663,ASHLEY COUNTY,0.065,0.08,0.015,0,0,1
AR,Arkansas,71665,CLEVELAND COUNTY,0.065,0.0975,0.0325,0,0,11
AR,Arkansas,71667,LINCOLN COUNTY,0.065,0.085,0.02,0,0,8
AR,Arkansas,71670,DESHA COUNTY,0.065,0.08,0.015,0,0,1
AR,Arkansas,71671,WARREN,0.065,0.095,0.02,0.01,0,5
AR,Arkansas,71674,DESHA COUNTY,0.065,0.08,0.015,0,0,1
AR,Arkansas,71675,DREW COUNTY,0.065,0.0875,0.0225,0,0,1
AR,Arkansas,71676,WILMOT,0.065,0.1,0.015,0.02,0,1
AR,Arkansas,71677,WINCHESTER,0.065,0.0875,0.0225,0,0,1
AR,Arkansas,71678,LINCOLN COUNTY,0.065,0.085,0.02,0,0,1
AR,Arkansas,71701,CAMDEN,0.065,0.1075,0.025,0.0175,0,1
AR,Arkansas,71720,OUACHITA COUNTY,0.065,0.09,0.025,0,0,1
AR,Arkansas,71721,CLARK COUNTY,0.065,0.08,0.015,0,0,1
AR,Arkansas,71722,BLUFF CITY,0.065,0.085,0.02,0,0,1
AR,Arkansas,71724,CALION,0.065,0.085,0.02,0,0,1
AR,Arkansas,71725,DALLAS COUNTY,0.065,0.085,0.02,0,0,1
AR,Arkansas,71726,OUACHITA COUNTY,0.065,0.09,0.025,0,0,1
AR,Arkansas,71728,CLARK COUNTY,0.065,0.08,0.015,0,0,1
AR,Arkansas,71730,EL DORADO,0.065,0.0975,0.02,0.0125,0,1
AR,Arkansas,71731,EL DORADO,0.065,0.0975,0.02,0.0125,0,1
AR,Arkansas,71740,COLUMBIA COUNTY,0.065,0.08,0.015,0,0,1
AR,Arkansas,71742,FORDYCE,0.065,0.1,0.02,0.015,0,1
AR,Arkansas,71743,GURDON,0.065,0.095,0.015,0.015,0,1
AR,Arkansas,71744,CALHOUN COUNTY,0.065,0.09,0.025,0,0,1
AR,Arkansas,71745,HARRELL,0.065,0.09,0.025,0,0,1
AR,Arkansas,71747,UNION COUNTY,0.065,0.085,0.02,0,0,1
AR,Arkansas,71748,DALLAS COUNTY,0.065,0.085,0.02,0,0,1
AR,Arkansas,71749,UNION COUNTY,0.065,0.085,0.02,0,0,1
AR,Arkansas,71750,UNION COUNTY,0.065,0.085,0.02,0,0,1
AR,Arkansas,71751,OUACHITA COUNTY,0.065,0.09,0.025,0,0,1
AR,Arkansas,71752,COLUMBIA COUNTY,0.065,0.08,0.015,0,0,1
AR,Arkansas,71753,MAGNOLIA,0.065,0.10375,0.015,0.02375,0,1
AR,Arkansas,71754,MAGNOLIA,0.065,0.10375,0.015,0.02375,0,1
AR,Arkansas,71758,UNION COUNTY,0.065,0.085,0.02,0,0,1
AR,Arkansas,71759,NORPHLET,0.065,0.085,0.02,0,0,1
AR,Arkansas,71762,SMACKOVER,0.065,0.085,0.02,0,0,1
AR,Arkansas,71763,DALLAS COUNTY,0.065,0.085,0.02,0,0,2
AR,Arkansas,71764,OUACHITA COUNTY,0.065,0.09,0.025,0,0,1
AR,Arkansas,71765,UNION COUNTY,0.065,0.085,0.02,0,0,1
AR,Arkansas,71766,THORNTON,0.065,0.1,0.025,0.01,0,1
AR,Arkansas,71770,COLUMBIA COUNTY,0.065,0.08,0.015,0,0,1
