State,FullStateName,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
AZ,Arizona,85001,PHOENIX,0.056,0.086,0.007,0.023,0,1
AZ,Arizona,85002,PHOENIX,0.056,0.086,0.007,0.023,0,1
AZ,Arizona,85003,PHOENIX,0.056,0.086,0.007,0.023,0,1
AZ,Arizona,85004,PHOENIX,0.056,0.086,0.007,0.023,0,1
AZ,Arizona,85005,PHOENIX,0.056,0.086,0.007,0.023,0,1
AZ,Arizona,85006,PHOENIX,0.056,0.086,0.007,0.023,0,1
AZ,Arizona,85007,PHOENIX,0.056,0.086,0.007,0.023,0,1
AZ,Arizona,85008,PHOENIX,0.056,0.086,0.007,0.023,0,1
AZ,Arizona,85009,PHOENIX,0.056,0.086,0.007,0.023,0,1
AZ,Arizona,85010,PHOENIX,0.056,0.086,0.007,0.023,0,1
AZ,Arizona,85011,PHOENIX,0.056,0.086,0.007,0.023,0,1
AZ,Arizona,85012,PHOENIX,0.056,0.086,0.007,0.023,0,1
AZ,Arizona,85013,PHOENIX,0.056,0.086,0.007,0.023,0,1
AZ,Arizona,85014,PHOENIX,0.056,0.086,0.007,0.023,0,1
AZ,Arizona,85015,PHOENIX,0.056,0.086,0.007,0.023,0,1
AZ,Arizona,85016,PHOENIX,0.056,0.086,0.007,0.023,0,1
AZ,Arizona,85017,PHOENIX,0.056,0.086,0.007,0.023,0,1
AZ,Arizona,85018,PHOENIX,0.056,0.086,0.007,0.023,0,1
AZ,Arizona,85019,PHOENIX,0.056,0.086,0.007,0.023,0,1
AZ,Arizona,85020,PHOENIX,0.056,0.086,0.007,0.023,0,1
AZ,Arizona,85021,PHOENIX,0.056,0.086,0.007,0.023,0,1
AZ,Arizona,85022,PHOENIX,0.056,0.086,0.007,0.023,0,1
AZ,Arizona,85023,PHOENIX,0.056,0.086,0.007,0.023,0,1
AZ,Arizona,85024,PHOENIX,0.056,0.086,0.007,0.023,0,1
AZ,Arizona,85026,PHOENIX,0.056,0.086,0.007,0.023,0,1
AZ,Arizona,85027,PHOENIX,0.056,0.086,0.007,0.023,0,1
