State,FullStateName,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
CA,California,90001,LOS ANGELES COUNTY,0.06,0.095,0.0025,0,0.0325,2
CA,California,90002,LOS ANGELES,0.06,0.095,0.0025,0,0.0325,2
CA,California,90003,LOS ANGELES,0.06,0.095,0.0025,0,0.0325,1
CA,California,90004,LOS ANGELES,0.06,0.095,0.0025,0,0.0325,2
CA,California,90005,LOS ANGELES,0.06,0.095,0.0025,0,0.0325,2
CA,California,90006,LOS ANGELES,0.06,0.095,0.0025,0,0.0325,2
CA,California,90007,LOS ANGELES,0.06,0.095,0.0025,0,0.0325,2
CA,California,90008,LOS ANGELES,0.06,0.095,0.0025,0,0.0325,5
CA,California,90009,LOS ANGELES TOURISM MARKETING DISTRICT,0.06,0.095,0.0025,0,0.0325,1
CA,California,90010,LOS ANGELES,0.06,0.095,0.0025,0,0.0325,2
CA,California,90011,LOS ANGELES,0.06,0.095,0.0025,0,0.0325,1
CA,California,90012,LOS ANGELES,0.06,0.095,0.0025,0,0.0325,3
CA,California,90013,LOS ANGELES,0.06,0.095,0.0025,0,0.0325,3
CA,California,90014,LOS ANGELES,0.06,0.095,0.0025,0,0.0325,1
CA,California,90015,LOS ANGELES,0.06,0.095,0.0025,0,0.0325,1
CA,California,90016,LOS ANGELES,0.06,0.095,0.0025,0,0.0325,2
CA,California,90017,LOS ANGELES,0.06,0.095,0.0025,0,0.0325,2
CA,California,90018,LOS ANGELES,0.06,0.095,0.0025,0,0.0325,3
CA,California,90019,LOS ANGELES,0.06,0.095,0.0025,0,0.0325,2
CA,California,90020,LOS ANGELES,0.06,0.095,0.0025,0,0.0325,2
CA,California,90021,LOS ANGELES,0.06,0.095,0.0025,0,0.0325,2
CA,California,90022,LOS ANGELES COUNTY,0.06,0.095,0.0025,0,0.0325,3
CA,California,90023,LOS ANGELES,0.06,0.095,0.0025,0,0.0325,3
CA,California,90024,LOS ANGELES,0.06,0.095,0.0025,0,0.0325,2
CA,California,90025,LOS ANGELES,0.06,0.095,0.0025,0,0.0325,2
CA,California,90026,LOS ANGELES,0.06,0.095,0.0025,0,0.0325,5
CA,California,90027,LOS ANGELES,0.06,0.095,0.0025,0,0.0325,3
CA,California,90028,LOS ANGELES,0.06,0.095,0.0025,0,0.0325,2
CA,California,90029,LOS ANGELES,0.06,0.095,0.0025,0,0.0325,2
CA,California,90030,LOS ANGELES,0.06,0.095,0.0025,0,0.0325,1
CA,California,90031,LOS ANGELES,0.06,0.095,0.0025,0,0.0325,2
CA,California,90032,LOS ANGELES,0.06,0.095,0.0025,0,0.0325,1
CA,California,90033,LOS ANGELES,0.06,0.095,0.0025,0,0.0325,2
CA,California,90034,LOS ANGELES,0.06,0.095,0.0025,0,0.0325,2
CA,California,90035,LOS ANGELES,0.06,0.095,0.0025,0,0.0325,2
CA,California,90036,LOS ANGELES,0.06,0.095,0.0025,0,0.0325,4
CA,California,90037,LOS ANGELES,0.06,0.095,0.0025,0,0.0325,2
CA,California,90038,LOS ANGELES,0.06,0.095,0.0025,0,0.0325,4
CA,California,90039,LOS ANGELES,0.06,0.095,0.0025,0,0.0325,2
CA,California,90040,COMMERCE,0.06,0.1025,0.0025,0.0075,0.0325,2
CA,California,90041,LOS ANGELES,0.06,0.095,0.0025,0,0.0325,2
CA,California,90042,LOS ANGELES,0.06,0.095,0.0025,0,0.0325,2
CA,California,90043,LOS ANGELES,0.06,0.095,0.0025,0,0.0325,4
CA,California,90044,LOS ANGELES,0.06,0.095,0.0025,0,0.0325,2
