State,FullStateName,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
CO,Colorado,80001,ARVADA (JEFFERSON CO),0.029,0.0796,0.005,0.0346,0.011,1
CO,Colorado,80002,ARVADA (JEFFERSON CO),0.029,0.0796,0.005,0.0346,0.011,1
CO,Colorado,80003,ARVADA (JEFFERSON CO),0.029,0.0796,0.005,0.0346,0.011,4
CO,Colorado,80004,ARVADA (JEFFERSON CO),0.029,0.0796,0.005,0.0346,0.011,1
CO,Colorado,80005,ARVADA (JEFFERSON CO),0.029,0.0796,0.005,0.0346,0.011,4
CO,Colorado,80006,ARVADA (JEFFERSON CO),0.029,0.0796,0.005,0.0346,0.011,1
CO,Colorado,80007,ARVADA (JEFFERSON CO),0.029,0.0796,0.005,0.0346,0.011,1
CO,Colorado,80010,AURORA (ADAMS CO),0.029,0.085,0.0075,0.0375,0.011,2
CO,Colorado,80011,AURORA (ARAPAHOE CO),0.029,0.08,0.0025,0.0375,0.011,2
CO,Colorado,80012,AURORA (ARAPAHOE CO),0.029,0.08,0.0025,0.0375,0.011,4
CO,Colorado,80013,AURORA (ARAPAHOE CO),0.029,0.08,0.0025,0.0375,0.011,2
CO,Colorado,80014,AURORA (ARAPAHOE CO),0.029,0.08,0.0025,0.0375,0.011,4
CO,Colorado,80015,AURORA (ARAPAHOE CO),0.029,0.08,0.0025,0.0375,0.011,4
CO,Colorado,80016,AURORA (ARAPAHOE CO),0.029,0.08,0.0025,0.0375,0.011,5
CO,Colorado,80017,AURORA (ARAPAHOE CO),0.029,0.08,0.0025,0.0375,0.011,2
CO,Colorado,80018,AURORA CD ONLY,0.029,0.07,0.0025,0.0375,0.001,2
CO,Colorado,80019,AURORA (ADAMS CO),0.029,0.085,0.0075,0.0375,0.011,2
CO,Colorado,80020,BROOMFIELD,0.029,0.0815,0,0.0415,0.011,4
CO,Colorado,80021,WESTMINSTER (JEFFERSON CO),0.029,0.0835,0.005,0.0385,0.011,4
CO,Colorado,80022,COMMERCE,0.029,0.0925,0.0075,0.045,0.011,4
CO,Colorado,80023,BROOMFIELD,0.029,0.0815,0,0.0415,0.011,5
CO,Colorado,80024,ADAMS CO REMAINDER,0.029,0.0475,0.0075,0,0.011,1
CO,Colorado,80025,BOULDER CO REMAINDER,0.029,0.04985,0.00985,0,0.011,1
CO,Colorado,80026,LAFAYETTE,0.029,0.08485,0.00985,0.035,0.011,1
CO,Colorado,80027,LOUISVILLE,0.029,0.08635,0.00985,0.0365,0.011,2
CO,Colorado,80030,WESTMINSTER (ADAMS CO),0.029,0.086,0.0075,0.0385,0.011,3
CO,Colorado,80031,WESTMINSTER (ADAMS CO),0.029,0.086,0.0075,0.0385,0.011,3
CO,Colorado,80033,WHEAT RIDGE,0.029,0.08,0.005,0.035,0.011,3
CO,Colorado,80034,WHEAT RIDGE,0.029,0.08,0.005,0.035,0.011,2
CO,Colorado,80035,WESTMINSTER (ADAMS CO),0.029,0.086,0.0075,0.0385,0.011,3
CO,Colorado,80036,WESTMINSTER (ADAMS CO),0.029,0.086,0.0075,0.0385,0.011,3
CO,Colorado,80037,COMMERCE,0.029,0.0925,0.0075,0.045,0.011,1
CO,Colorado,80038,BROOMFIELD,0.029,0.0815,0,0.0415,0.011,3
CO,Colorado,80040,AURORA (ADAMS CO),0.029,0.085,0.0075,0.0375,0.011,2
CO,Colorado,80041,AURORA (ARAPAHOE CO),0.029,0.08,0.0025,0.0375,0.011,2
CO,Colorado,80042,AURORA (ADAMS CO),0.029,0.085,0.0075,0.0375,0.011,2
CO,Colorado,80044,AURORA (ADAMS CO),0.029,0.085,0.0075,0.0375,0.011,2
CO,Colorado,80045,AURORA (ADAMS CO),0.029,0.085,0.0075,0.0375,0.011,2
CO,Colorado,80046,CENTENNIAL,0.029,0.0675,0.0025,0.025,0.011,2
CO,Colorado,80047,AURORA (ARAPAHOE CO),0.029,0.08,0.0025,0.0375,0.011,2
CO,Colorado,80101,ELBERT COUNTY,0.029,0.039,0.01,0,0,1
CO,Colorado,80102,BENNETT (ADAMS CO),0.029,0.0775,0.0075,0.04,0.001,1
CO,Colorado,80103,ARAPAHOE CO REMAIND CULTU,0.029,0.0325,0.0025,0,0.001,1
CO,Colorado,80104,CASTLE ROCK,0.029,0.079,0.01,0.04,0,1
CO,Colorado,80105,ARAPAHOE CO REMAIND CULTU,0.029,0.0325,0.0025,0,0.001,1
CO,Colorado,80106,EL PASO COUNTY / RTA,0.029,0.0513,0.0123,0,0.01,2
CO,Colorado,80107,ELBERT COUNTY,0.029,0.039,0.01,0,0,1
CO,Colorado,80108,CASTLE ROCK,0.029,0.079,0.01,0.04,0,2
CO,Colorado,80109,CASTLE ROCK,0.029,0.079,0.01,0.04,0,1
CO,Colorado,80110,ENGLEWOOD,0.029,0.0775,0.0025,0.035,0.011,5
CO,Colorado,80111,GREENWOOD VILLAGE,0.029,0.0725,0.0025,0.03,0.011,6
CO,Colorado,80112,CENTENNIAL,0.029,0.0675,0.0025,0.025,0.011,6
CO,Colorado,80113,ENGLEWOOD,0.029,0.0775,0.0025,0.035,0.011,3
CO,Colorado,80116,DOUGLAS COUNTY / CD,0.029,0.04,0.01,0,0.001,1
CO,Colorado,80117,ELBERT COUNTY,0.029,0.039,0.01,0,0,1
CO,Colorado,80118,DOUGLAS COUNTY / CD,0.029,0.04,0.01,0,0.001,1
CO,Colorado,80120,LITTLETON (ARAPAHOE CO),0.029,0.0725,0.0025,0.03,0.011,3
CO,Colorado,80121,CENTENNIAL,0.029,0.0675,0.0025,0.025,0.011,8
CO,Colorado,80122,CENTENNIAL,0.029,0.0675,0.0025,0.025,0.011,4
CO,Colorado,80123,DENVER,0.029,0.0881,0,0.0481,0.011,10
CO,Colorado,80124,LONE TREE,0.029,0.068125,0.01,0.018125,0.011,5
CO,Colorado,80125,DOUGLAS COUNTY / CD,0.029,0.04,0.01,0,0.001,4
CO,Colorado,80126,HIGHLANDS RANCH,0.029,0.05,0.01,0,0.011,4
CO,Colorado,80127,JEFFERSON CO S E LID,0.029,0.05,0.005,0,0.016,5
CO,Colorado,80128,JEFFERSON CO S E LID,0.029,0.05,0.005,0,0.016,3
CO,Colorado,80129,HIGHLANDS RANCH,0.029,0.05,0.01,0,0.011,4
CO,Colorado,80130,HIGHLANDS RANCH,0.029,0.05,0.01,0,0.011,4
CO,Colorado,80131,DOUGLAS,0.029,0.04,0.01,0,0.001,1
CO,Colorado,80132,EL PASO COUNTY / RTA,0.029,0.0513,0.0123,0,0.01,2
CO,Colorado,80133,PALMER LAKE,0.029,0.0713,0.0123,0.03,0,1
CO,Colorado,80134,DOUGLAS CO REMAINDER,0.029,0.05,0.01,0,0.011,3
CO,Colorado,80135,DOUGLAS,0.029,0.04,0.01,0,0.001,2
CO,Colorado,80136,ADAMS CO REMAINDER CULTUR,0.029,0.0375,0.0075,0,0.001,1
CO,Colorado,80137,ADAMS CO REMAINDER CULTUR,0.029,0.0375,0.0075,0,0.001,1
CO,Colorado,80138,PARKER,0.029,0.08,0.01,0.03,0.011,1
CO,Colorado,80150,ENGLEWOOD,0.029,0.0775,0.0025,0.035,0.011,2
CO,Colorado,80151,ENGLEWOOD,0.029,0.0775,0.0025,0.035,0.011,1
CO,Colorado,80155,CENTENNIAL,0.029,0.0675,0.0025,0.025,0.011,2
CO,Colorado,80160,LITTLETON (ARAPAHOE CO),0.029,0.0725,0.0025,0.03,0.011,3
CO,Colorado,80161,LITTLETON (ARAPAHOE CO),0.029,0.0725,0.0025,0.03,0.011,4
CO,Colorado,80162,JEFFERSON CO S E LID,0.029,0.05,0.005,0,0.016,3
CO,Colorado,80163,HIGHLANDS RANCH,0.029,0.05,0.01,0,0.011,4
CO,Colorado,80165,LITTLETON (ARAPAHOE CO),0.029,0.0725,0.0025,0.03,0.011,3
CO,Colorado,80166,LITTLETON (ARAPAHOE CO),0.029,0.0725,0.0025,0.03,0.011,3
CO,Colorado,80201,DENVER,0.029,0.0881,0,0.0481,0.011,1
CO,Colorado,80202,DENVER,0.029,0.0881,0,0.0481,0.011,1
CO,Colorado,80203,DENVER,0.029,0.0881,0,0.0481,0.011,1
CO,Colorado,80204,DENVER,0.029,0.0881,0,0.0481,0.011,1
CO,Colorado,80205,DENVER,0.029,0.0881,0,0.0481,0.011,1
CO,Colorado,80206,DENVER,0.029,0.0881,0,0.0481,0.011,1
CO,Colorado,80207,DENVER,0.029,0.0881,0,0.0481,0.011,1
CO,Colorado,80208,DENVER,0.029,0.0881,0,0.0481,0.011,1
CO,Colorado,80209,DENVER,0.029,0.0881,0,0.0481,0.011,1
CO,Colorado,80210,DENVER,0.029,0.0881,0,0.0481,0.011,1
CO,Colorado,80211,DENVER,0.029,0.0881,0,0.0481,0.011,1
CO,Colorado,80212,DENVER,0.029,0.0881,0,0.0481,0.011,3
CO,Colorado,80214,LAKEWOOD,0.029,0.075,0.005,0.03,0.011,5
CO,Colorado,80215,LAKEWOOD,0.029,0.075,0.005,0.03,0.011,4
CO,Colorado,80216,DENVER,0.029,0.0881,0,0.0481,0.011,1
CO,Colorado,80217,DENVER,0.029,0.0881,0,0.0481,0.011,1
CO,Colorado,80218,DENVER,0.029,0.0881,0,0.0481,0.011,1
CO,Colorado,80219,DENVER,0.029,0.0881,0,0.0481,0.011,1
CO,Colorado,80220,DENVER,0.029,0.0881,0,0.0481,0.011,1
CO,Colorado,80221,ADAMS CO REMAINDER,0.029,0.0475,0.0075,0,0.011,8
CO,Colorado,80222,DENVER,0.029,0.0881,0,0.0481,0.011,1
CO,Colorado,80223,DENVER,0.029,0.0881,0,0.0481,0.011,1
