State,FullStateName,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
CT,Connecticut,6001,CONNECTICUT,0.0635,0.0635,0,0,0,0
CT,Connecticut,6002,CONNECTICUT,0.0635,0.0635,0,0,0,0
CT,Connecticut,6006,CONNECTICUT,0.0635,0.0635,0,0,0,0
CT,Connecticut,6010,CONNECTICUT,0.0635,0.0635,0,0,0,0
CT,Connecticut,6011,CONNECTICUT,0.0635,0.0635,0,0,0,0
CT,Connecticut,6013,CONNECTICUT,0.0635,0.0635,0,0,0,0
CT,Connecticut,6016,CONNECTICUT,0.0635,0.0635,0,0,0,0
CT,Connecticut,6018,CONNECTICUT,0.0635,0.0635,0,0,0,0
CT,Connecticut,6019,CONNECTICUT,0.0635,0.0635,0,0,0,0
CT,Connecticut,6020,CONNECTICUT,0.0635,0.0635,0,0,0,0
CT,Connecticut,6021,CONNECTICUT,0.0635,0.0635,0,0,0,0
CT,Connecticut,6022,CONNECTICUT,0.0635,0.0635,0,0,0,0
CT,Connecticut,6023,CONNECTICUT,0.0635,0.0635,0,0,0,0
CT,Connecticut,6024,CONNECTICUT,0.0635,0.0635,0,0,0,0
CT,Connecticut,6025,CONNECTICUT,0.0635,0.0635,0,0,0,0
CT,Connecticut,6026,CONNECTICUT,0.0635,0.0635,0,0,0,0
CT,Connecticut,6027,CONNECTICUT,0.0635,0.0635,0,0,0,0
CT,Connecticut,6028,CONNECTICUT,0.0635,0.0635,0,0,0,0
CT,Connecticut,6029,CONNECTICUT STATE,0.0635,0.0635,0,0,0,0
CT,Connecticut,6030,CONNECTICUT,0.0635,0.0635,0,0,0,0
CT,Connecticut,6031,CONNECTICUT,0.0635,0.0635,0,0,0,0
CT,Connecticut,6032,CONNECTICUT,0.0635,0.0635,0,0,0,0
CT,Connecticut,6033,CONNECTICUT,0.0635,0.0635,0,0,0,0
CT,Connecticut,6034,CONNECTICUT,0.0635,0.0635,0,0,0,0
CT,Connecticut,6035,CONNECTICUT,0.0635,0.0635,0,0,0,0
CT,Connecticut,6037,CONNECTICUT,0.0635,0.0635,0,0,0,0
CT,Connecticut,6039,CONNECTICUT,0.0635,0.0635,0,0,0,0
CT,Connecticut,6040,CONNECTICUT,0.0635,0.0635,0,0,0,0
CT,Connecticut,6041,CONNECTICUT,0.0635,0.0635,0,0,0,0
CT,Connecticut,6042,CONNECTICUT,0.0635,0.0635,0,0,0,0
CT,Connecticut,6043,CONNECTICUT,0.0635,0.0635,0,0,0,0
CT,Connecticut,6045,CONNECTICUT,0.0635,0.0635,0,0,0,0
CT,Connecticut,6050,CONNECTICUT,0.0635,0.0635,0,0,0,0
CT,Connecticut,6051,CONNECTICUT,0.0635,0.0635,0,0,0,0
CT,Connecticut,6052,CONNECTICUT,0.0635,0.0635,0,0,0,0
CT,Connecticut,6053,CONNECTICUT,0.0635,0.0635,0,0,0,0
CT,Connecticut,6057,CONNECTICUT,0.0635,0.0635,0,0,0,0
CT,Connecticut,6058,CONNECTICUT,0.0635,0.0635,0,0,0,0
CT,Connecticut,6059,CONNECTICUT,0.0635,0.0635,0,0,0,0
CT,Connecticut,6060,CONNECTICUT,0.0635,0.0635,0,0,0,0
CT,Connecticut,6061,CONNECTICUT,0.0635,0.0635,0,0,0,0
CT,Connecticut,6062,CONNECTICUT,0.0635,0.0635,0,0,0,0
CT,Connecticut,6063,CONNECTICUT,0.0635,0.0635,0,0,0,0
CT,Connecticut,6064,CONNECTICUT,0.0635,0.0635,0,0,0,0
CT,Connecticut,6065,CONNECTICUT,0.0635,0.0635,0,0,0,0
CT,Connecticut,6066,CONNECTICUT,0.0635,0.0635,0,0,0,0
CT,Connecticut,6067,CONNECTICUT,0.0635,0.0635,0,0,0,0
CT,Connecticut,6068,CONNECTICUT,0.0635,0.0635,0,0,0,0
CT,Connecticut,6069,CONNECTICUT,0.0635,0.0635,0,0,0,0
CT,Connecticut,6070,CONNECTICUT,0.0635,0.0635,0,0,0,0
CT,Connecticut,6071,CONNECTICUT,0.0635,0.0635,0,0,0,0
CT,Connecticut,6072,CONNECTICUT,0.0635,0.0635,0,0,0,0
CT,Connecticut,6073,CONNECTICUT,0.0635,0.0635,0,0,0,0
CT,Connecticut,6074,CONNECTICUT,0.0635,0.0635,0,0,0,0
CT,Connecticut,6075,CONNECTICUT,0.0635,0.0635,0,0,0,0
CT,Connecticut,6076,CONNECTICUT,0.0635,0.0635,0,0,0,0
CT,Connecticut,6077,CONNECTICUT,0.0635,0.0635,0,0,0,0
