State,FullStateName,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
DC,District of Columbia,,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20002,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20003,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20004,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20005,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20006,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20007,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20008,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20009,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20010,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20011,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20012,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20013,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20015,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20016,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20017,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20018,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20019,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20020,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20022,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20024,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20026,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20027,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20029,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20030,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20032,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20033,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20035,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20036,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20037,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20038,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20039,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20040,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20041,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20042,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20043,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20044,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20045,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20047,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20049,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20052,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20053,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20055,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20056,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20057,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20058,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20059,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20060,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20062,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20063,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20064,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20065,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20066,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20068,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20069,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20070,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20071,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20073,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20076,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20080,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20082,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20090,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20091,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20201,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20202,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20203,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20204,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20206,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20207,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20208,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20210,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
DC,District of Columbia,20211,DISTRICT OF COLUMBIA,0.06,0.06,0,0,0,1
