State,FullStateName,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
FL,Florida,32003,CLAY COUNTY,0.06,0.075,0.015,0,0,2
FL,Florida,32004,ST. JOHNS COUNTY,0.06,0.065,0.005,0,0,2
FL,Florida,32006,CLAY COUNTY,0.06,0.075,0.015,0,0,1
FL,Florida,32007,PUTNAM COUNTY,0.06,0.07,0.01,0,0,1
FL,Florida,32008,LAFAYETTE COUNTY,0.06,0.07,0.01,0,0,1
FL,Florida,32009,NASSAU COUNTY,0.06,0.07,0.01,0,0,1
FL,Florida,32011,NASSAU COUNTY,0.06,0.07,0.01,0,0,1
FL,Florida,32013,LAFAYETTE COUNTY,0.06,0.07,0.01,0,0,1
FL,Florida,32024,COLUMBIA COUNTY,0.06,0.07,0.01,0,0,1
FL,Florida,32025,COLUMBIA COUNTY,0.06,0.07,0.01,0,0,1
FL,Florida,32033,ST. JOHNS COUNTY,0.06,0.065,0.005,0,0,2
FL,Florida,32034,FERDINANDA BEACH,0.06,0.07,0.01,0,0,4
FL,Florida,32035,FERDINANDA BEACH,0.06,0.07,0.01,0,0,3
FL,Florida,32038,COLUMBIA COUNTY,0.06,0.07,0.01,0,0,1
FL,Florida,32040,BAKER COUNTY,0.06,0.07,0.01,0,0,2
FL,Florida,32041,NASSAU COUNTY,0.06,0.07,0.01,0,0,1
FL,Florida,32042,BRADFORD COUNTY,0.06,0.07,0.01,0,0,1
FL,Florida,32043,CLAY COUNTY,0.06,0.075,0.015,0,0,1
FL,Florida,32044,BRADFORD COUNTY,0.06,0.07,0.01,0,0,1
FL,Florida,32046,NASSAU COUNTY,0.06,0.07,0.01,0,0,1
FL,Florida,32050,CLAY COUNTY,0.06,0.075,0.015,0,0,1
FL,Florida,32052,HAMILTON COUNTY,0.06,0.07,0.01,0,0,1
FL,Florida,32053,HAMILTON COUNTY,0.06,0.07,0.01,0,0,1
FL,Florida,32054,UNION COUNTY,0.06,0.07,0.01,0,0,1
