State,FullStateName,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
GA,Georgia,30002,AVONDALE ESTATES,0.04,0.08,0.03,0,0.01,1
GA,Georgia,30003,NORCROSS,0.04,0.06,0.02,0,0,2
GA,Georgia,30004,SOUTH FULTON,0.04,0.0775,0.03,0,0.0075,2
GA,Georgia,30005,ALPHARETTA,0.04,0.0775,0.03,0,0.0075,3
GA,Georgia,30006,MARIETTA,0.04,0.06,0.02,0,0,1
GA,Georgia,30007,MARIETTA,0.04,0.06,0.02,0,0,1
GA,Georgia,30008,COBB COUNTY,0.04,0.06,0.02,0,0,1
GA,Georgia,30009,ALPHARETTA,0.04,0.0775,0.03,0,0.0075,2
GA,Georgia,30010,NORCROSS,0.04,0.06,0.02,0,0,4
GA,Georgia,30011,AUBURN,0.04,0.07,0.03,0,0,1
GA,Georgia,30012,ROCKDALE COUNTY,0.04,0.07,0.03,0,0,1
GA,Georgia,30013,ROCKDALE COUNTY,0.04,0.07,0.03,0,0,1
GA,Georgia,30014,NEWTON COUNTY,0.04,0.07,0.03,0,0,4
GA,Georgia,30015,COVINGTON,0.04,0.07,0.03,0,0,1
GA,Georgia,30016,NEWTON COUNTY,0.04,0.07,0.03,0,0,2
GA,Georgia,30017,GWINNETT COUNTY,0.04,0.06,0.02,0,0,1
GA,Georgia,30018,JERSEY,0.04,0.07,0.03,0,0,1
GA,Georgia,30019,GWINNETT COUNTY,0.04,0.06,0.02,0,0,1
GA,Georgia,30021,CLARKSTON,0.04,0.08,0.03,0,0.01,1
GA,Georgia,30022,SOUTH FULTON,0.04,0.0775,0.03,0,0.0075,3
GA,Georgia,30023,ALPHARETTA,0.04,0.0775,0.03,0,0.0075,1
GA,Georgia,30024,SUWANEE,0.04,0.06,0.02,0,0,3
GA,Georgia,30025,SOCIAL CIRCLE,0.04,0.07,0.03,0,0,1
GA,Georgia,30028,FORSYTH COUNTY,0.04,0.07,0.03,0,0,1
GA,Georgia,30030,DECATUR,0.04,0.08,0.03,0,0.01,1
GA,Georgia,30031,DECATUR,0.04,0.08,0.03,0,0.01,1
GA,Georgia,30032,DEKALB CO TSPLOST SP,0.04,0.08,0.03,0,0.01,3
GA,Georgia,30033,DECATUR,0.04,0.08,0.03,0,0.01,3
GA,Georgia,30034,DEKALB CO TSPLOST SP,0.04,0.08,0.03,0,0.01,1
GA,Georgia,30035,DEKALB CO TSPLOST SP,0.04,0.08,0.03,0,0.01,2
GA,Georgia,30036,DECATUR,0.04,0.08,0.03,0,0.01,1
GA,Georgia,30037,DEKALB CO TSPLOST SP,0.04,0.08,0.03,0,0.01,1
GA,Georgia,30038,STONECREST,0.04,0.08,0.03,0,0.01,1
GA,Georgia,30039,GWINNETT COUNTY,0.04,0.06,0.02,0,0,1
GA,Georgia,30040,FORSYTH COUNTY,0.04,0.07,0.03,0,0,1
GA,Georgia,30041,FORSYTH COUNTY,0.04,0.07,0.03,0,0,1
GA,Georgia,30042,GWINNETT COUNTY,0.04,0.06,0.02,0,0,1
GA,Georgia,30043,GWINNETT COUNTY,0.04,0.06,0.02,0,0,1
GA,Georgia,30044,GWINNETT COUNTY,0.04,0.06,0.02,0,0,1
