State,FullStateName,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
HI,Hawaii,96701,HONOLULU,0.04,0.045,0.005,0,0,1
HI,Hawaii,96703,KAUAI COUNTY,0.04,0.045,0.005,0,0,1
HI,Hawaii,96704,HAWAII COUNTY,0.04,0.045,0.005,0,0,2
HI,Hawaii,96705,KAUAI COUNTY,0.04,0.045,0.005,0,0,1
HI,Hawaii,96706,HONOLULU,0.04,0.045,0.005,0,0,1
HI,Hawaii,96707,HONOLULU,0.04,0.045,0.005,0,0,3
HI,Hawaii,96708,MAUI COUNTY,0.04,0.04,0,0,0,1
HI,Hawaii,96709,HONOLULU,0.04,0.045,0.005,0,0,1
HI,Hawaii,96710,HAWAII COUNTY,0.04,0.045,0.005,0,0,1
HI,Hawaii,96712,HONOLULU,0.04,0.045,0.005,0,0,1
HI,Hawaii,96713,MAUI COUNTY,0.04,0.04,0,0,0,2
HI,Hawaii,96714,KAUAI COUNTY,0.04,0.045,0.005,0,0,1
HI,Hawaii,96715,KAUAI COUNTY,0.04,0.045,0.005,0,0,2
HI,Hawaii,96716,KAUAI COUNTY,0.04,0.045,0.005,0,0,1
HI,Hawaii,96717,HONOLULU,0.04,0.045,0.005,0,0,1
HI,Hawaii,96718,HAWAII COUNTY,0.04,0.045,0.005,0,0,1
HI,Hawaii,96719,HAWAII COUNTY,0.04,0.045,0.005,0,0,1
HI,Hawaii,96720,HAWAII COUNTY,0.04,0.045,0.005,0,0,1
HI,Hawaii,96721,HAWAII COUNTY,0.04,0.045,0.005,0,0,1
HI,Hawaii,96722,KAUAI COUNTY,0.04,0.045,0.005,0,0,1
HI,Hawaii,96725,HAWAII COUNTY,0.04,0.045,0.005,0,0,1
HI,Hawaii,96726,HAWAII COUNTY,0.04,0.045,0.005,0,0,1
HI,Hawaii,96727,HAWAII COUNTY,0.04,0.045,0.005,0,0,3
HI,Hawaii,96728,HAWAII COUNTY,0.04,0.045,0.005,0,0,1
HI,Hawaii,96729,MAUI COUNTY,0.04,0.04,0,0,0,1
HI,Hawaii,96730,HONOLULU,0.04,0.045,0.005,0,0,1
HI,Hawaii,96731,HONOLULU,0.04,0.045,0.005,0,0,1
HI,Hawaii,96732,MAUI COUNTY,0.04,0.04,0,0,0,1
HI,Hawaii,96733,MAUI COUNTY,0.04,0.04,0,0,0,1
HI,Hawaii,96734,HONOLULU,0.04,0.045,0.005,0,0,1
HI,Hawaii,96737,HAWAII COUNTY,0.04,0.045,0.005,0,0,1
HI,Hawaii,96738,HAWAII COUNTY,0.04,0.045,0.005,0,0,1
HI,Hawaii,96739,HAWAII COUNTY,0.04,0.045,0.005,0,0,1
HI,Hawaii,96740,HAWAII COUNTY,0.04,0.045,0.005,0,0,1
HI,Hawaii,96741,KAUAI COUNTY,0.04,0.045,0.005,0,0,1
HI,Hawaii,96742,MAUI COUNTY,0.04,0.04,0,0,0,1
