State,FullStateName,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
IA,Iowa,50001,WARREN COUNTY,0.06,0.07,0.01,0,0,2
IA,Iowa,50002,ADAIR COUNTY,0.06,0.07,0.01,0,0,1
IA,Iowa,50003,DALLAS COUNTY,0.06,0.07,0.01,0,0,1
IA,Iowa,50005,ALBION,0.06,0.07,0.01,0,0,1
IA,Iowa,50006,HARDIN COUNTY,0.06,0.07,0.01,0,0,2
IA,Iowa,50007,ALLEMAN,0.06,0.07,0.01,0,0,1
IA,Iowa,50008,WAYNE COUNTY,0.06,0.07,0.01,0,0,2
IA,Iowa,50009,ALTOONA,0.06,0.07,0.01,0,0,1
IA,Iowa,50010,AMES,0.06,0.07,0.01,0,0,1
IA,Iowa,50011,AMES,0.06,0.07,0.01,0,0,1
IA,Iowa,50012,AMES,0.06,0.07,0.01,0,0,1
IA,Iowa,50013,AMES,0.06,0.07,0.01,0,0,1
IA,Iowa,50014,AMES,0.06,0.07,0.01,0,0,1
IA,Iowa,50020,ANITA ,0.06,0.07,0.01,0,0,2
IA,Iowa,50021,ANKENY,0.06,0.06,0,0,0,1
IA,Iowa,50022,ATLANTIC,0.06,0.07,0.01,0,0,2
IA,Iowa,50023,ANKENY,0.06,0.06,0,0,0,1
IA,Iowa,50025,AUDUBON,0.06,0.07,0.01,0,0,1
IA,Iowa,50026,BAGLEY,0.06,0.07,0.01,0,0,1
IA,Iowa,50027,BARNES CITY,0.06,0.07,0.01,0,0,1
IA,Iowa,50028,JASPER COUNTY,0.06,0.07,0.01,0,0,1
IA,Iowa,50029,BAYARD,0.06,0.07,0.01,0,0,1
IA,Iowa,50031,BEAVER ,0.06,0.07,0.01,0,0,1
IA,Iowa,50032,POLK COUNTY,0.06,0.06,0,0,0,1
IA,Iowa,50033,BEVINGTON,0.06,0.07,0.01,0,0,3
IA,Iowa,50034,HAMILTON COUNTY,0.06,0.07,0.01,0,0,1
IA,Iowa,50035,BONDURANT,0.06,0.07,0.01,0,0,1
IA,Iowa,50036,BOONE,0.06,0.07,0.01,0,0,1
IA,Iowa,50038,DALLAS COUNTY,0.06,0.07,0.01,0,0,1
IA,Iowa,50039,DALLAS COUNTY,0.06,0.07,0.01,0,0,2
IA,Iowa,50040,BOXHOLM ,0.06,0.07,0.01,0,0,1
IA,Iowa,50041,FRANKLIN COUNTY,0.06,0.07,0.01,0,0,1
IA,Iowa,50042,AUDUBON COUNTY,0.06,0.07,0.01,0,0,1
IA,Iowa,50044,BUSSEY,0.06,0.07,0.01,0,0,1
IA,Iowa,50046,CAMBRIDGE ,0.06,0.07,0.01,0,0,1
IA,Iowa,50047,CARLISLE,0.06,0.07,0.01,0,0,4
IA,Iowa,50048,CASEY,0.06,0.07,0.01,0,0,1
IA,Iowa,50049,CHARITON,0.06,0.07,0.01,0,0,2
IA,Iowa,50050,CHURDAN,0.06,0.07,0.01,0,0,1
IA,Iowa,50051,MARSHALL COUNTY,0.06,0.07,0.01,0,0,1
IA,Iowa,50052,WAYNE COUNTY,0.06,0.07,0.01,0,0,1
IA,Iowa,50054,COLFAX,0.06,0.07,0.01,0,0,3
IA,Iowa,50055,STORY COUNTY,0.06,0.07,0.01,0,0,2
IA,Iowa,50056,STORY COUNTY,0.06,0.07,0.01,0,0,1
IA,Iowa,50057,MARION COUNTY,0.06,0.07,0.01,0,0,1
IA,Iowa,50058,COON RAPIDS,0.06,0.07,0.01,0,0,1
IA,Iowa,50059,GREENE COUNTY,0.06,0.07,0,0,0.01,1
IA,Iowa,50060,CORYDON,0.06,0.07,0.01,0,0,3
IA,Iowa,50061,CUMMING,0.06,0.07,0.01,0,0,4
IA,Iowa,50062,MELCHER-DALLAS,0.06,0.07,0.01,0,0,2
IA,Iowa,50063,DALLAS COUNTY,0.06,0.07,0.01,0,0,1
IA,Iowa,50064,DANA,0.06,0.07,0.01,0,0,1
IA,Iowa,50065,DECATUR COUNTY,0.06,0.07,0.01,0,0,2
IA,Iowa,50066,DALLAS COUNTY,0.06,0.07,0.01,0,0,1
IA,Iowa,50067,DECATUR CITY,0.06,0.07,0.01,0,0,2
IA,Iowa,50068,LUCAS COUNTY,0.06,0.07,0.01,0,0,2
IA,Iowa,50069,DE SOTO,0.06,0.07,0.01,0,0,1
IA,Iowa,50070,DEXTER,0.06,0.07,0.01,0,0,1
IA,Iowa,50071,DOWS,0.06,0.07,0.01,0,0,1
IA,Iowa,50072,EARLHAM,0.06,0.07,0.01,0,0,2
IA,Iowa,50073,ELKHART,0.06,0.07,0.01,0,0,3
IA,Iowa,50074,RINGGOLD COUNTY,0.06,0.07,0.01,0,0,2
IA,Iowa,50075,ELLSWORTH,0.06,0.07,0.01,0,0,1
IA,Iowa,50076,AUDUBON COUNTY,0.06,0.07,0.01,0,0,1
IA,Iowa,50078,FERGUSON,0.06,0.07,0.01,0,0,1
IA,Iowa,50101,GALT,0.06,0.07,0.01,0,0,1
IA,Iowa,50102,HARDIN COUNTY,0.06,0.07,0.01,0,0,1
IA,Iowa,50103,DECATUR COUNTY,0.06,0.07,0.01,0,0,2
IA,Iowa,50104,KEOKUK COUNTY,0.06,0.07,0.01,0,0,1
IA,Iowa,50105,STORY COUNTY,0.06,0.07,0.01,0,0,1
IA,Iowa,50106,GILMAN,0.06,0.07,0.01,0,0,1
IA,Iowa,50107,GRAND JUNCTION,0.06,0.07,0.01,0,0,1
IA,Iowa,50108,DECATUR COUNTY,0.06,0.07,0.01,0,0,1
IA,Iowa,50109,POLK COUNTY,0.06,0.06,0,0,0,1
IA,Iowa,50110,GRAY,0.06,0.07,0.01,0,0,1
IA,Iowa,50111,GRIMES,0.06,0.07,0.01,0,0,2
IA,Iowa,50112,GRINNELL,0.06,0.07,0.01,0,0,3
IA,Iowa,50115,GUTHRIE CENTER ,0.06,0.07,0.01,0,0,1
IA,Iowa,50116,HAMILTON,0.06,0.07,0.01,0,0,1
IA,Iowa,50117,AUDUBON COUNTY,0.06,0.07,0.01,0,0,1
IA,Iowa,50118,HARTFORD,0.06,0.07,0.01,0,0,1
IA,Iowa,50119,HARVEY,0.06,0.07,0.01,0,0,1
IA,Iowa,50120,HAVERHILL,0.06,0.07,0.01,0,0,1
IA,Iowa,50122,HARDIN COUNTY,0.06,0.07,0.01,0,0,1
IA,Iowa,50123,HUMESTON,0.06,0.07,0.01,0,0,2
IA,Iowa,50124,HUXLEY,0.06,0.07,0.01,0,0,2
IA,Iowa,50125,INDIANOLA,0.06,0.07,0.01,0,0,4
IA,Iowa,50126,IOWA FALLS,0.06,0.07,0.01,0,0,3
IA,Iowa,50127,JASPER COUNTY,0.06,0.07,0.01,0,0,2
IA,Iowa,50128,JAMAICA,0.06,0.07,0.01,0,0,1
IA,Iowa,50129,JEFFERSON ,0.06,0.07,0.01,0,0,1
IA,Iowa,50130,JEWELL JUNCTION ,0.06,0.07,0.01,0,0,1
IA,Iowa,50131,JOHNSTON ,0.06,0.07,0.01,0,0,2
IA,Iowa,50132,HAMILTON COUNTY,0.06,0.07,0.01,0,0,1
IA,Iowa,50133,KELLERTON,0.06,0.07,0.01,0,0,2
IA,Iowa,50134,STORY COUNTY,0.06,0.07,0.01,0,0,1
IA,Iowa,50135,JASPER COUNTY,0.06,0.07,0.01,0,0,1
IA,Iowa,50136,KEOKUK COUNTY,0.06,0.07,0.01,0,0,1
IA,Iowa,50137,JASPER COUNTY,0.06,0.07,0.01,0,0,1
IA,Iowa,50138,KNOXVILLE,0.06,0.07,0.01,0,0,2
IA,Iowa,50139,WARREN COUNTY,0.06,0.07,0.01,0,0,2
IA,Iowa,50140,LAMONI,0.06,0.07,0.01,0,0,1
IA,Iowa,50141,LAUREL,0.06,0.07,0.01,0,0,1
IA,Iowa,50142,MARSHALL COUNTY,0.06,0.07,0.01,0,0,1
IA,Iowa,50143,MAHASKA COUNTY,0.06,0.07,0.01,0,0,2
IA,Iowa,50144,LEON ,0.06,0.07,0.01,0,0,1
IA,Iowa,50145,WARREN COUNTY,0.06,0.07,0.01,0,0,1
IA,Iowa,50146,DALLAS COUNTY,0.06,0.07,0.01,0,0,1
IA,Iowa,50147,LINEVILLE,0.06,0.07,0.01,0,0,1
IA,Iowa,50148,LISCOMB,0.06,0.07,0.01,0,0,1
IA,Iowa,50149,LORIMOR,0.06,0.07,0.01,0,0,2
IA,Iowa,50150,LOVILIA,0.06,0.07,0.01,0,0,2
IA,Iowa,50151,LUCAS COUNTY,0.06,0.07,0.01,0,0,2
IA,Iowa,50152,LUTHER,0.06,0.07,0.01,0,0,1
IA,Iowa,50153,JASPER COUNTY,0.06,0.07,0.01,0,0,1
IA,Iowa,50154,MCCALLSBURG,0.06,0.07,0.01,0,0,1
IA,Iowa,50155,MACKSBURG,0.06,0.07,0.01,0,0,1
IA,Iowa,50156,MADRID,0.06,0.07,0.01,0,0,2
IA,Iowa,50157,POWESHIEK COUNTY,0.06,0.07,0.01,0,0,1
IA,Iowa,50158,MARSHALLTOWN,0.06,0.07,0.01,0,0,1
IA,Iowa,50160,MARTENSDALE,0.06,0.07,0.01,0,0,2
IA,Iowa,50161,STORY COUNTY,0.06,0.07,0.01,0,0,3
IA,Iowa,50162,MELBOURNE,0.06,0.07,0.01,0,0,2
IA,Iowa,50163,MELCHER-DALLAS,0.06,0.07,0.01,0,0,3
IA,Iowa,50164,MENLO,0.06,0.07,0.01,0,0,1
IA,Iowa,50165,MILLERTON,0.06,0.07,0.01,0,0,1
IA,Iowa,50166,WARREN COUNTY,0.06,0.07,0.01,0,0,1
IA,Iowa,50167,DALLAS COUNTY,0.06,0.07,0.01,0,0,1
IA,Iowa,50168,JASPER COUNTY,0.06,0.07,0.01,0,0,1
IA,Iowa,50169,MITCHELLVILLE,0.06,0.07,0.01,0,0,2
IA,Iowa,50170,MONROE,0.06,0.07,0.01,0,0,1
IA,Iowa,50171,MONTEZUMA,0.06,0.07,0.01,0,0,2
IA,Iowa,50173,MONTOUR,0.06,0.07,0.01,0,0,1
IA,Iowa,50174,MURRAY,0.06,0.07,0,0.01,0,2
IA,Iowa,50201,NEVADA,0.06,0.07,0.01,0,0,3
IA,Iowa,50206,HARDIN COUNTY,0.06,0.07,0.01,0,0,2
IA,Iowa,50207,MAHASKA COUNTY,0.06,0.07,0.01,0,0,4
IA,Iowa,50208,NEWTON,0.06,0.07,0.01,0,0,2
IA,Iowa,50210,WARREN COUNTY,0.06,0.07,0.01,0,0,2
IA,Iowa,50211,NORWALK,0.06,0.07,0.01,0,0,3
IA,Iowa,50212,OGDEN,0.06,0.07,0.01,0,0,1
IA,Iowa,50213,OSCEOLA,0.06,0.07,0,0.01,0,1
IA,Iowa,50214,MARION COUNTY,0.06,0.07,0.01,0,0,3
IA,Iowa,50216,PANORA,0.06,0.07,0.01,0,0,1
IA,Iowa,50217,GREENE COUNTY,0.06,0.07,0,0,0.01,1
IA,Iowa,50218,PATTERSON,0.06,0.07,0.01,0,0,1
IA,Iowa,50219,PELLA,0.06,0.07,0.01,0,0,1
IA,Iowa,50220,PERRY,0.06,0.07,0.01,0,0,2
IA,Iowa,50222,EAST PERU,0.06,0.07,0.01,0,0,2
IA,Iowa,50223,BOONE COUNTY,0.06,0.07,0.01,0,0,1
IA,Iowa,50225,PLEASANTVILLE,0.06,0.07,0.01,0,0,2
IA,Iowa,50226,POLK,0.06,0.07,0.01,0,0,2
IA,Iowa,50227,POPEJOY,0.06,0.07,0.01,0,0,3
IA,Iowa,50228,PRAIRIE CITY,0.06,0.07,0.01,0,0,1
IA,Iowa,50229,WARREN COUNTY,0.06,0.07,0.01,0,0,1
IA,Iowa,50230,HARDIN COUNTY,0.06,0.07,0.01,0,0,1
IA,Iowa,50231,RANDALL,0.06,0.07,0.01,0,0,1
IA,Iowa,50232,JASPER COUNTY,0.06,0.07,0.01,0,0,2
IA,Iowa,50233,DALLAS COUNTY,0.06,0.07,0.01,0,0,2
IA,Iowa,50234,RHODES ,0.06,0.07,0.01,0,0,2
IA,Iowa,50235,RIPPEY,0.06,0.07,0.01,0,0,1
IA,Iowa,50236,ROLAND ,0.06,0.07,0.01,0,0,1
IA,Iowa,50237,POLK COUNTY,0.06,0.06,0,0,0,1
IA,Iowa,50238,LUCAS COUNTY,0.06,0.07,0.01,0,0,3
IA,Iowa,50239,MARSHALL COUNTY,0.06,0.07,0.01,0,0,1
IA,Iowa,50240,WARREN COUNTY,0.06,0.07,0.01,0,0,3
IA,Iowa,50241,SAINT MARYS,0.06,0.07,0.01,0,0,1
IA,Iowa,50242,POWESHIEK COUNTY,0.06,0.07,0.01,0,0,1
IA,Iowa,50243,SHELDAHL,0.06,0.07,0.01,0,0,1
IA,Iowa,50244,SLATER ,0.06,0.07,0.01,0,0,1
IA,Iowa,50246,HAMILTON COUNTY,0.06,0.07,0.01,0,0,1
IA,Iowa,50247,STATE CENTER ,0.06,0.07,0.01,0,0,1
IA,Iowa,50248,STORY CITY,0.06,0.07,0.01,0,0,1
IA,Iowa,50249,STRATFORD,0.06,0.07,0.01,0,0,1
IA,Iowa,50250,STUART,0.06,0.07,0.01,0,0,1
IA,Iowa,50251,SULLY,0.06,0.07,0.01,0,0,1
IA,Iowa,50252,WARREN COUNTY,0.06,0.07,0.01,0,0,1
