State,FullStateName,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
ID,Idaho,83201,POCATELLO CHUBBUCK AUDITORIUM DISTRICT SP,0.06,0.06,0,0,0,4
ID,Idaho,83202,CHUBBUCK,0.06,0.06,0,0,0,3
ID,Idaho,83203,BINGHAM,0.06,0.06,0,0,0,4
ID,Idaho,83204,POCATELLO CHUBBUCK AUDITORIUM DISTRICT SP,0.06,0.06,0,0,0,2
ID,Idaho,83205,POCATELLO CHUBBUCK AUDITORIUM DISTRICT SP,0.06,0.06,0,0,0,2
ID,Idaho,83206,POCATELLO CHUBBUCK AUDITORIUM DISTRICT SP,0.06,0.06,0,0,0,1
ID,Idaho,83209,POCATELLO CHUBBUCK AUDITORIUM DISTRICT SP,0.06,0.06,0,0,0,2
ID,Idaho,83210,ABERDEEN,0.06,0.06,0,0,0,2
ID,Idaho,83211,AMERICAN FALLS,0.06,0.06,0,0,0,3
ID,Idaho,83212,POWER,0.06,0.06,0,0,0,1
ID,Idaho,83213,ARCO,0.06,0.06,0,0,0,2
ID,Idaho,83214,ARIMO,0.06,0.06,0,0,0,4
ID,Idaho,83215,ATOMIC CITY,0.06,0.06,0,0,0,1
ID,Idaho,83217,CARIBOU,0.06,0.06,0,0,0,4
ID,Idaho,83218,BASALT,0.06,0.06,0,0,0,1
ID,Idaho,83220,BEAR LAKE,0.06,0.06,0,0,0,1
ID,Idaho,83221,BLACKFOOT,0.06,0.06,0,0,0,8
ID,Idaho,83223,BLOOMINGTON,0.06,0.06,0,0,0,1
ID,Idaho,83226,CUSTER,0.06,0.06,0,0,0,2
ID,Idaho,83227,CLAYTON,0.06,0.06,0,0,0,2
ID,Idaho,83228,FRANKLIN,0.06,0.06,0,0,0,2
ID,Idaho,83229,LEMHI,0.06,0.06,0,0,0,2
ID,Idaho,83232,DAYTON,0.06,0.06,0,0,0,1
ID,Idaho,83233,BEAR LAKE,0.06,0.06,0,0,0,1
ID,Idaho,83234,BANNOCK,0.06,0.06,0,0,0,2
ID,Idaho,83235,LEMHI,0.06,0.06,0,0,0,2
ID,Idaho,83236,BINGHAM,0.06,0.06,0,0,0,3
ID,Idaho,83237,FRANKLIN,0.06,0.06,0,0,0,1
ID,Idaho,83238,BEAR LAKE,0.06,0.06,0,0,0,2
ID,Idaho,83239,BEAR LAKE,0.06,0.06,0,0,0,1
ID,Idaho,83241,CARIBOU,0.06,0.06,0,0,0,7
ID,Idaho,83243,ONEIDA,0.06,0.06,0,0,0,1
ID,Idaho,83244,BUTTE,0.06,0.06,0,0,0,2
ID,Idaho,83245,BANNOCK,0.06,0.06,0,0,0,1
ID,Idaho,83246,BANNOCK,0.06,0.06,0,0,0,2
ID,Idaho,83250,BANNOCK,0.06,0.06,0,0,0,1
ID,Idaho,83251,MACKAY,0.06,0.06,0,0,0,2
ID,Idaho,83252,ONEIDA,0.06,0.06,0,0,0,6
ID,Idaho,83253,LEMHI,0.06,0.06,0,0,0,4
ID,Idaho,83254,MONTPELIER,0.06,0.06,0,0,0,7
ID,Idaho,83255,BUTTE,0.06,0.06,0,0,0,3
ID,Idaho,83256,BINGHAM,0.06,0.06,0,0,0,1
ID,Idaho,83261,PARIS,0.06,0.06,0,0,0,2
ID,Idaho,83262,BINGHAM,0.06,0.06,0,0,0,1
ID,Idaho,83263,FRANKLIN,0.06,0.06,0,0,0,1
ID,Idaho,83271,ROCKLAND,0.06,0.06,0,0,0,2
ID,Idaho,83272,ST. CHARLES,0.06,0.06,0,0,0,2
ID,Idaho,83274,SHELLEY,0.06,0.06,0,0,0,4
ID,Idaho,83276,SODA SPRINGS,0.06,0.06,0,0,0,1
ID,Idaho,83277,BINGHAM,0.06,0.06,0,0,0,1
ID,Idaho,83278,STANLEY,0.06,0.085,0,0.025,0,5
ID,Idaho,83281,BANNOCK,0.06,0.06,0,0,0,1
ID,Idaho,83283,FRANKLIN,0.06,0.06,0,0,0,3
ID,Idaho,83285,CARIBOU,0.06,0.06,0,0,0,2
ID,Idaho,83286,FRANKLIN,0.06,0.06,0,0,0,2
ID,Idaho,83287,BEAR LAKE,0.06,0.06,0,0,0,1
ID,Idaho,83301,TWIN FALLS,0.06,0.06,0,0,0,4
ID,Idaho,83302,TWIN FALLS,0.06,0.06,0,0,0,3
ID,Idaho,83303,TWIN FALLS,0.06,0.06,0,0,0,1
ID,Idaho,83311,CASSIA,0.06,0.06,0,0,0,1
ID,Idaho,83312,CASSIA,0.06,0.06,0,0,0,1
ID,Idaho,83313,BELLEVUE,0.06,0.06,0,0,0,4
ID,Idaho,83314,GOODING,0.06,0.06,0,0,0,1
ID,Idaho,83316,TWIN FALLS,0.06,0.06,0,0,0,2
