State,FullStateName,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
IL,Illinois,60002,LAKE COUNTY,0.0625,0.07,0,0,0.0075,2
IL,Illinois,60004,ARLINGTON HEIGHTS,0.0625,0.1,0.0175,0.01,0.01,1
IL,Illinois,60005,ARLINGTON HEIGHTS,0.0625,0.1,0.0175,0.01,0.01,1
IL,Illinois,60006,ARLINGTON HEIGHTS,0.0625,0.1,0.0175,0.01,0.01,1
IL,Illinois,60007,ELK GROVE VILLAGE (COOK CO),0.0625,0.1,0.0175,0.01,0.01,1
IL,Illinois,60008,ROLLING MEADOWS,0.0625,0.1,0.0175,0.01,0.01,1
IL,Illinois,60009,ELK GROVE VILLAGE (COOK CO),0.0625,0.1,0.0175,0.01,0.01,1
IL,Illinois,60010,LAKE BARRINGTON,0.0625,0.075,0,0.005,0.0075,16
IL,Illinois,60011,BARRINGTON (COOK CO),0.0625,0.09,0.0175,0,0.01,1
IL,Illinois,60012,MCHENRY COUNTY,0.0625,0.07,0,0,0.0075,4
IL,Illinois,60013,CARY,0.0625,0.07,0,0,0.0075,3
IL,Illinois,60014,CRYSTAL LAKE,0.0625,0.0775,0,0.0075,0.0075,4
IL,Illinois,60015,DEERFIELD (LAKE CO),0.0625,0.08,0,0.01,0.0075,3
IL,Illinois,60016,DES PLAINES,0.0625,0.1,0.0175,0.01,0.01,1
IL,Illinois,60017,DES PLAINES,0.0625,0.1,0.0175,0.01,0.01,1
IL,Illinois,60018,DES PLAINES,0.0625,0.1,0.0175,0.01,0.01,2
IL,Illinois,60019,DES PLAINES,0.0625,0.1,0.0175,0.01,0.01,2
IL,Illinois,60020,FOX LAKE (LAKE CO),0.0625,0.07,0,0,0.0075,3
IL,Illinois,60021,FOX RIVER GROVE (MC HENRY CO),0.0625,0.07,0,0,0.0075,3
IL,Illinois,60022,GLENCOE,0.0625,0.09,0.0175,0,0.01,1
IL,Illinois,60025,GLENVIEW,0.0625,0.0975,0.0175,0.0075,0.01,1
IL,Illinois,60026,GLENVIEW,0.0625,0.0975,0.0175,0.0075,0.01,1
IL,Illinois,60029,GOLF,0.0625,0.09,0.0175,0,0.01,1
IL,Illinois,60030,GRAYSLAKE,0.0625,0.07,0,0,0.0075,7
IL,Illinois,60031,WAUKEGAN,0.0625,0.085,0,0.015,0.0075,1
IL,Illinois,60033,HARVARD,0.0625,0.07,0,0,0.0075,2
IL,Illinois,60034,HEBRON,0.0625,0.07,0,0,0.0075,1
IL,Illinois,60035,HIGHLAND PARK,0.0625,0.08,0,0.01,0.0075,1
IL,Illinois,60037,HIGHWOOD,0.0625,0.0875,0,0.0175,0.0075,2
IL,Illinois,60038,PALATINE,0.0625,0.1,0.0175,0.01,0.01,1
IL,Illinois,60039,CRYSTAL LAKE,0.0625,0.0775,0,0.0075,0.0075,1
IL,Illinois,60040,HIGHWOOD,0.0625,0.0875,0,0.0175,0.0075,1
IL,Illinois,60041,LAKE COUNTY,0.0625,0.07,0,0,0.0075,4
IL,Illinois,60042,ISLAND LAKE (LAKE CO),0.0625,0.07,0,0,0.0075,1
IL,Illinois,60043,KENILWORTH,0.0625,0.09,0.0175,0,0.01,1
IL,Illinois,60044,LAKE BLUFF,0.0625,0.08,0,0.01,0.0075,3
IL,Illinois,60045,LAKE FOREST,0.0625,0.08,0,0.01,0.0075,4
IL,Illinois,60046,LAKE COUNTY,0.0625,0.07,0,0,0.0075,7
IL,Illinois,60047,LAKE ZURICH,0.0625,0.075,0,0.005,0.0075,9
IL,Illinois,60048,LIBERTYVILLE,0.0625,0.08,0,0.01,0.0075,3
IL,Illinois,60050,MCHENRY,0.0625,0.0775,0,0.0075,0.0075,8
IL,Illinois,60051,MCHENRY COUNTY,0.0625,0.07,0,0,0.0075,6
IL,Illinois,60053,MORTON GROVE,0.0625,0.1025,0.0175,0.0125,0.01,1
IL,Illinois,60055,PALATINE,0.0625,0.1,0.0175,0.01,0.01,1
IL,Illinois,60056,MOUNT PROSPECT,0.0625,0.1,0.0175,0.01,0.01,1
IL,Illinois,60060,MUNDELEIN,0.0625,0.08,0,0.01,0.0075,2
IL,Illinois,60061,VERNON HILLS,0.0625,0.0725,0,0.0025,0.0075,2
IL,Illinois,60062,NORTHBROOK (COOK CO),0.0625,0.1,0.0175,0.01,0.01,1
