State,FullStateName,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
IN,Indiana,46001,MADISON,0.07,0.07,0,0,0,0
IN,Indiana,46011,ANDERSON,0.07,0.07,0,0,0,0
IN,Indiana,46012,ANDERSON,0.07,0.07,0,0,0,0
IN,Indiana,46013,ANDERSON,0.07,0.07,0,0,0,0
IN,Indiana,46015,ANDERSON,0.07,0.07,0,0,0,0
IN,Indiana,46016,ANDERSON,0.07,0.07,0,0,0,0
IN,Indiana,46017,MADISON,0.07,0.07,0,0,0,0
IN,Indiana,46018,ANDERSON,0.07,0.07,0,0,0,0
IN,Indiana,46030,HAMILTON,0.07,0.07,0,0,0,0
IN,Indiana,46031,HAMILTON,0.07,0.07,0,0,0,0
IN,Indiana,46032,CARMEL ,0.07,0.07,0,0,0,0
IN,Indiana,46033,CARMEL ,0.07,0.07,0,0,0,0
IN,Indiana,46034,CICERO ,0.07,0.07,0,0,0,0
IN,Indiana,46035,COLFAX ,0.07,0.07,0,0,0,0
IN,Indiana,46036,ELWOOD ,0.07,0.07,0,0,0,0
IN,Indiana,46037,FISHERS ,0.07,0.07,0,0,0,0
IN,Indiana,46038,FISHERS ,0.07,0.07,0,0,0,0
IN,Indiana,46039,CLINTON,0.07,0.07,0,0,0,0
IN,Indiana,46040,FORTVILLE ,0.07,0.07,0,0,0,0
IN,Indiana,46041,FRANKFORT ,0.07,0.07,0,0,0,0
IN,Indiana,46044,MADISON,0.07,0.07,0,0,0,0
IN,Indiana,46045,TIPTON,0.07,0.07,0,0,0,0
IN,Indiana,46047,TIPTON,0.07,0.07,0,0,0,0
IN,Indiana,46048,INGALLS ,0.07,0.07,0,0,0,0
IN,Indiana,46049,TIPTON,0.07,0.07,0,0,0,0
IN,Indiana,46050,CLINTON,0.07,0.07,0,0,0,0
IN,Indiana,46051,LAPEL ,0.07,0.07,0,0,0,0
IN,Indiana,46052,LEBANON ,0.07,0.07,0,0,0,0
IN,Indiana,46055,MCCORDSVILLE ,0.07,0.07,0,0,0,0
IN,Indiana,46056,MADISON,0.07,0.07,0,0,0,0
IN,Indiana,46057,CLINTON,0.07,0.07,0,0,0,0
IN,Indiana,46058,CLINTON,0.07,0.07,0,0,0,0
IN,Indiana,46060,NOBLESVILLE ,0.07,0.07,0,0,0,0
IN,Indiana,46061,NOBLESVILLE ,0.07,0.07,0,0,0,0
IN,Indiana,46062,NOBLESVILLE ,0.07,0.07,0,0,0,0
IN,Indiana,46063,ORESTES ,0.07,0.07,0,0,0,0
IN,Indiana,46064,MADISON,0.07,0.07,0,0,0,0
IN,Indiana,46065,CLINTON,0.07,0.07,0,0,0,0
IN,Indiana,46067,CLINTON,0.07,0.07,0,0,0,0
IN,Indiana,46068,TIPTON,0.07,0.07,0,0,0,0
IN,Indiana,46069,SHERIDAN ,0.07,0.07,0,0,0,0
IN,Indiana,46070,MADISON,0.07,0.07,0,0,0,0
IN,Indiana,46071,BOONE ,0.07,0.07,0,0,0,0
IN,Indiana,46072,TIPTON,0.07,0.07,0,0,0,0
IN,Indiana,46074,WESTFIELD ,0.07,0.07,0,0,0,0
IN,Indiana,46075,WHITESTOWN ,0.07,0.07,0,0,0,0
IN,Indiana,46076,TIPTON,0.07,0.07,0,0,0,0
IN,Indiana,46077, ZIONSVILLE ,0.07,0.07,0,0,0,0
IN,Indiana,46082,CARMEL ,0.07,0.07,0,0,0,0
IN,Indiana,46102,ADVANCE,0.07,0.07,0,0,0,0
IN,Indiana,46103,AMO ,0.07,0.07,0,0,0,0
IN,Indiana,46104,RUSH,0.07,0.07,0,0,0,0
IN,Indiana,46105,PUTNAM,0.07,0.07,0,0,0,0
IN,Indiana,46106,BARGERSVILLE ,0.07,0.07,0,0,0,0
IN,Indiana,46107,BEECH GROVE ,0.07,0.07,0,0,0,0
IN,Indiana,46110,SHELBY,0.07,0.07,0,0,0,0
IN,Indiana,46111,BROOKLYN ,0.07,0.07,0,0,0,0
IN,Indiana,46112,BROWNSBURG ,0.07,0.07,0,0,0,0
