State,FullStateName,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
KS,Kansas,66002,ATCHISON,0.065,0.0875,0.0125,0.01,0,2
KS,Kansas,66006,BALDWIN,0.065,0.09,0.0125,0.0125,0,1
KS,Kansas,66007,BASEHOR,0.065,0.085,0.01,0.01,0,1
KS,Kansas,66008,DONIPHAN COUNTY,0.065,0.075,0.01,0,0,1
KS,Kansas,66010,LINN COUNTY,0.065,0.075,0.01,0,0,1
KS,Kansas,66012,BONNER SPRINGS,0.065,0.0925,0.01,0.0175,0,2
KS,Kansas,66013,MIAMI COUNTY,0.065,0.08,0.015,0,0,4
KS,Kansas,66014,LINN COUNTY,0.065,0.075,0.01,0,0,1
KS,Kansas,66015,ANDERSON COUNTY,0.065,0.08,0.015,0,0,1
KS,Kansas,66016,ATCHISON COUNTY,0.065,0.0775,0.0125,0,0,1
KS,Kansas,66017,DONIPHAN COUNTY,0.065,0.075,0.01,0,0,1
KS,Kansas,66018,DE SOTO (JOHNSON CO),0.065,0.09725,0.01475,0.0175,0,1
KS,Kansas,66020,LEAVENWORTH COUNTY,0.065,0.075,0.01,0,0,1
KS,Kansas,66021,EDGERTON,0.065,0.08975,0.01475,0.01,0,1
KS,Kansas,66023,ATCHISON COUNTY,0.065,0.0775,0.0125,0,0,1
KS,Kansas,66024,ELWOOD,0.065,0.085,0.01,0.01,0,1
KS,Kansas,66025,EUDORA,0.065,0.095,0.0125,0.0175,0,1
KS,Kansas,66026,MIAMI COUNTY,0.065,0.08,0.015,0,0,1
KS,Kansas,66027,LEAVENWORTH COUNTY,0.065,0.075,0.01,0,0,1
KS,Kansas,66030,GARDNER,0.065,0.09475,0.01475,0.015,0,2
KS,Kansas,66031,JOHNSON COUNTY,0.065,0.07975,0.01475,0,0,1
KS,Kansas,66032,ANDERSON COUNTY,0.065,0.08,0.015,0,0,1
KS,Kansas,66033,ANDERSON COUNTY,0.065,0.08,0.015,0,0,1
KS,Kansas,66035,HIGHLAND,0.065,0.085,0.01,0.01,0,1
KS,Kansas,66036,MIAMI COUNTY,0.065,0.08,0.015,0,0,1
KS,Kansas,66039,ANDERSON COUNTY,0.065,0.08,0.015,0,0,1
KS,Kansas,66040,LINN COUNTY,0.065,0.075,0.01,0,0,2
KS,Kansas,66041,ATCHISON COUNTY,0.065,0.0775,0.0125,0,0,2
KS,Kansas,66042,MIAMI COUNTY,0.065,0.08,0.015,0,0,1
KS,Kansas,66043,LANSING,0.065,0.0895,0.01,0.0145,0,2
KS,Kansas,66044,LAWRENCE,0.065,0.093,0.0125,0.0155,0,1
KS,Kansas,66045,LAWRENCE,0.065,0.093,0.0125,0.0155,0,1
KS,Kansas,66046,LAWRENCE,0.065,0.093,0.0125,0.0155,0,1
KS,Kansas,66047,LAWRENCE,0.065,0.093,0.0125,0.0155,0,1
KS,Kansas,66048,LEAVENWORTH,0.065,0.095,0.01,0.02,0,1
KS,Kansas,66049,LAWRENCE,0.065,0.093,0.0125,0.0155,0,1
KS,Kansas,66050,DOUGLAS COUNTY,0.065,0.0775,0.0125,0,0,1
KS,Kansas,66051,OLATHE,0.065,0.09475,0.01475,0.015,0,1
KS,Kansas,66052,LEAVENWORTH COUNTY,0.065,0.075,0.01,0,0,1
KS,Kansas,66053,MIAMI COUNTY,0.065,0.08,0.015,0,0,1
KS,Kansas,66054,JEFFERSON COUNTY,0.065,0.075,0.01,0,0,1
KS,Kansas,66056,LINN COUNTY,0.065,0.075,0.01,0,0,1
KS,Kansas,66058,ATCHISON COUNTY,0.065,0.0775,0.0125,0,0,1
KS,Kansas,66060,JEFFERSON COUNTY,0.065,0.075,0.01,0,0,1
KS,Kansas,66061,OLATHE,0.065,0.09475,0.01475,0.015,0,1
KS,Kansas,66062,OLATHE,0.065,0.09475,0.01475,0.015,0,4
KS,Kansas,66063,OLATHE,0.065,0.09475,0.01475,0.015,0,1
KS,Kansas,66064,MIAMI COUNTY,0.065,0.08,0.015,0,0,1
KS,Kansas,66066,JEFFERSON COUNTY,0.065,0.075,0.01,0,0,1
KS,Kansas,66067,OTTAWA,0.065,0.096,0.015,0.016,0,2
KS,Kansas,66070,JEFFERSON COUNTY,0.065,0.075,0.01,0,0,1
KS,Kansas,66071,MIAMI COUNTY,0.065,0.08,0.015,0,0,1
KS,Kansas,66072,LINN COUNTY,0.065,0.075,0.01,0,0,1
KS,Kansas,66073,JEFFERSON COUNTY,0.065,0.075,0.01,0,0,1
KS,Kansas,66075,LINN COUNTY,0.065,0.075,0.01,0,0,1
KS,Kansas,66076,FRANKLIN COUNTY,0.065,0.08,0.015,0,0,1
KS,Kansas,66078,FRANKLIN COUNTY,0.065,0.08,0.015,0,0,1
KS,Kansas,66079,FRANKLIN COUNTY,0.065,0.08,0.015,0,0,1
KS,Kansas,66080,FRANKLIN COUNTY,0.065,0.08,0.015,0,0,1
KS,Kansas,66083,SPRING HILL (JOHNSON CO),0.065,0.09475,0.01475,0.015,0,1
KS,Kansas,66085,JOHNSON COUNTY,0.065,0.07975,0.01475,0,0,4
KS,Kansas,66086,LEAVENWORTH COUNTY,0.065,0.075,0.01,0,0,1
KS,Kansas,66087,DONIPHAN COUNTY,0.065,0.075,0.01,0,0,1
KS,Kansas,66088,JEFFERSON COUNTY,0.065,0.075,0.01,0,0,1
KS,Kansas,66090,WATHENA,0.065,0.085,0.01,0.01,0,1
KS,Kansas,66091,ANDERSON COUNTY,0.065,0.08,0.015,0,0,1
KS,Kansas,66092,FRANKLIN COUNTY,0.065,0.08,0.015,0,0,1
KS,Kansas,66093,ANDERSON COUNTY,0.065,0.08,0.015,0,0,1
KS,Kansas,66094,BROWN COUNTY,0.065,0.075,0.01,0,0,1
KS,Kansas,66095,FRANKLIN COUNTY,0.065,0.08,0.015,0,0,1
KS,Kansas,66097,JEFFERSON COUNTY,0.065,0.075,0.01,0,0,1
KS,Kansas,66101,KANSAS,0.065,0.09125,0.01,0.01625,0,1
KS,Kansas,66102,KANSAS,0.065,0.09125,0.01,0.01625,0,1
KS,Kansas,66103,KANSAS,0.065,0.09125,0.01,0.01625,0,2
KS,Kansas,66104,KANSAS,0.065,0.09125,0.01,0.01625,0,1
KS,Kansas,66105,KANSAS,0.065,0.09125,0.01,0.01625,0,1
KS,Kansas,66106,KANSAS,0.065,0.09125,0.01,0.01625,0,1
KS,Kansas,66109,KANSAS,0.065,0.09125,0.01,0.01625,0,1
KS,Kansas,66111,KANSAS,0.065,0.09125,0.01,0.01625,0,2
KS,Kansas,66112,KANSAS,0.065,0.09125,0.01,0.01625,0,1
KS,Kansas,66115,KANSAS,0.065,0.09125,0.01,0.01625,0,1
KS,Kansas,66117,KANSAS,0.065,0.09125,0.01,0.01625,0,1
KS,Kansas,66118,KANSAS,0.065,0.09125,0.01,0.01625,0,1
KS,Kansas,66119,KANSAS,0.065,0.09125,0.01,0.01625,0,1
KS,Kansas,66160,KANSAS,0.065,0.09125,0.01,0.01625,0,1
KS,Kansas,66201,MISSION,0.065,0.096,0.01475,0.01625,0,4
KS,Kansas,66202,MISSION,0.065,0.096,0.01475,0.01625,0,8
KS,Kansas,66203,SHAWNEE,0.065,0.096,0.01475,0.01625,0,6
KS,Kansas,66204,OVERLAND PARK,0.065,0.091,0.01475,0.01125,0,6
KS,Kansas,66205,ROELAND PARK,0.065,0.09475,0.01475,0.015,0,6
KS,Kansas,66206,LEAWOOD,0.065,0.091,0.01475,0.01125,0,7
KS,Kansas,66207,OVERLAND PARK,0.065,0.091,0.01475,0.01125,0,6
KS,Kansas,66208,PRAIRIE VILLAGE,0.065,0.08975,0.01475,0.01,0,6
KS,Kansas,66209,LEAWOOD,0.065,0.091,0.01475,0.01125,0,5
KS,Kansas,66210,OVERLAND PARK,0.065,0.091,0.01475,0.01125,0,5
KS,Kansas,66211,OVERLAND PARK,0.065,0.091,0.01475,0.01125,0,5
KS,Kansas,66212,OVERLAND PARK,0.065,0.091,0.01475,0.01125,0,4
KS,Kansas,66213,OVERLAND PARK,0.065,0.091,0.01475,0.01125,0,5
KS,Kansas,66214,OVERLAND PARK,0.065,0.091,0.01475,0.01125,0,6
KS,Kansas,66215,LENEXA,0.065,0.0935,0.01475,0.01375,0,5
KS,Kansas,66216,SHAWNEE,0.065,0.096,0.01475,0.01625,0,3
KS,Kansas,66217,SHAWNEE,0.065,0.096,0.01475,0.01625,0,5
KS,Kansas,66218,SHAWNEE,0.065,0.096,0.01475,0.01625,0,2
KS,Kansas,66219,LENEXA,0.065,0.0935,0.01475,0.01375,0,3
KS,Kansas,66220,LENEXA,0.065,0.0935,0.01475,0.01375,0,3
KS,Kansas,66221,OVERLAND PARK,0.065,0.091,0.01475,0.01125,0,6
KS,Kansas,66223,OVERLAND PARK,0.065,0.091,0.01475,0.01125,0,5
KS,Kansas,66224,LEAWOOD,0.065,0.091,0.01475,0.01125,0,6
KS,Kansas,66225,OVERLAND PARK,0.065,0.091,0.01475,0.01125,0,4
KS,Kansas,66226,SHAWNEE,0.065,0.096,0.01475,0.01625,0,2
KS,Kansas,66227,LENEXA,0.065,0.0935,0.01475,0.01375,0,3
KS,Kansas,66250,LENEXA,0.065,0.0935,0.01475,0.01375,0,2
KS,Kansas,66251,OVERLAND PARK,0.065,0.091,0.01475,0.01125,0,4
KS,Kansas,66276,MISSION CROSSING CID SP,0.065,0.106,0.01475,0.01625,0.01,2
KS,Kansas,66282,OVERLAND PARK,0.065,0.091,0.01475,0.01125,0,4
KS,Kansas,66283,OVERLAND PARK,0.065,0.091,0.01475,0.01125,0,4
KS,Kansas,66285,LENEXA,0.065,0.0935,0.01475,0.01375,0,2
KS,Kansas,66286,SHAWNEE,0.065,0.096,0.01475,0.01625,0,3
KS,Kansas,66401,WABAUNSEE COUNTY,0.065,0.08,0.015,0,0,1
KS,Kansas,66402,SHAWNEE COUNTY,0.065,0.0765,0.0115,0,0,1
KS,Kansas,66403,AXTELL,0.065,0.08,0.005,0.01,0,1
KS,Kansas,66404,NEMAHA COUNTY,0.065,0.08,0.015,0,0,1
KS,Kansas,66406,MARSHALL COUNTY,0.065,0.07,0.005,0,0,1
KS,Kansas,66407,WABAUNSEE COUNTY,0.065,0.08,0.015,0,0,1
KS,Kansas,66408,NEMAHA COUNTY,0.065,0.08,0.015,0,0,1
KS,Kansas,66409,SHAWNEE COUNTY,0.065,0.0765,0.0115,0,0,1
KS,Kansas,66411,BLUE RAPIDS,0.065,0.09,0.005,0.02,0,1
KS,Kansas,66412,MARSHALL COUNTY,0.065,0.07,0.005,0,0,1
KS,Kansas,66413,OSAGE COUNTY,0.065,0.075,0.01,0,0,1
KS,Kansas,66414,OSAGE COUNTY,0.065,0.075,0.01,0,0,1
KS,Kansas,66415,NEMAHA COUNTY,0.065,0.08,0.015,0,0,1
KS,Kansas,66416,JACKSON COUNTY,0.065,0.079,0.014,0,0,1
KS,Kansas,66417,NEMAHA COUNTY,0.065,0.08,0.015,0,0,1
KS,Kansas,66418,JACKSON COUNTY,0.065,0.079,0.014,0,0,1
KS,Kansas,66419,JACKSON COUNTY,0.065,0.079,0.014,0,0,1
KS,Kansas,66420,SHAWNEE COUNTY,0.065,0.0765,0.0115,0,0,1
KS,Kansas,66422,POTTAWATOMIE COUNTY,0.065,0.075,0.01,0,0,1
KS,Kansas,66423,WABAUNSEE COUNTY,0.065,0.08,0.015,0,0,1
KS,Kansas,66424,EVEREST,0.065,0.075,0.01,0,0,1
KS,Kansas,66425,FAIRVIEW,0.065,0.075,0.01,0,0,1
KS,Kansas,66426,POTTAWATOMIE COUNTY,0.065,0.075,0.01,0,0,1
KS,Kansas,66427,FRANKFORT,0.065,0.08,0.005,0.01,0,2
KS,Kansas,66428,NEMAHA COUNTY,0.065,0.08,0.015,0,0,1
KS,Kansas,66429,JEFFERSON COUNTY,0.065,0.075,0.01,0,0,1
KS,Kansas,66431,WABAUNSEE COUNTY,0.065,0.08,0.015,0,0,1
KS,Kansas,66432,POTTAWATOMIE COUNTY,0.065,0.075,0.01,0,0,1
KS,Kansas,66434,HIAWATHA,0.065,0.09,0.01,0.015,0,3
KS,Kansas,66436,JACKSON COUNTY,0.065,0.079,0.014,0,0,1
KS,Kansas,66438,MARSHALL COUNTY,0.065,0.07,0.005,0,0,1
KS,Kansas,66439,HORTON,0.065,0.095,0.01,0.02,0,1
KS,Kansas,66440,JACKSON COUNTY,0.065,0.079,0.014,0,0,1
KS,Kansas,66441,JUNCTION,0.065,0.0975,0.0125,0.02,0,1
KS,Kansas,66442,RILEY COUNTY,0.065,0.075,0.01,0,0,2
KS,Kansas,66449,RILEY COUNTY,0.065,0.075,0.01,0,0,1
KS,Kansas,66451,OSAGE COUNTY,0.065,0.075,0.01,0,0,1
KS,Kansas,66501,MCFARLAND,0.065,0.08,0.015,0,0,2
KS,Kansas,66502,MANHATTAN (RILEY CO),0.065,0.0895,0.01,0.0145,0,1
KS,Kansas,66503,MANHATTAN (RILEY CO),0.065,0.0895,0.01,0.0145,0,1
KS,Kansas,66505,MANHATTAN (RILEY CO),0.065,0.0895,0.01,0.0145,0,1
KS,Kansas,66506,MANHATTAN (RILEY CO),0.065,0.0895,0.01,0.0145,0,1
KS,Kansas,66507,WABAUNSEE COUNTY,0.065,0.08,0.015,0,0,1
KS,Kansas,66508,MARYSVILLE,0.065,0.086,0.005,0.016,0,2
KS,Kansas,66509,JACKSON COUNTY,0.065,0.079,0.014,0,0,1
KS,Kansas,66510,OSAGE COUNTY,0.065,0.075,0.01,0,0,1
KS,Kansas,66512,JEFFERSON COUNTY,0.065,0.075,0.01,0,0,1
KS,Kansas,66514,GEARY COUNTY,0.065,0.0775,0.0125,0,0,1
KS,Kansas,66515,BROWN COUNTY,0.065,0.075,0.01,0,0,1
KS,Kansas,66516,JACKSON COUNTY,0.065,0.079,0.014,0,0,1
KS,Kansas,66517,OGDEN,0.065,0.085,0.01,0.01,0,1
KS,Kansas,66518,MARSHALL COUNTY,0.065,0.07,0.005,0,0,1
KS,Kansas,66520,POTTAWATOMIE COUNTY,0.065,0.075,0.01,0,0,1
KS,Kansas,66521,POTTAWATOMIE COUNTY,0.065,0.075,0.01,0,0,3
KS,Kansas,66522,ONEIDA,0.065,0.08,0.015,0,0,1
KS,Kansas,66523,OSAGE,0.065,0.09,0.01,0.015,0,1
KS,Kansas,66524,OSAGE COUNTY,0.065,0.075,0.01,0,0,1
KS,Kansas,66526,WABAUNSEE COUNTY,0.065,0.08,0.015,0,0,1
KS,Kansas,66527,BROWN COUNTY,0.065,0.075,0.01,0,0,1
KS,Kansas,66528,OSAGE COUNTY,0.065,0.075,0.01,0,0,1
KS,Kansas,66531,RILEY,0.065,0.085,0.01,0.01,0,1
KS,Kansas,66532,BROWN COUNTY,0.065,0.075,0.01,0,0,2
KS,Kansas,66533,SHAWNEE COUNTY,0.065,0.0765,0.0115,0,0,1
KS,Kansas,66534,SABETHA,0.065,0.09,0.015,0.01,0,1
KS,Kansas,66535,POTTAWATOMIE COUNTY,0.065,0.075,0.01,0,0,2
KS,Kansas,66536,SAINT MARYS (POTTAWATOMIE CO),0.065,0.085,0.01,0.01,0,2
KS,Kansas,66537,OSAGE COUNTY,0.065,0.075,0.01,0,0,1
KS,Kansas,66538,SENECA,0.065,0.09,0.015,0.01,0,3
KS,Kansas,66539,SHAWNEE COUNTY,0.065,0.0765,0.0115,0,0,1
KS,Kansas,66540,JACKSON COUNTY,0.065,0.079,0.014,0,0,1
KS,Kansas,66541,SUMMERFIELD,0.065,0.07,0.005,0,0,1
KS,Kansas,66542,SHAWNEE COUNTY,0.065,0.0765,0.0115,0,0,1
KS,Kansas,66543,OSAGE COUNTY,0.065,0.075,0.01,0,0,1
KS,Kansas,66544,MARSHALL COUNTY,0.065,0.07,0.005,0,0,1
KS,Kansas,66546,SHAWNEE COUNTY,0.065,0.0765,0.0115,0,0,1
KS,Kansas,66547,WAMEGO,0.065,0.0925,0.01,0.0175,0,2
KS,Kansas,66548,WATERVILLE,0.065,0.085,0.005,0.015,0,1
KS,Kansas,66549,POTTAWATOMIE COUNTY,0.065,0.075,0.01,0,0,2
KS,Kansas,66550,WETMORE,0.065,0.08,0.015,0,0,1
KS,Kansas,66552,JACKSON COUNTY,0.065,0.079,0.014,0,0,1
KS,Kansas,66554,RILEY COUNTY,0.065,0.075,0.01,0,0,1
KS,Kansas,66601,TOPEKA,0.065,0.0915,0.0115,0.015,0,1
KS,Kansas,66603,TOPEKA,0.065,0.0915,0.0115,0.015,0,1
KS,Kansas,66604,TOPEKA,0.065,0.0915,0.0115,0.015,0,1
KS,Kansas,66605,TOPEKA,0.065,0.0915,0.0115,0.015,0,1
KS,Kansas,66606,TOPEKA,0.065,0.0915,0.0115,0.015,0,1
KS,Kansas,66607,TOPEKA,0.065,0.0915,0.0115,0.015,0,1
KS,Kansas,66608,TOPEKA,0.065,0.0915,0.0115,0.015,0,1
KS,Kansas,66609,TOPEKA,0.065,0.0915,0.0115,0.015,0,1
KS,Kansas,66610,SHAWNEE COUNTY,0.065,0.0765,0.0115,0,0,1
KS,Kansas,66611,TOPEKA,0.065,0.0915,0.0115,0.015,0,1
KS,Kansas,66612,TOPEKA,0.065,0.0915,0.0115,0.015,0,1
KS,Kansas,66614,TOPEKA,0.065,0.0915,0.0115,0.015,0,1
KS,Kansas,66615,SHAWNEE COUNTY,0.065,0.0765,0.0115,0,0,1
KS,Kansas,66616,TOPEKA,0.065,0.0915,0.0115,0.015,0,1
KS,Kansas,66617,SHAWNEE COUNTY,0.065,0.0765,0.0115,0,0,1
KS,Kansas,66618,SHAWNEE COUNTY,0.065,0.0765,0.0115,0,0,1
KS,Kansas,66619,SHAWNEE COUNTY,0.065,0.0765,0.0115,0,0,1
KS,Kansas,66620,SHAWNEE COUNTY,0.065,0.0765,0.0115,0,0,1
KS,Kansas,66621,TOPEKA,0.065,0.0915,0.0115,0.015,0,1
KS,Kansas,66622,TOPEKA,0.065,0.0915,0.0115,0.015,0,1
KS,Kansas,66624,TOPEKA,0.065,0.0915,0.0115,0.015,0,1
KS,Kansas,66625,TOPEKA,0.065,0.0915,0.0115,0.015,0,1
KS,Kansas,66626,TOPEKA,0.065,0.0915,0.0115,0.015,0,1
KS,Kansas,66629,TOPEKA,0.065,0.0915,0.0115,0.015,0,1
KS,Kansas,66630,TOPEKA,0.065,0.0915,0.0115,0.015,0,1
KS,Kansas,66636,TOPEKA,0.065,0.0915,0.0115,0.015,0,1
KS,Kansas,66647,TOPEKA,0.065,0.0915,0.0115,0.015,0,1
KS,Kansas,66667,TOPEKA,0.065,0.0915,0.0115,0.015,0,1
KS,Kansas,66675,TOPEKA,0.065,0.0915,0.0115,0.015,0,1
KS,Kansas,66683,TOPEKA,0.065,0.0915,0.0115,0.015,0,1
KS,Kansas,66699,TOPEKA,0.065,0.0915,0.0115,0.015,0,1
KS,Kansas,66701,FORT SCOTT,0.065,0.094,0.014,0.015,0,3
KS,Kansas,66710,WILSON COUNTY,0.065,0.065,0,0,0,1
KS,Kansas,66711,ARCADIA,0.065,0.075,0.01,0,0,6
KS,Kansas,66712,ARMA,0.065,0.085,0.01,0.01,0,1
KS,Kansas,66713,BAXTER SPRINGS,0.065,0.1,0.015,0.02,0,4
KS,Kansas,66714,WILSON COUNTY,0.065,0.065,0,0,0,2
KS,Kansas,66716,BRONSON,0.065,0.089,0.014,0.01,0,2
KS,Kansas,66717,BUFFALO,0.065,0.065,0,0,0,1
KS,Kansas,66720,CHANUTE,0.065,0.095,0.0175,0.0125,0,3
KS,Kansas,66724,CHEROKEE,0.065,0.085,0.01,0.01,0,1
KS,Kansas,66725,CHEROKEE COUNTY,0.065,0.08,0.015,0,0,7
KS,Kansas,66728,CHEROKEE COUNTY,0.065,0.08,0.015,0,0,1
KS,Kansas,66732,ALLEN COUNTY,0.065,0.0775,0.0125,0,0,1
KS,Kansas,66733,NEOSHO COUNTY,0.065,0.0825,0.0175,0,0,1
KS,Kansas,66734,CRAWFORD COUNTY,0.065,0.075,0.01,0,0,1
KS,Kansas,66735,CRAWFORD COUNTY,0.065,0.075,0.01,0,0,1
KS,Kansas,66736,FREDONIA,0.065,0.09,0,0.025,0,5
KS,Kansas,66738,BOURBON COUNTY,0.065,0.079,0.014,0,0,2
KS,Kansas,66739,GALENA,0.065,0.09,0.015,0.01,0,4
KS,Kansas,66740,NEOSHO COUNTY,0.065,0.0825,0.0175,0,0,1
KS,Kansas,66741,BOURBON COUNTY,0.065,0.079,0.014,0,0,2
KS,Kansas,66742,GAS,0.065,0.0875,0.0125,0.01,0,1
KS,Kansas,66743,GIRARD,0.065,0.085,0.01,0.01,0,6
KS,Kansas,66746,CRAWFORD COUNTY,0.065,0.075,0.01,0,0,1
KS,Kansas,66748,HUMBOLDT,0.065,0.095,0.0125,0.0175,0,1
KS,Kansas,66749,IOLA,0.065,0.0875,0.0125,0.01,0,3
KS,Kansas,66751,LA HARPE,0.065,0.0875,0.0125,0.01,0,1
KS,Kansas,66753,CRAWFORD COUNTY,0.065,0.075,0.01,0,0,4
KS,Kansas,66754,BOURBON COUNTY,0.065,0.079,0.014,0,0,2
KS,Kansas,66755,ALLEN COUNTY,0.065,0.0775,0.0125,0,0,1
KS,Kansas,66756,MULBERRY,0.065,0.075,0.01,0,0,5
KS,Kansas,66757,NEODESHA,0.065,0.095,0,0.03,0,3
KS,Kansas,66758,WOODSON,0.065,0.075,0.01,0,0,2
KS,Kansas,66760,CRAWFORD COUNTY,0.065,0.075,0.01,0,0,1
KS,Kansas,66761,WOODSON COUNTY,0.065,0.075,0.01,0,0,1
KS,Kansas,66762,PITTSBURG,0.065,0.09,0.01,0.015,0,3
KS,Kansas,66763,FRONTENAC,0.065,0.0875,0.01,0.0125,0,2
KS,Kansas,66767,LINN COUNTY,0.065,0.075,0.01,0,0,2
KS,Kansas,66769,BOURBON COUNTY,0.065,0.079,0.014,0,0,1
KS,Kansas,66770,CHEROKEE COUNTY,0.065,0.08,0.015,0,0,1
KS,Kansas,66771,ST. PAUL,0.065,0.0925,0.0175,0.01,0,2
KS,Kansas,66772,ALLEN COUNTY,0.065,0.0775,0.0125,0,0,1
KS,Kansas,66773,SCAMMON,0.065,0.09,0.015,0.01,0,2
KS,Kansas,66775,NEOSHO COUNTY,0.065,0.0825,0.0175,0,0,1
KS,Kansas,66776,NEOSHO COUNTY,0.065,0.0825,0.0175,0,0,2
KS,Kansas,66777,TORONTO,0.065,0.08,0.01,0.005,0,1
KS,Kansas,66779,BOURBON COUNTY,0.065,0.079,0.014,0,0,1
KS,Kansas,66780,WALNUT,0.065,0.075,0.01,0,0,2
KS,Kansas,66781,CHEROKEE COUNTY,0.065,0.08,0.015,0,0,2
KS,Kansas,66782,WEST MINERAL,0.065,0.08,0.015,0,0,2
KS,Kansas,66783,YATES CENTER,0.065,0.095,0.01,0.02,0,4
KS,Kansas,66801,EMPORIA,0.065,0.085,0.01,0.01,0,1
