State,FullStateName,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
KY,Kentucky,40003,SHELBY,0.06,0.06,0,0,0,0
KY,Kentucky,40004,BARDSTOWN,0.06,0.06,0,0,0,0
KY,Kentucky,40006,TRIMBLE,0.06,0.06,0,0,0,0
KY,Kentucky,40007,HENRY,0.06,0.06,0,0,0,0
KY,Kentucky,40008,NELSON,0.06,0.06,0,0,0,0
KY,Kentucky,40009,MARION,0.06,0.06,0,0,0,0
KY,Kentucky,40010,OLDHAM,0.06,0.06,0,0,0,0
KY,Kentucky,40011,HENRY,0.06,0.06,0,0,0,0
KY,Kentucky,40012,NELSON,0.06,0.06,0,0,0,0
KY,Kentucky,40013,NELSON,0.06,0.06,0,0,0,0
KY,Kentucky,40014,OLDHAM,0.06,0.06,0,0,0,0
KY,Kentucky,40018,LOUISVILLE,0.06,0.06,0,0,0,0
KY,Kentucky,40019,EMINENCE,0.06,0.06,0,0,0,0
KY,Kentucky,40020,FAIRFIELD,0.06,0.06,0,0,0,0
KY,Kentucky,40022,SHELBY,0.06,0.06,0,0,0,0
KY,Kentucky,40023,SPENCER,0.06,0.06,0,0,0,0
KY,Kentucky,40025,GLENVIEW,0.06,0.06,0,0,0,0
KY,Kentucky,40026,OLDHAM,0.06,0.06,0,0,0,0
KY,Kentucky,40027,KENTUCKY STATE,0.06,0.06,0,0,0,0
KY,Kentucky,40031,OLDHAM,0.06,0.06,0,0,0,0
KY,Kentucky,40032,OLDHAM,0.06,0.06,0,0,0,0
KY,Kentucky,40033,MARION,0.06,0.06,0,0,0,0
KY,Kentucky,40036,HENRY,0.06,0.06,0,0,0,0
KY,Kentucky,40037,MARION,0.06,0.06,0,0,0,0
KY,Kentucky,40040,WASHINGTON,0.06,0.06,0,0,0,0
KY,Kentucky,40041,LOUISVILLE,0.06,0.06,0,0,0,0
KY,Kentucky,40045,TRIMBLE,0.06,0.06,0,0,0,0
KY,Kentucky,40046,SPENCER,0.06,0.06,0,0,0,0
KY,Kentucky,40047,MOUNT WASHINGTON,0.06,0.06,0,0,0,0
KY,Kentucky,40048,NELSON,0.06,0.06,0,0,0,0
KY,Kentucky,40049,MARION,0.06,0.06,0,0,0,0
KY,Kentucky,40050,HENRY,0.06,0.06,0,0,0,0
KY,Kentucky,40051,NELSON,0.06,0.06,0,0,0,0
KY,Kentucky,40052,NELSON,0.06,0.06,0,0,0,0
KY,Kentucky,40055,HENRY,0.06,0.06,0,0,0,0
KY,Kentucky,40056,PEWEE VALLEY,0.06,0.06,0,0,0,0
KY,Kentucky,40057,HENRY,0.06,0.06,0,0,0,0
KY,Kentucky,40058,HENRY,0.06,0.06,0,0,0,0
KY,Kentucky,40059,LOUISVILLE,0.06,0.06,0,0,0,0
KY,Kentucky,40060,MARION,0.06,0.06,0,0,0,0
KY,Kentucky,40061,SPRINGFIELD,0.06,0.06,0,0,0,0
KY,Kentucky,40062,MARION,0.06,0.06,0,0,0,0
KY,Kentucky,40063,MARION,0.06,0.06,0,0,0,0
KY,Kentucky,40065,SHELBY,0.06,0.06,0,0,0,0
KY,Kentucky,40066,SHELBYVILLE,0.06,0.06,0,0,0,0
KY,Kentucky,40067,SHELBY,0.06,0.06,0,0,0,0
KY,Kentucky,40068,HENRY,0.06,0.06,0,0,0,0
KY,Kentucky,40069,WASHINGTON,0.06,0.06,0,0,0,0
KY,Kentucky,40070,HENRY,0.06,0.06,0,0,0,0
