State,FullStateName,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
MA,Massachusetts,1001,AGAWAM,0.0625,0.0625,0,0,0,0
MA,Massachusetts,1002,AMHERST,0.0625,0.0625,0,0,0,0
MA,Massachusetts,1003,AMHERST,0.0625,0.0625,0,0,0,0
MA,Massachusetts,1004,AMHERST,0.0625,0.0625,0,0,0,0
MA,Massachusetts,1005,BARRE,0.0625,0.0625,0,0,0,0
MA,Massachusetts,1007,BELCHERTOWN,0.0625,0.0625,0,0,0,0
MA,Massachusetts,1008,BLANDFORD,0.0625,0.0625,0,0,0,0
MA,Massachusetts,1009,PALMER,0.0625,0.0625,0,0,0,0
MA,Massachusetts,1010,BRIMFIELD,0.0625,0.0625,0,0,0,0
MA,Massachusetts,1011,CHESTER,0.0625,0.0625,0,0,0,0
MA,Massachusetts,1012,CHESTERFIELD,0.0625,0.0625,0,0,0,0
MA,Massachusetts,1013,CHICOPEE,0.0625,0.0625,0,0,0,0
MA,Massachusetts,1014,CHICOPEE,0.0625,0.0625,0,0,0,0
MA,Massachusetts,1020,CHICOPEE,0.0625,0.0625,0,0,0,0
MA,Massachusetts,1021,CHICOPEE,0.0625,0.0625,0,0,0,0
MA,Massachusetts,1022,CHICOPEE,0.0625,0.0625,0,0,0,0
MA,Massachusetts,1026,CUMMINGTON,0.0625,0.0625,0,0,0,0
MA,Massachusetts,1027,EASTHAMPTON,0.0625,0.0625,0,0,0,0
MA,Massachusetts,1028,EAST LONGMEADOW,0.0625,0.0625,0,0,0,0
MA,Massachusetts,1029,OTIS,0.0625,0.0625,0,0,0,0
MA,Massachusetts,1030,AGAWAM,0.0625,0.0625,0,0,0,0
MA,Massachusetts,1031,HARDWICK,0.0625,0.0625,0,0,0,0
MA,Massachusetts,1032,GOSHEN,0.0625,0.0625,0,0,0,0
MA,Massachusetts,1033,GRANBY,0.0625,0.0625,0,0,0,0
