State,FullStateName,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
MD,Maryland,20588,PRINCE GEORGE'S,0.06,0.06,0,0,0,0
MD,Maryland,20601,CHARLES,0.06,0.06,0,0,0,0
MD,Maryland,20602,CHARLES,0.06,0.06,0,0,0,0
MD,Maryland,20603,CHARLES,0.06,0.06,0,0,0,0
MD,Maryland,20604,CHARLES,0.06,0.06,0,0,0,0
MD,Maryland,20606,ST. MARY'S,0.06,0.06,0,0,0,0
MD,Maryland,20607,PRINCE GEORGE'S,0.06,0.06,0,0,0,0
MD,Maryland,20608,PRINCE GEORGE'S,0.06,0.06,0,0,0,0
MD,Maryland,20609,ST. MARY'S,0.06,0.06,0,0,0,0
MD,Maryland,20610,CALVERT,0.06,0.06,0,0,0,0
MD,Maryland,20611,CHARLES,0.06,0.06,0,0,0,0
MD,Maryland,20612,CHARLES,0.06,0.06,0,0,0,0
MD,Maryland,20613,PRINCE GEORGE'S,0.06,0.06,0,0,0,0
MD,Maryland,20615,CALVERT,0.06,0.06,0,0,0,0
MD,Maryland,20616,CHARLES,0.06,0.06,0,0,0,0
MD,Maryland,20617,CHARLES,0.06,0.06,0,0,0,0
MD,Maryland,20618,ST. MARY'S,0.06,0.06,0,0,0,0
MD,Maryland,20619,ST. MARY'S,0.06,0.06,0,0,0,0
MD,Maryland,20620,ST. MARY'S,0.06,0.06,0,0,0,0
MD,Maryland,20621,ST. MARY'S,0.06,0.06,0,0,0,0
MD,Maryland,20622,CHARLES,0.06,0.06,0,0,0,0
MD,Maryland,20623,PRINCE GEORGE'S,0.06,0.06,0,0,0,0
MD,Maryland,20624,ST. MARY'S,0.06,0.06,0,0,0,0
MD,Maryland,20625,CHARLES,0.06,0.06,0,0,0,0
MD,Maryland,20626,ST. MARY'S,0.06,0.06,0,0,0,0
MD,Maryland,20627,ST. MARY'S,0.06,0.06,0,0,0,0
MD,Maryland,20628,ST. MARY'S,0.06,0.06,0,0,0,0
MD,Maryland,20629,CALVERT,0.06,0.06,0,0,0,0
MD,Maryland,20630,ST. MARY'S,0.06,0.06,0,0,0,0
MD,Maryland,20632,CHARLES,0.06,0.06,0,0,0,0
MD,Maryland,20634,ST. MARY'S,0.06,0.06,0,0,0,0
MD,Maryland,20635,ST. MARY'S,0.06,0.06,0,0,0,0
MD,Maryland,20636,ST. MARY'S,0.06,0.06,0,0,0,0
MD,Maryland,20637,CHARLES,0.06,0.06,0,0,0,0
MD,Maryland,20639,CALVERT,0.06,0.06,0,0,0,0
MD,Maryland,20640,CHARLES,0.06,0.06,0,0,0,0
MD,Maryland,20643,CHARLES,0.06,0.06,0,0,0,0
MD,Maryland,20645,CHARLES,0.06,0.06,0,0,0,0
MD,Maryland,20646,CHARLES,0.06,0.06,0,0,0,0
MD,Maryland,20650,ST. MARY'S,0.06,0.06,0,0,0,0
MD,Maryland,20653,ST. MARY'S,0.06,0.06,0,0,0,0
MD,Maryland,20656,ST. MARY'S,0.06,0.06,0,0,0,0
MD,Maryland,20657,CALVERT,0.06,0.06,0,0,0,0
MD,Maryland,20658,CHARLES,0.06,0.06,0,0,0,0
MD,Maryland,20659,ST. MARY'S,0.06,0.06,0,0,0,0
MD,Maryland,20660,ST. MARY'S,0.06,0.06,0,0,0,0
MD,Maryland,20661,CHARLES,0.06,0.06,0,0,0,0
MD,Maryland,20662,CHARLES,0.06,0.06,0,0,0,0
MD,Maryland,20664,CHARLES,0.06,0.06,0,0,0,0
MD,Maryland,20667,ST. MARY'S,0.06,0.06,0,0,0,0
MD,Maryland,20670,ST. MARY'S,0.06,0.06,0,0,0,0
