State,FullStateName,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
ME,Maine,3901,MAINE,0.055,0.055,0,0,0,0
ME,Maine,3902,MAINE,0.055,0.055,0,0,0,0
ME,Maine,3903,MAINE,0.055,0.055,0,0,0,0
ME,Maine,3904,MAINE,0.055,0.055,0,0,0,0
ME,Maine,3905,MAINE,0.055,0.055,0,0,0,0
ME,Maine,3906,MAINE,0.055,0.055,0,0,0,0
ME,Maine,3907,MAINE,0.055,0.055,0,0,0,0
ME,Maine,3908,MAINE,0.055,0.055,0,0,0,0
ME,Maine,3909,MAINE,0.055,0.055,0,0,0,0
ME,Maine,3910,MAINE,0.055,0.055,0,0,0,0
ME,Maine,3911,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4001,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4002,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4003,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4004,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4005,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4006,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4008,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4009,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4010,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4011,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4013,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4014,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4015,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4016,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4017,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4019,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4020,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4021,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4022,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4024,MAINE STATE,0.055,0.055,0,0,0,0
ME,Maine,4027,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4028,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4029,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4030,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4032,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4033,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4034,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4037,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4038,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4039,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4040,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4041,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4042,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4043,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4046,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4047,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4048,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4049,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4050,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4051,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4054,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4055,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4056,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4057,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4061,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4062,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4063,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4064,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4066,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4068,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4069,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4070,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4071,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4072,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4073,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4074,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4076,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4077,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4078,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4079,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4082,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4083,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4084,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4085,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4086,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4087,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4088,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4090,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4091,MAINE STATE,0.055,0.055,0,0,0,0
ME,Maine,4092,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4093,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4094,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4095,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4096,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4097,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4098,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4101,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4102,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4103,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4104,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4105,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4106,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4107,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4108,MAINE STATE,0.055,0.055,0,0,0,0
ME,Maine,4109,MAINE STATE,0.055,0.055,0,0,0,0
ME,Maine,4110,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4112,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4116,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4122,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4123,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4124,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4210,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4211,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4212,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4216,MAINE STATE,0.055,0.055,0,0,0,0
ME,Maine,4217,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4219,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4220,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4221,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4222,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4223,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4224,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4225,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4226,MAINE STATE,0.055,0.055,0,0,0,0
ME,Maine,4227,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4228,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4230,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4231,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4234,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4236,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4237,MAINE,0.055,0.055,0,0,0,0
ME,Maine,4238,MAINE,0.055,0.055,0,0,0,0
