State,FullStateName,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
MI,Michigan,48001,SAINT CLAIR,0.06,0.06,0,0,0,0
MI,Michigan,48002,SAINT CLAIR,0.06,0.06,0,0,0,0
MI,Michigan,48003,LAPEER,0.06,0.06,0,0,0,0
MI,Michigan,48004,SAINT CLAIR,0.06,0.06,0,0,0,0
MI,Michigan,48005,ARMADA,0.06,0.06,0,0,0,0
MI,Michigan,48006,SAINT CLAIR,0.06,0.06,0,0,0,0
MI,Michigan,48007,TROY,0.06,0.06,0,0,0,0
MI,Michigan,48009,BIRMINGHAM,0.06,0.06,0,0,0,0
MI,Michigan,48012,BIRMINGHAM,0.06,0.06,0,0,0,0
MI,Michigan,48014,SAINT CLAIR,0.06,0.06,0,0,0,0
MI,Michigan,48015,CENTER LINE,0.06,0.06,0,0,0,0
MI,Michigan,48017,CLAWSON,0.06,0.06,0,0,0,0
MI,Michigan,48021,EASTPOINTE,0.06,0.06,0,0,0,0
MI,Michigan,48022,SAINT CLAIR,0.06,0.06,0,0,0,0
MI,Michigan,48023,SAINT CLAIR,0.06,0.06,0,0,0,0
MI,Michigan,48025,BEVERLY HILLS,0.06,0.06,0,0,0,0
MI,Michigan,48026,FRASER,0.06,0.06,0,0,0,0
MI,Michigan,48027,SAINT CLAIR,0.06,0.06,0,0,0,0
MI,Michigan,48028,SAINT CLAIR,0.06,0.06,0,0,0,0
MI,Michigan,48030,HAZEL PARK,0.06,0.06,0,0,0,0
MI,Michigan,48032,SAINT CLAIR,0.06,0.06,0,0,0,0
MI,Michigan,48033,SOUTHFIELD,0.06,0.06,0,0,0,0
MI,Michigan,48034,SOUTHFIELD,0.06,0.06,0,0,0,0
MI,Michigan,48035,MACOMB,0.06,0.06,0,0,0,0
MI,Michigan,48036,MACOMB,0.06,0.06,0,0,0,0
MI,Michigan,48037,SOUTHFIELD,0.06,0.06,0,0,0,0
MI,Michigan,48038,MACOMB,0.06,0.06,0,0,0,0
MI,Michigan,48039,MARINE CITY,0.06,0.06,0,0,0,0
MI,Michigan,48040,MARYSVILLE,0.06,0.06,0,0,0,0
MI,Michigan,48041,SAINT CLAIR,0.06,0.06,0,0,0,0
MI,Michigan,48042,MACOMB,0.06,0.06,0,0,0,0
MI,Michigan,48043,MOUNT CLEMENS,0.06,0.06,0,0,0,0
MI,Michigan,48044,MACOMB,0.06,0.06,0,0,0,0
MI,Michigan,48045,MACOMB,0.06,0.06,0,0,0,0
MI,Michigan,48046,MOUNT CLEMENS,0.06,0.06,0,0,0,0
MI,Michigan,48047,MACOMB,0.06,0.06,0,0,0,0
MI,Michigan,48048,NEW HAVEN,0.06,0.06,0,0,0,0
MI,Michigan,48049,SAINT CLAIR,0.06,0.06,0,0,0,0
MI,Michigan,48050,MACOMB,0.06,0.06,0,0,0,0
MI,Michigan,48051,MACOMB,0.06,0.06,0,0,0,0
MI,Michigan,48054,SAINT CLAIR,0.06,0.06,0,0,0,0
MI,Michigan,48059,SAINT CLAIR,0.06,0.06,0,0,0,0
MI,Michigan,48060,PORT HURON,0.06,0.06,0,0,0,0
MI,Michigan,48061,SAINT CLAIR,0.06,0.06,0,0,0,0
MI,Michigan,48062,RICHMOND,0.06,0.06,0,0,0,0
MI,Michigan,48063,SAINT CLAIR,0.06,0.06,0,0,0,0
MI,Michigan,48064,SAINT CLAIR,0.06,0.06,0,0,0,0
MI,Michigan,48065,MACOMB,0.06,0.06,0,0,0,0
MI,Michigan,48066,ROSEVILLE,0.06,0.06,0,0,0,0
MI,Michigan,48067,ROYAL OAK,0.06,0.06,0,0,0,0
MI,Michigan,48068,ROYAL OAK,0.06,0.06,0,0,0,0
MI,Michigan,48069,PLEASANT RIDGE,0.06,0.06,0,0,0,0
MI,Michigan,48070,HUNTINGTON WOODS,0.06,0.06,0,0,0,0
MI,Michigan,48071,MADISON HEIGHTS,0.06,0.06,0,0,0,0
MI,Michigan,48072,BERKLEY,0.06,0.06,0,0,0,0
