State,FullStateName,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
MN,Minnesota,55001,AFTON,0.06875,0.07375,0,0,0.005,1
MN,Minnesota,55003,BAYPORT,0.06875,0.07375,0,0,0.005,2
MN,Minnesota,55005,EAST BETHEL,0.06875,0.07125,0,0,0.0025,5
MN,Minnesota,55006,BRAHAM,0.06875,0.07375,0,0,0.005,3
MN,Minnesota,55007,KANABEC,0.06875,0.07375,0,0,0.005,3
MN,Minnesota,55008,CAMBRIDGE,0.06875,0.07875,0,0.005,0.005,3
MN,Minnesota,55009,CANNON FALLS,0.06875,0.07375,0,0,0.005,4
MN,Minnesota,55010,DAKOTA CO TR,0.06875,0.07125,0,0,0.0025,1
MN,Minnesota,55011,EAST BETHEL,0.06875,0.07125,0,0,0.0025,5
MN,Minnesota,55012,CHISAGO CO TR,0.06875,0.07375,0,0,0.005,2
MN,Minnesota,55013,CHISAGO CITY,0.06875,0.07375,0,0,0.005,1
MN,Minnesota,55014,LINO LAKES,0.06875,0.07125,0,0,0.0025,8
MN,Minnesota,55016,COTTAGE GROVE,0.06875,0.07375,0,0,0.005,1
MN,Minnesota,55017,ISANTI,0.06875,0.07375,0,0,0.005,1
MN,Minnesota,55018,GOODHUE CO TR,0.06875,0.07375,0,0,0.005,1
MN,Minnesota,55019,DUNDAS,0.06875,0.07375,0,0,0.005,1
MN,Minnesota,55020,SCOTT CO TR,0.06875,0.07375,0,0,0.005,3
MN,Minnesota,55021,FARIBAULT,0.06875,0.07375,0,0,0.005,1
MN,Minnesota,55024,FARMINGTON,0.06875,0.07125,0,0,0.0025,1
MN,Minnesota,55025,FOREST LAKE,0.06875,0.07375,0,0,0.005,4
MN,Minnesota,55026,GOODHUE CO TR,0.06875,0.07375,0,0,0.005,1
MN,Minnesota,55027,GOODHUE CO TR,0.06875,0.07375,0,0,0.005,2
MN,Minnesota,55029,ISANTI,0.06875,0.07375,0,0,0.005,1
MN,Minnesota,55030,PINE CO TR,0.06875,0.07375,0,0,0.005,1
MN,Minnesota,55031,DAKOTA CO TR,0.06875,0.07125,0,0,0.0025,2
MN,Minnesota,55032,CHISAGO CO TR,0.06875,0.07375,0,0,0.005,1
MN,Minnesota,55033,HASTINGS,0.06875,0.07125,0,0,0.0025,1
MN,Minnesota,55036,HENRIETTE,0.06875,0.07375,0,0,0.005,2
MN,Minnesota,55037,PINE CO TR,0.06875,0.07375,0,0,0.005,1
MN,Minnesota,55038,HUGO,0.06875,0.07375,0,0,0.005,6
MN,Minnesota,55040,ISANTI,0.06875,0.07375,0,0,0.005,1
MN,Minnesota,55041,LAKE CITY,0.06875,0.07375,0,0,0.005,1
