State,FullStateName,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
MO,Missouri,63005,CHESTERFIELD,0.04225,0.08738,0.02263,0.01,0.0125,5
MO,Missouri,63006,TOWN AND COUNTRY,0.04225,0.08988,0.02263,0.0125,0.0125,1
MO,Missouri,63010,ARNOLD,0.04225,0.0835,0.01625,0.0125,0.0125,1
MO,Missouri,63011,BALLWIN,0.04225,0.08738,0.02263,0.01,0.0125,5
MO,Missouri,63012,JEFFERSON CO ANTONIA FIRE/ROCK TWNSHP AMB,0.04225,0.071,0.01625,0,0.0125,1
MO,Missouri,63013,FRANKLIN CO GERALD AMB DI,0.04225,0.06975,0.0225,0,0.005,1
MO,Missouri,63014,FRANKLIN CO/HERMANN AREA AMBULANCE DISTRICT,0.04225,0.06975,0.0225,0,0.005,2
MO,Missouri,63015,FRANKLIN CO MERAMEC AMB,0.04225,0.06975,0.0225,0,0.005,1
MO,Missouri,63016,JEFFERSON CO BIG RIVER AMB,0.04225,0.0685,0.01625,0,0.01,2
MO,Missouri,63017,CHESTERFIELD,0.04225,0.08738,0.02263,0.01,0.0125,2
MO,Missouri,63019,CRYSTAL,0.04225,0.091,0.01625,0.0225,0.01,1
MO,Missouri,63020,JEFF CO VALLE AMB DIST,0.04225,0.0685,0.01625,0,0.01,2
MO,Missouri,63021,ST. LOUIS COUNTY,0.04225,0.07738,0.02263,0,0.0125,7
MO,Missouri,63022,BALLWIN,0.04225,0.08738,0.02263,0.01,0.0125,1
MO,Missouri,63023,JEFFERSON CO BIG RIVER AMB,0.04225,0.0685,0.01625,0,0.01,1
MO,Missouri,63024,MANCHESTER,0.04225,0.08988,0.02263,0.0125,0.0125,1
MO,Missouri,63025,EUREKA,0.04225,0.09238,0.02263,0.015,0.0125,9
MO,Missouri,63026,ST. LOUIS COUNTY,0.04225,0.07738,0.02263,0,0.0125,2
MO,Missouri,63028,JEFFERSON CO JOACHIM-PLATTIN AMB,0.04225,0.0685,0.01625,0,0.01,1
MO,Missouri,63030,WASHINGTON COUNTY / WASHINGTON CO AMBULANCE DIST,0.04225,0.07225,0.025,0,0.005,1
MO,Missouri,63031,FLORISSANT,0.04225,0.08988,0.02263,0.0125,0.0125,2
