State,FullStateName,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
MS,Mississippi,38601,LAFAYETTE,0.07,0.07,0,0,0,1
MS,Mississippi,38602,TATE,0.07,0.07,0,0,0,1
MS,Mississippi,38603,BENTON,0.07,0.07,0,0,0,3
MS,Mississippi,38606,PANOLA,0.07,0.07,0,0,0,2
MS,Mississippi,38609,QUITMAN,0.07,0.07,0,0,0,1
MS,Mississippi,38610,TIPPAH,0.07,0.07,0,0,0,1
MS,Mississippi,38611,MARSHALL,0.07,0.07,0,0,0,1
MS,Mississippi,38614,CLARKSDALE,0.07,0.07,0,0,0,8
MS,Mississippi,38617,COAHOMA,0.07,0.07,0,0,0,4
MS,Mississippi,38618,TATE,0.07,0.07,0,0,0,1
MS,Mississippi,38619,PANOLA,0.07,0.07,0,0,0,2
MS,Mississippi,38620,PANOLA,0.07,0.07,0,0,0,1
MS,Mississippi,38621,PANOLA,0.07,0.07,0,0,0,2
MS,Mississippi,38622,CROWDER,0.07,0.07,0,0,0,1
MS,Mississippi,38623,QUITMAN,0.07,0.07,0,0,0,1
MS,Mississippi,38625,TIPPAH,0.07,0.07,0,0,0,1
MS,Mississippi,38626,TUNICA,0.07,0.07,0,0,0,3
MS,Mississippi,38627,UNION,0.07,0.07,0,0,0,2
MS,Mississippi,38629,TIPPAH,0.07,0.07,0,0,0,1
MS,Mississippi,38631,FRIARS POINT,0.07,0.07,0,0,0,2
MS,Mississippi,38632,DESOTO,0.07,0.07,0,0,0,1
MS,Mississippi,38633,BENTON,0.07,0.07,0,0,0,2
MS,Mississippi,38635,MARSHALL,0.07,0.07,0,0,0,2
MS,Mississippi,38637,HORN LAKE,0.07,0.07,0,0,0,2
MS,Mississippi,38638,TATE,0.07,0.07,0,0,0,1
MS,Mississippi,38639,JONESTOWN,0.07,0.07,0,0,0,1
MS,Mississippi,38641,DESOTO,0.07,0.07,0,0,0,1
MS,Mississippi,38642,BENTON,0.07,0.07,0,0,0,3
MS,Mississippi,38643,QUITMAN,0.07,0.07,0,0,0,1
MS,Mississippi,38644,LULA,0.07,0.07,0,0,0,1
MS,Mississippi,38645,COAHOMA,0.07,0.07,0,0,0,2
MS,Mississippi,38646,QUITMAN,0.07,0.07,0,0,0,1
MS,Mississippi,38647,BENTON,0.07,0.07,0,0,0,3
MS,Mississippi,38649,HOLLY SPRINGS,0.07,0.07,0,0,0,2
MS,Mississippi,38650,UNION,0.07,0.07,0,0,0,1
MS,Mississippi,38651,DESOTO,0.07,0.07,0,0,0,1
MS,Mississippi,38652,NEW ALBANY,0.07,0.07,0,0,0,5
MS,Mississippi,38654,OLIVE BRANCH,0.07,0.07,0,0,0,1
MS,Mississippi,38655,OXFORD,0.07,0.07,0,0,0,3
MS,Mississippi,38658,PANOLA,0.07,0.07,0,0,0,1
MS,Mississippi,38659,MARSHALL,0.07,0.07,0,0,0,6
MS,Mississippi,38661,MARSHALL,0.07,0.07,0,0,0,2
MS,Mississippi,38663,TIPPAH,0.07,0.07,0,0,0,1
MS,Mississippi,38664,TUNICA,0.07,0.07,0,0,0,7
MS,Mississippi,38665,TATE,0.07,0.07,0,0,0,5
MS,Mississippi,38666,PANOLA,0.07,0.07,0,0,0,2
MS,Mississippi,38668,TATE,0.07,0.07,0,0,0,1
MS,Mississippi,38670,QUITMAN,0.07,0.07,0,0,0,2
MS,Mississippi,38671,SOUTHAVEN,0.07,0.07,0,0,0,1
MS,Mississippi,38672,SOUTHAVEN,0.07,0.07,0,0,0,1
MS,Mississippi,38673,LAFAYETTE,0.07,0.07,0,0,0,1
MS,Mississippi,38674,TIPPAH,0.07,0.07,0,0,0,1
MS,Mississippi,38676,TUNICA,0.07,0.07,0,0,0,6
MS,Mississippi,38677,LAFAYETTE,0.07,0.07,0,0,0,1
MS,Mississippi,38679,MARSHALL,0.07,0.07,0,0,0,1
MS,Mississippi,38680,DESOTO,0.07,0.07,0,0,0,4
MS,Mississippi,38683,TIPPAH,0.07,0.07,0,0,0,1
MS,Mississippi,38685,MARSHALL,0.07,0.07,0,0,0,2
MS,Mississippi,38686,WALLS,0.07,0.07,0,0,0,1
MS,Mississippi,38701,GREENVILLE,0.07,0.07,0,0,0,6
MS,Mississippi,38703,GREENVILLE,0.07,0.07,0,0,0,2
MS,Mississippi,38720,COAHOMA,0.07,0.07,0,0,0,2
MS,Mississippi,38721,SHARKEY,0.07,0.07,0,0,0,1
MS,Mississippi,38722,ARCOLA,0.07,0.07,0,0,0,2
MS,Mississippi,38723,WASHINGTON,0.07,0.07,0,0,0,1
MS,Mississippi,38725,BOLIVAR,0.07,0.07,0,0,0,5
MS,Mississippi,38726,BOLIVAR,0.07,0.07,0,0,0,2
MS,Mississippi,38730,BOLIVAR,0.07,0.07,0,0,0,2
MS,Mississippi,38731,WASHINGTON,0.07,0.07,0,0,0,3
MS,Mississippi,38732,CLEVELAND,0.07,0.07,0,0,0,3
MS,Mississippi,38733,CLEVELAND,0.07,0.07,0,0,0,2
MS,Mississippi,38736,SUNFLOWER,0.07,0.07,0,0,0,1
MS,Mississippi,38737,DREW,0.07,0.07,0,0,0,1
MS,Mississippi,38738,DREW,0.07,0.07,0,0,0,1
MS,Mississippi,38739,COAHOMA,0.07,0.07,0,0,0,1
MS,Mississippi,38740,BOLIVAR,0.07,0.07,0,0,0,5
MS,Mississippi,38744,WASHINGTON,0.07,0.07,0,0,0,3
MS,Mississippi,38745,ISSAQUENA,0.07,0.07,0,0,0,1
MS,Mississippi,38746,BOLIVAR,0.07,0.07,0,0,0,4
