State,FullStateName,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
MT,Montana,59001,STILLWATER,0,0,0,0,0,0
MT,Montana,59002,YELLOWSTONE,0,0,0,0,0,0
MT,Montana,59003,ROSEBUD,0,0,0,0,0,0
MT,Montana,59004,ROSEBUD,0,0,0,0,0,0
MT,Montana,59006,YELLOWSTONE,0,0,0,0,0,0
MT,Montana,59007,BEARCREEK,0,0,0,0,0,0
MT,Montana,59008,CARBON,0,0,0,0,0,0
MT,Montana,59010,BIG HORN,0,0,0,0,0,0
MT,Montana,59011,BIG TIMBER,0,0,0,0,0,0
MT,Montana,59012,ROSEBUD,0,0,0,0,0,0
MT,Montana,59013,CARBON,0,0,0,0,0,0
MT,Montana,59014,CARBON,0,0,0,0,0,0
MT,Montana,59015,YELLOWSTONE,0,0,0,0,0,0
MT,Montana,59016,BIG HORN,0,0,0,0,0,0
MT,Montana,59018,CLYDE PARK,0,0,0,0,0,0
MT,Montana,59019,STILLWATER,0,0,0,0,0,0
MT,Montana,59020,COOKE CITY & SILVER GATE & COLTER PASS RESORT AREA,0,0,0,0,0,0
MT,Montana,59022,BIG HORN,0,0,0,0,0,0
MT,Montana,59024,YELLOWSTONE,0,0,0,0,0,0
MT,Montana,59025,BIG HORN,0,0,0,0,0,0
MT,Montana,59026,CARBON,0,0,0,0,0,0
MT,Montana,59027,PARK,0,0,0,0,0,0
MT,Montana,59028,STILLWATER,0,0,0,0,0,0
MT,Montana,59029,CARBON,0,0,0,0,0,0
MT,Montana,59030,GARDINER RESORT AREA,0,0,0,0,0,0
MT,Montana,59031,BIG HORN,0,0,0,0,0,0
MT,Montana,59032,FERGUS,0,0,0,0,0,0
MT,Montana,59033,SWEET GRASS,0,0,0,0,0,0
MT,Montana,59034,HARDIN,0,0,0,0,0,0
MT,Montana,59035,BIG HORN,0,0,0,0,0,0
MT,Montana,59036,HARLOWTON,0,0,0,0,0,0
MT,Montana,59037,YELLOWSTONE,0,0,0,0,0,0
MT,Montana,59038,TREASURE,0,0,0,0,0,0
MT,Montana,59039,ROSEBUD,0,0,0,0,0,0
MT,Montana,59041,CARBON,0,0,0,0,0,0
MT,Montana,59043,ROSEBUD,0,0,0,0,0,0
MT,Montana,59044,LAUREL,0,0,0,0,0,0
MT,Montana,59046,GOLDEN VALLEY,0,0,0,0,0,0
MT,Montana,59047,LIVINGSTON,0,0,0,0,0,0
MT,Montana,59050,BIG HORN,0,0,0,0,0,0
MT,Montana,59052,SWEET GRASS,0,0,0,0,0,0
MT,Montana,59053,MEAGHER,0,0,0,0,0,0
MT,Montana,59054,MUSSELSHELL,0,0,0,0,0,0
MT,Montana,59055,SWEET GRASS,0,0,0,0,0,0
MT,Montana,59057,YELLOWSTONE,0,0,0,0,0,0
MT,Montana,59058,GARFIELD,0,0,0,0,0,0
MT,Montana,59059,MUSSELSHELL,0,0,0,0,0,0
MT,Montana,59061,STILLWATER,0,0,0,0,0,0
MT,Montana,59062,POWDER RIVER,0,0,0,0,0,0
MT,Montana,59063,STILLWATER,0,0,0,0,0,0
MT,Montana,59064,YELLOWSTONE,0,0,0,0,0,0
MT,Montana,59065,PARK,0,0,0,0,0,0
MT,Montana,59066,BIG HORN,0,0,0,0,0,0
MT,Montana,59067,STILLWATER,0,0,0,0,0,0
MT,Montana,59068,RED LODGE,0,0,0,0,0,0
MT,Montana,59069,STILLWATER,0,0,0,0,0,0
MT,Montana,59070,CARBON,0,0,0,0,0,0
MT,Montana,59071,CARBON,0,0,0,0,0,0
MT,Montana,59072,MUSSELSHELL,0,0,0,0,0,0
MT,Montana,59073,ROUNDUP ,0,0,0,0,0,0
MT,Montana,59074,GOLDEN VALLEY,0,0,0,0,0,0
MT,Montana,59075,BIG HORN,0,0,0,0,0,0
MT,Montana,59076,TREASURE,0,0,0,0,0,0
