State,FullStateName,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
NC,North Carolina,27006,DAVIE COUNTY,0.0475,0.0675,0.02,0,0,6
NC,North Carolina,27007,SURRY COUNTY,0.0475,0.07,0.0225,0,0,2
NC,North Carolina,27009,FORSYTH COUNTY,0.0475,0.07,0.0225,0,0,2
NC,North Carolina,27010,BETHANIA,0.0475,0.07,0.0225,0,0,1
NC,North Carolina,27011,YADKIN COUNTY,0.0475,0.0675,0.02,0,0,4
NC,North Carolina,27012,CLEMMONS,0.0475,0.07,0.0225,0,0,1
NC,North Carolina,27013,ROWAN COUNTY,0.0475,0.07,0.0225,0,0,5
NC,North Carolina,27014,COOLEEMEE,0.0475,0.0675,0.02,0,0,1
NC,North Carolina,27016,STOKES COUNTY,0.0475,0.0675,0.02,0,0,2
NC,North Carolina,27017,SURRY COUNTY,0.0475,0.07,0.0225,0,0,5
NC,North Carolina,27018,YADKIN COUNTY,0.0475,0.0675,0.02,0,0,1
NC,North Carolina,27019,STOKES COUNTY,0.0475,0.0675,0.02,0,0,1
NC,North Carolina,27020,YADKIN COUNTY,0.0475,0.0675,0.02,0,0,7
NC,North Carolina,27021,STOKES COUNTY,0.0475,0.0675,0.02,0,0,1
NC,North Carolina,27022,STOKES COUNTY,0.0475,0.0675,0.02,0,0,2
NC,North Carolina,27023,LEWISVILLE,0.0475,0.07,0.0225,0,0,2
NC,North Carolina,27024,SURRY COUNTY,0.0475,0.07,0.0225,0,0,1
NC,North Carolina,27025,ROCKINGHAM COUNTY,0.0475,0.07,0.0225,0,0,2
NC,North Carolina,27027,MAYODAN,0.0475,0.07,0.0225,0,0,2
NC,North Carolina,27028,DAVIE COUNTY,0.0475,0.0675,0.02,0,0,2
NC,North Carolina,27030,SURRY COUNTY,0.0475,0.07,0.0225,0,0,3
NC,North Carolina,27031,SURRY COUNTY,0.0475,0.07,0.0225,0,0,1
NC,North Carolina,27040,FORSYTH COUNTY,0.0475,0.07,0.0225,0,0,3
NC,North Carolina,27041,SURRY COUNTY,0.0475,0.07,0.0225,0,0,1
NC,North Carolina,27042,STOKES COUNTY,0.0475,0.0675,0.02,0,0,1
NC,North Carolina,27043,STOKES COUNTY,0.0475,0.0675,0.02,0,0,4
NC,North Carolina,27045,RURAL HALL,0.0475,0.07,0.0225,0,0,2
NC,North Carolina,27046,STOKES COUNTY,0.0475,0.0675,0.02,0,0,1
NC,North Carolina,27047,SURRY COUNTY,0.0475,0.07,0.0225,0,0,1
NC,North Carolina,27048,ROCKINGHAM COUNTY,0.0475,0.07,0.0225,0,0,3
NC,North Carolina,27049,MOUNT AIRY,0.0475,0.07,0.0225,0,0,1
NC,North Carolina,27050,FORSYTH COUNTY,0.0475,0.07,0.0225,0,0,1
NC,North Carolina,27051,WALKERTOWN,0.0475,0.07,0.0225,0,0,1
NC,North Carolina,27052,STOKES COUNTY,0.0475,0.0675,0.02,0,0,3
NC,North Carolina,27053,STOKES COUNTY,0.0475,0.0675,0.02,0,0,1
NC,North Carolina,27054,ROWAN COUNTY,0.0475,0.07,0.0225,0,0,1
NC,North Carolina,27055,YADKIN COUNTY,0.0475,0.0675,0.02,0,0,7
NC,North Carolina,27094,RURAL HALL,0.0475,0.07,0.0225,0,0,2
NC,North Carolina,27099,RURAL HALL,0.0475,0.07,0.0225,0,0,1
NC,North Carolina,27101,WINSTON-SALEM,0.0475,0.07,0.0225,0,0,1
NC,North Carolina,27102,WINSTON-SALEM,0.0475,0.07,0.0225,0,0,1
NC,North Carolina,27103,WINSTON-SALEM,0.0475,0.07,0.0225,0,0,4
NC,North Carolina,27104,WINSTON-SALEM,0.0475,0.07,0.0225,0,0,2
NC,North Carolina,27105,WINSTON-SALEM,0.0475,0.07,0.0225,0,0,3
NC,North Carolina,27106,WINSTON-SALEM,0.0475,0.07,0.0225,0,0,3
NC,North Carolina,27107,WINSTON-SALEM,0.0475,0.07,0.0225,0,0,4
NC,North Carolina,27108,WINSTON-SALEM,0.0475,0.07,0.0225,0,0,1
NC,North Carolina,27109,WINSTON-SALEM,0.0475,0.07,0.0225,0,0,1
NC,North Carolina,27110,WINSTON-SALEM,0.0475,0.07,0.0225,0,0,1
NC,North Carolina,27111,WINSTON-SALEM,0.0475,0.07,0.0225,0,0,1
NC,North Carolina,27113,WINSTON-SALEM,0.0475,0.07,0.0225,0,0,1
NC,North Carolina,27114,WINSTON-SALEM,0.0475,0.07,0.0225,0,0,1
