State,FullStateName,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
ND,North Dakota,58001,ABERCROMBIE,0.05,0.05,0,0,0,1
ND,North Dakota,58002,CASS COUNTY,0.05,0.055,0.005,0,0,1
ND,North Dakota,58004,CASS COUNTY,0.05,0.055,0.005,0,0,1
ND,North Dakota,58005,CASS COUNTY,0.05,0.055,0.005,0,0,1
ND,North Dakota,58006,ARTHUR,0.05,0.055,0.005,0,0,1
ND,North Dakota,58007,CASS COUNTY,0.05,0.055,0.005,0,0,1
ND,North Dakota,58008,RICHLAND ,0.05,0.05,0,0,0,1
ND,North Dakota,58009,TRAILL,0.05,0.05,0,0,0,1
ND,North Dakota,58011,CASS COUNTY,0.05,0.055,0.005,0,0,1
ND,North Dakota,58012,CASSELTON,0.05,0.075,0.005,0.02,0,1
ND,North Dakota,58013,SARGENT ,0.05,0.05,0,0,0,1
ND,North Dakota,58015,RICHLAND ,0.05,0.05,0,0,0,1
ND,North Dakota,58016,TRAILL,0.05,0.05,0,0,0,1
ND,North Dakota,58017,SARGENT ,0.05,0.05,0,0,0,3
ND,North Dakota,58018,RICHLAND ,0.05,0.05,0,0,0,1
ND,North Dakota,58021,CASS COUNTY,0.05,0.055,0.005,0,0,2
ND,North Dakota,58027,ENDERLIN,0.05,0.075,0,0.025,0,1
ND,North Dakota,58029,CASS COUNTY,0.05,0.055,0.005,0,0,1
ND,North Dakota,58030,RICHLAND ,0.05,0.05,0,0,0,1
ND,North Dakota,58031,BARNES ,0.05,0.05,0,0,0,2
ND,North Dakota,58032,FORMAN,0.05,0.065,0,0.015,0,1
ND,North Dakota,58033,RANSOM,0.05,0.05,0,0,0,1
ND,North Dakota,58035,GALESBURG,0.05,0.05,0,0,0,1
ND,North Dakota,58036,CASS COUNTY,0.05,0.055,0.005,0,0,2
ND,North Dakota,58038,GRANDIN,0.05,0.055,0.005,0,0,1
ND,North Dakota,58040,GWINNER,0.05,0.07,0,0.02,0,2
ND,North Dakota,58041,HANKINSON,0.05,0.08,0,0.03,0,1
ND,North Dakota,58042,CASS COUNTY,0.05,0.055,0.005,0,0,3
ND,North Dakota,58043,SARGENT ,0.05,0.05,0,0,0,1
ND,North Dakota,58045,HILLSBORO,0.05,0.075,0,0.025,0,2
ND,North Dakota,58046,STEELE COUNTY,0.05,0.06,0.01,0,0,2
ND,North Dakota,58047,HORACE,0.05,0.075,0.005,0.02,0,4
ND,North Dakota,58048,HUNTER,0.05,0.055,0.005,0,0,1
ND,North Dakota,58049,BARNES ,0.05,0.05,0,0,0,2
ND,North Dakota,58051,KINDRED,0.05,0.075,0.005,0.02,0,1
ND,North Dakota,58052,CASS COUNTY,0.05,0.055,0.005,0,0,1
ND,North Dakota,58053,LIDGERWOOD,0.05,0.08,0,0.03,0,2
ND,North Dakota,58054,LISBON,0.05,0.075,0,0.025,0,1
ND,North Dakota,58056,BARNES ,0.05,0.05,0,0,0,1
ND,North Dakota,58057,RANSOM,0.05,0.05,0,0,0,1
ND,North Dakota,58058,RICHLAND ,0.05,0.05,0,0,0,1
