State,FullStateName,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
NE,Nebraska,68001,ABIE,0.055,0.055,0,0,0,1
NE,Nebraska,68002,WASHINGTON,0.055,0.055,0,0,0,1
NE,Nebraska,68003,ASHLAND,0.055,0.07,0,0.015,0,1
NE,Nebraska,68004,BANCROFT,0.055,0.07,0,0.015,0,1
NE,Nebraska,68005,BELLEVUE,0.055,0.07,0,0.015,0,1
NE,Nebraska,68007,DOUGLAS,0.055,0.055,0,0,0,1
NE,Nebraska,68008,BLAIR,0.055,0.07,0,0.015,0,1
NE,Nebraska,68010,BOYS TOWN,0.055,0.055,0,0,0,2
NE,Nebraska,68014,BUTLER,0.055,0.055,0,0,0,1
NE,Nebraska,68015,SAUNDERS,0.055,0.055,0,0,0,1
NE,Nebraska,68016,CEDAR CREEK,0.055,0.055,0,0,0,1
NE,Nebraska,68017,CERESCO,0.055,0.07,0,0.015,0,1
NE,Nebraska,68018,SAUNDERS,0.055,0.055,0,0,0,1
NE,Nebraska,68019,BURT,0.055,0.055,0,0,0,1
NE,Nebraska,68020,DECATUR,0.055,0.075,0,0.02,0,1
NE,Nebraska,68022,OMAHA,0.055,0.07,0,0.015,0,1
NE,Nebraska,68023,WASHINGTON,0.055,0.055,0,0,0,1
NE,Nebraska,68025,FREMONT,0.055,0.07,0,0.015,0,2
NE,Nebraska,68026,FREMONT,0.055,0.07,0,0.015,0,1
NE,Nebraska,68028,SARPY,0.055,0.055,0,0,0,1
NE,Nebraska,68029,WASHINGTON,0.055,0.055,0,0,0,1
NE,Nebraska,68030,DAKOTA COUNTY,0.055,0.06,0.005,0,0,1
NE,Nebraska,68031,DODGE,0.055,0.055,0,0,0,1
NE,Nebraska,68033,SAUNDERS,0.055,0.055,0,0,0,1
NE,Nebraska,68034,WASHINGTON,0.055,0.055,0,0,0,1
NE,Nebraska,68036,BUTLER,0.055,0.055,0,0,0,1
NE,Nebraska,68037,CASS,0.055,0.055,0,0,0,1
NE,Nebraska,68038,LYONS,0.055,0.07,0,0.015,0,1
NE,Nebraska,68039,THURSTON,0.055,0.055,0,0,0,1
NE,Nebraska,68040,SAUNDERS,0.055,0.055,0,0,0,1
NE,Nebraska,68041,SAUNDERS,0.055,0.055,0,0,0,1
NE,Nebraska,68042,MEMPHIS,0.055,0.055,0,0,0,1
NE,Nebraska,68044,WASHINGTON,0.055,0.055,0,0,0,2
NE,Nebraska,68045,OAKLAND,0.055,0.07,0,0.015,0,1
NE,Nebraska,68046,PAPILLION,0.055,0.075,0,0.02,0,1
NE,Nebraska,68047,PENDER,0.055,0.07,0,0.015,0,1
NE,Nebraska,68048,CASS,0.055,0.055,0,0,0,1
NE,Nebraska,68050,SAUNDERS,0.055,0.055,0,0,0,1
NE,Nebraska,68055,ROSALIE,0.055,0.055,0,0,0,1
NE,Nebraska,68056,SARPY,0.055,0.055,0,0,0,1
NE,Nebraska,68057,DODGE,0.055,0.055,0,0,0,1
NE,Nebraska,68058,CASS,0.055,0.055,0,0,0,1
NE,Nebraska,68059,SARPY,0.055,0.055,0,0,0,2
NE,Nebraska,68061,TEKAMAH,0.055,0.075,0,0.02,0,1
NE,Nebraska,68062,THURSTON,0.055,0.055,0,0,0,1
NE,Nebraska,68063,UEHLING,0.055,0.065,0,0.01,0,1
NE,Nebraska,68064,DOUGLAS,0.055,0.055,0,0,0,2
