State,FullStateName,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
NH,New Hampshire,3031,NEW HAMPSHIRE,0,0,0,0,0,0
NH,New Hampshire,3032,NEW HAMPSHIRE,0,0,0,0,0,0
NH,New Hampshire,3033,NEW HAMPSHIRE,0,0,0,0,0,0
NH,New Hampshire,3034,NEW HAMPSHIRE,0,0,0,0,0,0
NH,New Hampshire,3036,NEW HAMPSHIRE,0,0,0,0,0,0
NH,New Hampshire,3037,NEW HAMPSHIRE,0,0,0,0,0,0
NH,New Hampshire,3038,NEW HAMPSHIRE,0,0,0,0,0,0
NH,New Hampshire,3041,NEW HAMPSHIRE,0,0,0,0,0,0
NH,New Hampshire,3042,NEW HAMPSHIRE,0,0,0,0,0,0
NH,New Hampshire,3043,NEW HAMPSHIRE,0,0,0,0,0,0
NH,New Hampshire,3044,NEW HAMPSHIRE,0,0,0,0,0,0
NH,New Hampshire,3045,NEW HAMPSHIRE,0,0,0,0,0,0
NH,New Hampshire,3046,NEW HAMPSHIRE,0,0,0,0,0,0
NH,New Hampshire,3047,NEW HAMPSHIRE,0,0,0,0,0,0
NH,New Hampshire,3048,NEW HAMPSHIRE,0,0,0,0,0,0
NH,New Hampshire,3049,NEW HAMPSHIRE,0,0,0,0,0,0
NH,New Hampshire,3051,NEW HAMPSHIRE,0,0,0,0,0,0
NH,New Hampshire,3052,NEW HAMPSHIRE,0,0,0,0,0,0
NH,New Hampshire,3053,NEW HAMPSHIRE,0,0,0,0,0,0
NH,New Hampshire,3054,NEW HAMPSHIRE,0,0,0,0,0,0
NH,New Hampshire,3055,NEW HAMPSHIRE,0,0,0,0,0,0
NH,New Hampshire,3057,NEW HAMPSHIRE,0,0,0,0,0,0
NH,New Hampshire,3060,NEW HAMPSHIRE,0,0,0,0,0,0
NH,New Hampshire,3061,NEW HAMPSHIRE,0,0,0,0,0,0
NH,New Hampshire,3062,NEW HAMPSHIRE,0,0,0,0,0,0
NH,New Hampshire,3063,NEW HAMPSHIRE,0,0,0,0,0,0
NH,New Hampshire,3064,NEW HAMPSHIRE,0,0,0,0,0,0
NH,New Hampshire,3070,NEW HAMPSHIRE,0,0,0,0,0,0
NH,New Hampshire,3071,NEW HAMPSHIRE,0,0,0,0,0,0
NH,New Hampshire,3073,NEW HAMPSHIRE,0,0,0,0,0,0
NH,New Hampshire,3076,NEW HAMPSHIRE,0,0,0,0,0,0
NH,New Hampshire,3077,NEW HAMPSHIRE,0,0,0,0,0,0
NH,New Hampshire,3079,NEW HAMPSHIRE,0,0,0,0,0,0
NH,New Hampshire,3082,NEW HAMPSHIRE,0,0,0,0,0,0
NH,New Hampshire,3084,NEW HAMPSHIRE,0,0,0,0,0,0
NH,New Hampshire,3086,NEW HAMPSHIRE,0,0,0,0,0,0
NH,New Hampshire,3087,NEW HAMPSHIRE,0,0,0,0,0,0
NH,New Hampshire,3101,NEW HAMPSHIRE,0,0,0,0,0,0
NH,New Hampshire,3102,NEW HAMPSHIRE,0,0,0,0,0,0
NH,New Hampshire,3103,NEW HAMPSHIRE,0,0,0,0,0,0
NH,New Hampshire,3104,NEW HAMPSHIRE,0,0,0,0,0,0
NH,New Hampshire,3105,NEW HAMPSHIRE,0,0,0,0,0,0
NH,New Hampshire,3106,NEW HAMPSHIRE,0,0,0,0,0,0
NH,New Hampshire,3108,NEW HAMPSHIRE,0,0,0,0,0,0
NH,New Hampshire,3109,NEW HAMPSHIRE,0,0,0,0,0,0
NH,New Hampshire,3110,NEW HAMPSHIRE,0,0,0,0,0,0
NH,New Hampshire,3111,NEW HAMPSHIRE,0,0,0,0,0,0
NH,New Hampshire,3215,NEW HAMPSHIRE,0,0,0,0,0,0
NH,New Hampshire,3216,NEW HAMPSHIRE,0,0,0,0,0,0
NH,New Hampshire,3217,NEW HAMPSHIRE,0,0,0,0,0,0
NH,New Hampshire,3218,NEW HAMPSHIRE,0,0,0,0,0,0
