State,FullStateName,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
NJ,New Jersey,7001,WOODBRIDGE TOWNSHIP ,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7002,"BAYONNE CITY, NJ",0.06625,0.06625,0,0,0,0
NJ,New Jersey,7003,BLOOMFIELD ,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7004,FAIRFIELD TOWNSHIP(ESSEX COUNTY),0.06625,0.06625,0,0,0,0
NJ,New Jersey,7005,BOONTON CITY,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7006,CALDWELL,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7007,WEST CALDWELL ,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7008,CARTERET CITY,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7009,CEDAR GROVE CITY,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7010,CLIFFSIDE PARK,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7011,CLIFTON CITY,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7012,CLIFTON CITY,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7013,CLIFTON CITY,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7014,CLIFTON CITY,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7015,CLIFTON CITY,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7016,"CRANFORD CITY, NJ",0.06625,0.06625,0,0,0,0
NJ,New Jersey,7017,EAST ORANGE,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7018,EAST ORANGE,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7019,EAST ORANGE,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7020,EDGEWATER,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7021,ESSEX FELLS,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7022,FAIRVIEW,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7023,FANWOOD,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7024,FORT LEE BOROUGH,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7026,GARFIELD CITY,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7027,GARWOOD  BOROUGH,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7028,GLEN RIDGE BOROUGH,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7029,HARRISON,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7030,HOBOKEN,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7031,NORTH ARLINGTON,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7032,KEARNY,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7033,KENILWORTH,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7034,PARSIPPANY TROY HILLS TOWNSHIP,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7035,LINCOLN PARK,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7036,LINDEN,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7039,LIVINGSTON,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7040,MAPLEWOOD TOWNSHIP,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7041,MILLBURN,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7042,MONTCLAIR TOWNSHIP,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7043,MONTCLAIR TOWNSHIP,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7044,VERONA,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7045,MONTVILLE TOWNSHIP,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7046,MOUNTAIN LAKES BOROUGH,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7047,NORTH BERGEN ,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7050,ORANGE,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7051,ORANGE,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7052,WEST ORANGE ,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7054,PARSIPPANY TROY HILLS TOWNSHIP,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7055,PASSAIC  CITY,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7057,WALLINGTON ,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7058,MONTVILLE TOWNSHIP,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7059,WARREN TOWNSHIP ,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7060,PLAINFIELD,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7061,PLAINFIELD,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7062,PLAINFIELD,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7063,PLAINFIELD,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7064,WOODBRIDGE TOWNSHIP ,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7065,RAHWAY,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7066,CLARK CITY,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7067,WOODBRIDGE TOWNSHIP ,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7068,ROSELAND,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7069,WATCHUNG ,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7070,RUTHERFORD,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7071,LYNDHURST,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7072,CARLSTADT,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7073,EAST RUTHERFORD,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7074,MOONACHIE,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7075,WOOD RIDGE ,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7076,SCOTCH PLAINS,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7077,WOODBRIDGE TOWNSHIP ,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7078,MILLBURN,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7079,SOUTH ORANGE VILLAGE,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7080,SOUTH PLAINFIELD ,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7081,SPRINGFIELD TOWNSHIP (UNION COUNTY),0.06625,0.06625,0,0,0,0
NJ,New Jersey,7082,MONTVILLE TOWNSHIP,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7083,UNION TOWNSHIP (UNION COUNTY),0.06625,0.06625,0,0,0,0
NJ,New Jersey,7086,WEEHAWKEN ,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7087,UNION CITY ,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7088,UNION TOWNSHIP (UNION COUNTY),0.06625,0.06625,0,0,0,0
NJ,New Jersey,7090,WESTFIELD ,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7091,WESTFIELD ,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7092,MOUNTAINSIDE BOROUGH,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7093,WEST NEW YORK ,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7094,SECAUCUS,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7095,WOODBRIDGE TOWNSHIP ,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7096,SECAUCUS,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7097,JERSEY CITY,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7099,KEARNY,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7101,NEWARK,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7102,NEWARK,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7103,NEWARK,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7104,NEWARK CITY,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7105,NEWARK CITY,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7106,NEWARK CITY,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7107,NEWARK CITY,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7108,NEWARK,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7109,BELLEVILLE CITY,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7110,NUTLEY TOWNSHIP,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7111,IRVINGTON,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7112,NEWARK CITY,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7114,NEWARK,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7175,NEWARK,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7201,ELIZABETH ,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7202,ELIZABETH ,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7203,ROSELLE,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7204,ROSELLE PARK,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7205,HILLSIDE,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7206,ELIZABETH ,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7207,ELIZABETH ,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7208,ELIZABETH ,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7302,JERSEY CITY,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7303,JERSEY CITY,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7304,JERSEY CITY,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7305,JERSEY CITY,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7306,JERSEY CITY,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7307,JERSEY CITY,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7310,JERSEY CITY,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7311,JERSEY CITY,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7395,JERSEY CITY,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7399,JERSEY CITY,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7401,ALLENDALE CITY,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7403,BLOOMINGDALE CITY,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7405,BUTLER CITY,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7407,ELMWOOD PARK,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7410,FAIR LAWN,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7416,FRANKLIN BOROUGH,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7417,FRANKLIN LAKES BOROUGH,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7418,VERNON TOWNSHIP ,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7419,HARDYSTON TOWNSHIP,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7420,WANAQUE,0.06625,0.06625,0,0,0,0
NJ,New Jersey,7421,WEST MILFORD ,0.06625,0.06625,0,0,0,0
