State,FullStateName,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
NM,New Mexico,87001,SANDOVAL COUNTY,0.05125,0.06375,0.0125,0,0,4
NM,New Mexico,87002,BELEN,0.05125,0.083125,0,0.031875,0,4
NM,New Mexico,87004,BERNALILLO (CITY),0.05125,0.071875,0,0.020625,0,5
NM,New Mexico,87005,CIBOLA COUNTY,0.05125,0.068125,0.016875,0,0,1
NM,New Mexico,87006,SOCORRO COUNTY,0.05125,0.065,0.01375,0,0,4
NM,New Mexico,87007,LAGUNA PUEBLO (2) (CIBOLA CO),0,0.068125,0,0,0.068125,1
NM,New Mexico,87008,BERNALILLO COUNTY,0.05125,0.064375,0.013125,0,0,1
NM,New Mexico,87009,TORRANCE COUNTY,0.05125,0.0675,0.01625,0,0,1
NM,New Mexico,87010,SANTA FE COUNTY,0.05125,0.07125,0.02,0,0,2
NM,New Mexico,87011,SOCORRO COUNTY,0.05125,0.065,0.01375,0,0,1
NM,New Mexico,87012,RIO ARRIBA COUNTY,0.05125,0.06875,0.0175,0,0,2
NM,New Mexico,87013,SANDOVAL COUNTY,0.05125,0.06375,0.0125,0,0,3
NM,New Mexico,87014,CIBOLA COUNTY,0.05125,0.068125,0.016875,0,0,1
NM,New Mexico,87015,EDGEWOOD,0.05125,0.081875,0,0.030625,0,1
NM,New Mexico,87016,TORRANCE COUNTY,0.05125,0.0675,0.01625,0,0,2
NM,New Mexico,87017,RIO ARRIBA COUNTY,0.05125,0.06875,0.0175,0,0,1
NM,New Mexico,87018,SANDOVAL COUNTY,0.05125,0.06375,0.0125,0,0,1
NM,New Mexico,87020,GRANTS,0.05125,0.08125,0,0.03,0,1
NM,New Mexico,87021,MILAN,0.05125,0.08,0,0.02875,0,1
NM,New Mexico,87022,BERNALILLO COUNTY,0.05125,0.064375,0.013125,0,0,1
NM,New Mexico,87023,VALENCIA COUNTY,0.05125,0.06875,0.0175,0,0,1
NM,New Mexico,87024,SANDOVAL COUNTY,0.05125,0.06375,0.0125,0,0,1
NM,New Mexico,87025,SANDOVAL COUNTY,0.05125,0.06375,0.0125,0,0,1
NM,New Mexico,87026,VALENCIA COUNTY,0.05125,0.06875,0.0175,0,0,1
NM,New Mexico,87027,SANDOVAL COUNTY,0.05125,0.06375,0.0125,0,0,2
NM,New Mexico,87028,SOCORRO COUNTY,0.05125,0.065,0.01375,0,0,1
NM,New Mexico,87029,RIO ARRIBA COUNTY,0.05125,0.06875,0.0175,0,0,3
NM,New Mexico,87031,VALENCIA COUNTY,0.05125,0.06875,0.0175,0,0,1
NM,New Mexico,87032,TORRANCE COUNTY,0.05125,0.0675,0.01625,0,0,1
NM,New Mexico,87034,CIBOLA,0,0.068125,0,0.068125,0,1
NM,New Mexico,87035,TORRANCE COUNTY,0.05125,0.0675,0.01625,0,0,1
NM,New Mexico,87036,MOUNTAINAIR,0.05125,0.079375,0,0.028125,0,1
NM,New Mexico,87037,SAN JUAN COUNTY,0.05125,0.066875,0.015625,0,0,1
NM,New Mexico,87038,LAGUNA PUEBLO (2) (CIBOLA CO),0,0.068125,0,0,0.068125,1
NM,New Mexico,87040,LAGUNA PUEBLO (2) (CIBOLA CO),0,0.068125,0,0,0.068125,1
NM,New Mexico,87041,PUEBLO DE COCHITI (2) (SANDOVAL CO),0,0.06375,0,0,0.06375,2
NM,New Mexico,87042,PERALTA,0.05125,0.079375,0,0.028125,0,2
NM,New Mexico,87043,SANDOVAL COUNTY,0.05125,0.06375,0.0125,0,0,1
NM,New Mexico,87044,SANDOVAL COUNTY,0.05125,0.06375,0.0125,0,0,1
NM,New Mexico,87045,MCKINLEY COUNTY,0.05125,0.0675,0.01625,0,0,1
NM,New Mexico,87047,BERNALILLO COUNTY,0.05125,0.064375,0.013125,0,0,3
NM,New Mexico,87048,CORRALES,0.05125,0.078125,0,0.026875,0,1
NM,New Mexico,87049,CIBOLA COUNTY,0.05125,0.068125,0.016875,0,0,1
NM,New Mexico,87051,CIBOLA COUNTY,0.05125,0.068125,0.016875,0,0,1
NM,New Mexico,87052,KEWA PUEBLO 2,0,0.06375,0,0.06375,0,1
NM,New Mexico,87053,SANDOVAL COUNTY,0.05125,0.06375,0.0125,0,0,1
NM,New Mexico,87056,SANTA FE COUNTY,0.05125,0.07125,0.02,0,0,1
NM,New Mexico,87059,BERNALILLO COUNTY,0.05125,0.064375,0.013125,0,0,4
NM,New Mexico,87060,VALENCIA COUNTY,0.05125,0.06875,0.0175,0,0,1
NM,New Mexico,87061,TORRANCE COUNTY,0.05125,0.0675,0.01625,0,0,1
NM,New Mexico,87062,SOCORRO COUNTY,0.05125,0.065,0.01375,0,0,1
NM,New Mexico,87063,TORRANCE COUNTY,0.05125,0.0675,0.01625,0,0,3
NM,New Mexico,87064,RIO ARRIBA COUNTY,0.05125,0.06875,0.0175,0,0,2
NM,New Mexico,87068,BOSQUE FARMS,0.05125,0.0855,0,0.03425,0,2
NM,New Mexico,87070,TORRANCE COUNTY,0.05125,0.0675,0.01625,0,0,1
NM,New Mexico,87072,PUEBLO DE COCHITI (2) (SANDOVAL CO),0,0.06375,0,0,0.06375,1
NM,New Mexico,87083,PUEBLO DE COCHITI (2) (SANDOVAL CO),0,0.06375,0,0,0.06375,1
NM,New Mexico,87101,ALBUQUERQUE,0.05125,0.07875,0,0.0275,0,2
NM,New Mexico,87102,ALBUQUERQUE,0.05125,0.07875,0,0.0275,0,2
NM,New Mexico,87103,ALBUQUERQUE,0.05125,0.07875,0,0.0275,0,2
NM,New Mexico,87104,ALBUQUERQUE,0.05125,0.07875,0,0.0275,0,2
NM,New Mexico,87105,BERNALILLO COUNTY,0.05125,0.064375,0.013125,0,0,3
NM,New Mexico,87106,ALBUQUERQUE,0.05125,0.07875,0,0.0275,0,2
NM,New Mexico,87107,ALBUQUERQUE,0.05125,0.07875,0,0.0275,0,5
NM,New Mexico,87108,ALBUQUERQUE,0.05125,0.07875,0,0.0275,0,2
NM,New Mexico,87109,ALBUQUERQUE,0.05125,0.07875,0,0.0275,0,2
NM,New Mexico,87110,ALBUQUERQUE,0.05125,0.07875,0,0.0275,0,2
NM,New Mexico,87111,ALBUQUERQUE,0.05125,0.07875,0,0.0275,0,2
NM,New Mexico,87112,ALBUQUERQUE,0.05125,0.07875,0,0.0275,0,2
NM,New Mexico,87113,ALBUQUERQUE,0.05125,0.07875,0,0.0275,0,2
NM,New Mexico,87114,ALBUQUERQUE,0.05125,0.07875,0,0.0275,0,6
NM,New Mexico,87115,BERNALILLO COUNTY,0.05125,0.064375,0.013125,0,0,2
NM,New Mexico,87116,BERNALILLO COUNTY,0.05125,0.064375,0.013125,0,0,2
NM,New Mexico,87117,BERNALILLO COUNTY,0.05125,0.064375,0.013125,0,0,2
NM,New Mexico,87119,ALBUQUERQUE,0.05125,0.07875,0,0.0275,0,2
NM,New Mexico,87120,ALBUQUERQUE,0.05125,0.07875,0,0.0275,0,2
NM,New Mexico,87121,ALBUQUERQUE,0.05125,0.07875,0,0.0275,0,2
NM,New Mexico,87122,BERNALILLO COUNTY,0.05125,0.064375,0.013125,0,0,2
NM,New Mexico,87123,ALBUQUERQUE,0.05125,0.07875,0,0.0275,0,2
NM,New Mexico,87124,RIO RANCHO,0.05125,0.076875,0,0.025625,0,5
NM,New Mexico,87125,ALBUQUERQUE,0.05125,0.07875,0,0.0275,0,2
NM,New Mexico,87131,ALBUQUERQUE,0.05125,0.07875,0,0.0275,0,2
NM,New Mexico,87144,RIO RANCHO,0.05125,0.076875,0,0.025625,0,1
NM,New Mexico,87151,ALBUQUERQUE,0.05125,0.07875,0,0.0275,0,1
NM,New Mexico,87153,ALBUQUERQUE,0.05125,0.07875,0,0.0275,0,2
