State,FullStateName,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
NV,Nevada,89001,LINCOLN COUNTY,0.046,0.071,0.025,0,0,3
NV,Nevada,89002,HENDERSON,0.046,0.08375,0.03775,0,0,1
NV,Nevada,89003,NYE COUNTY,0.046,0.076,0.03,0,0,2
NV,Nevada,89004,CLARK,0.046,0.08375,0.03775,0,0,2
NV,Nevada,89005,BOULDER CITY,0.046,0.08375,0.03775,0,0,2
NV,Nevada,89006,BOULDER CITY,0.046,0.08375,0.03775,0,0,1
NV,Nevada,89007,CLARK COUNTY,0.046,0.08375,0.03775,0,0,2
NV,Nevada,89008,CALIENTE,0.046,0.071,0.025,0,0,3
NV,Nevada,89009,HENDERSON,0.046,0.08375,0.03775,0,0,1
NV,Nevada,89010,ESMERALDA COUNTY,0.046,0.0685,0.0225,0,0,1
NV,Nevada,89011,HENDERSON,0.046,0.08375,0.03775,0,0,1
NV,Nevada,89012,HENDERSON,0.046,0.08375,0.03775,0,0,1
NV,Nevada,89013,ESMERALDA COUNTY,0.046,0.0685,0.0225,0,0,1
NV,Nevada,89014,HENDERSON,0.046,0.08375,0.03775,0,0,2
NV,Nevada,89015,HENDERSON,0.046,0.08375,0.03775,0,0,2
NV,Nevada,89016,HENDERSON,0.046,0.08375,0.03775,0,0,1
NV,Nevada,89017,LINCOLN COUNTY,0.046,0.071,0.025,0,0,3
NV,Nevada,89018,CLARK COUNTY,0.046,0.08375,0.03775,0,0,1
NV,Nevada,89019,CLARK COUNTY,0.046,0.08375,0.03775,0,0,4
NV,Nevada,89020,NYE COUNTY,0.046,0.076,0.03,0,0,2
NV,Nevada,89021,CLARK COUNTY,0.046,0.08375,0.03775,0,0,2
NV,Nevada,89022,NYE COUNTY,0.046,0.076,0.03,0,0,1
NV,Nevada,89023,NYE COUNTY,0.046,0.076,0.03,0,0,1
NV,Nevada,89024,MESQUITE,0.046,0.08375,0.03775,0,0,1
NV,Nevada,89025,CLARK COUNTY,0.046,0.08375,0.03775,0,0,1
