State,FullStateName,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
NY,New York,501,BROOKHAVEN,0.04,0.08625,0.0425,0,0.00375,1
NY,New York,6390,SOUTHOLD,0.04,0.08625,0.0425,0,0.00375,2
NY,New York,10001,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,3
NY,New York,10002,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,2
NY,New York,10003,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,3
NY,New York,10004,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,3
NY,New York,10005,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,2
NY,New York,10006,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,3
NY,New York,10007,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,2
NY,New York,10008,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,2
NY,New York,10009,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,2
NY,New York,10010,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,2
NY,New York,10011,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,2
NY,New York,10012,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,2
NY,New York,10013,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,2
NY,New York,10014,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,2
NY,New York,10016,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,2
NY,New York,10017,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,2
NY,New York,10018,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,2
NY,New York,10019,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,2
NY,New York,10020,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,2
NY,New York,10021,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,2
NY,New York,10022,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,2
NY,New York,10023,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,2
NY,New York,10024,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,2
NY,New York,10025,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,2
NY,New York,10026,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,1
NY,New York,10027,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,2
NY,New York,10028,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,2
NY,New York,10029,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,2
NY,New York,10030,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,2
NY,New York,10031,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,2
NY,New York,10032,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,2
NY,New York,10033,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,2
NY,New York,10034,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,2
NY,New York,10035,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,5
NY,New York,10036,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,2
NY,New York,10037,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,3
NY,New York,10038,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,2
NY,New York,10039,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,2
NY,New York,10040,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,3
NY,New York,10041,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,2
NY,New York,10043,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,1
NY,New York,10044,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,2
NY,New York,10045,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,2
NY,New York,10055,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,2
NY,New York,10060,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,1
NY,New York,10065,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,1
NY,New York,10069,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,1
NY,New York,10075,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,1
NY,New York,10080,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,1
NY,New York,10081,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,2
NY,New York,10090,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,1
NY,New York,10101,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,2
NY,New York,10102,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,1
NY,New York,10103,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,2
NY,New York,10104,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,2
NY,New York,10105,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,2
NY,New York,10106,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,2
NY,New York,10107,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,2
NY,New York,10108,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,2
NY,New York,10109,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,2
NY,New York,10110,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,2
NY,New York,10111,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,2
NY,New York,10112,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,2
NY,New York,10113,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,2
NY,New York,10114,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,2
NY,New York,10115,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,2
NY,New York,10116,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,2
NY,New York,10117,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,1
NY,New York,10118,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,2
NY,New York,10119,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,2
NY,New York,10120,NEW YORK CITY,0.04,0.08875,0,0.045,0.00375,2
