State,FullStateName,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
OH,Ohio,43001,LICKING COUNTY,0.0575,0.0725,0.015,0,0,1
OH,Ohio,43002,DUBLIN COTA,0.0575,0.075,0.0125,0,0.005,1
OH,Ohio,43003,DELAWARE COUNTY,0.0575,0.07,0.0125,0,0,1
OH,Ohio,43004,COLUMBUS COTA (DELAWARE CO),0.0575,0.075,0.0125,0,0.005,1
OH,Ohio,43005,KNOX COUNTY,0.0575,0.0725,0.015,0,0,1
OH,Ohio,43006,HOLMES COUNTY,0.0575,0.07,0.0125,0,0,1
OH,Ohio,43007,UNION COUNTY,0.0575,0.07,0.0125,0,0,1
OH,Ohio,43008,BUCKEYE LAKE,0.0575,0.0725,0.015,0,0,1
OH,Ohio,43009,CHAMPAIGN COUNTY,0.0575,0.0725,0.015,0,0,1
OH,Ohio,43010,CATAWBA,0.0575,0.0725,0.015,0,0,1
OH,Ohio,43011,KNOX COUNTY,0.0575,0.0725,0.015,0,0,1
OH,Ohio,43013,LICKING COUNTY,0.0575,0.0725,0.015,0,0,1
OH,Ohio,43014,KNOX COUNTY,0.0575,0.0725,0.015,0,0,1
OH,Ohio,43015,DELAWARE,0.0575,0.07,0.0125,0,0,1
OH,Ohio,43016,DUBLIN COTA,0.0575,0.075,0.0125,0,0.005,1
OH,Ohio,43017,DUBLIN COTA,0.0575,0.075,0.0125,0,0.005,1
OH,Ohio,43018,LICKING COUNTY,0.0575,0.0725,0.015,0,0,3
OH,Ohio,43019,KNOX COUNTY,0.0575,0.0725,0.015,0,0,1
OH,Ohio,43021,DELAWARE COUNTY,0.0575,0.07,0.0125,0,0,1
OH,Ohio,43022,GAMBIER,0.0575,0.0725,0.015,0,0,1
OH,Ohio,43023,LICKING COUNTY,0.0575,0.0725,0.015,0,0,1
OH,Ohio,43025,HEBRON,0.0575,0.0725,0.015,0,0,1
OH,Ohio,43026,HILLIARD,0.0575,0.075,0.0125,0,0.005,1
OH,Ohio,43027,LICKING COUNTY,0.0575,0.0725,0.015,0,0,1
OH,Ohio,43028,KNOX COUNTY,0.0575,0.0725,0.015,0,0,1
OH,Ohio,43029,MADISON COUNTY,0.0575,0.07,0.0125,0,0,1
OH,Ohio,43030,LICKING COUNTY,0.0575,0.0725,0.015,0,0,1
OH,Ohio,43031,LICKING COUNTY,0.0575,0.0725,0.015,0,0,1
OH,Ohio,43033,KIRKERSVILLE,0.0575,0.0725,0.015,0,0,1
OH,Ohio,43035,DELAWARE,0.0575,0.07,0.0125,0,0,1
OH,Ohio,43036,MAGNETIC SPRINGS,0.0575,0.07,0.0125,0,0,2
OH,Ohio,43037,KNOX COUNTY,0.0575,0.0725,0.015,0,0,1
OH,Ohio,43040,MARYSVILLE,0.0575,0.07,0.0125,0,0,1
OH,Ohio,43041,MARYSVILLE,0.0575,0.07,0.0125,0,0,1
OH,Ohio,43044,CHAMPAIGN COUNTY,0.0575,0.0725,0.015,0,0,1
OH,Ohio,43045,UNION COUNTY,0.0575,0.07,0.0125,0,0,1
OH,Ohio,43046,FAIRFIELD COUNTY,0.0575,0.0675,0.01,0,0,4
OH,Ohio,43047,CHAMPAIGN COUNTY,0.0575,0.0725,0.015,0,0,1
OH,Ohio,43048,KNOX COUNTY,0.0575,0.0725,0.015,0,0,1
OH,Ohio,43050,MOUNT VERNON,0.0575,0.0725,0.015,0,0,1
OH,Ohio,43054,NEW ALBANY,0.0575,0.075,0.0125,0,0.005,1
OH,Ohio,43055,NEWARK,0.0575,0.0725,0.015,0,0,3
OH,Ohio,43056,HEATH,0.0575,0.0725,0.015,0,0,2
OH,Ohio,43058,NEWARK,0.0575,0.0725,0.015,0,0,1
OH,Ohio,43060,NORTH LEWISBURG,0.0575,0.0725,0.015,0,0,1
OH,Ohio,43061,DELAWARE COUNTY,0.0575,0.07,0.0125,0,0,1
OH,Ohio,43062,PATASKALA,0.0575,0.0725,0.015,0,0,4
OH,Ohio,43064,UNION COUNTY,0.0575,0.07,0.0125,0,0,1
OH,Ohio,43065,POWELL,0.0575,0.07,0.0125,0,0,2
OH,Ohio,43066,DELAWARE COUNTY,0.0575,0.07,0.0125,0,0,1
OH,Ohio,43067,UNION COUNTY,0.0575,0.07,0.0125,0,0,1
OH,Ohio,43068,REYNOLDSBURG COTA (FAIRFIELD CO),0.0575,0.075,0.0125,0,0.005,5
OH,Ohio,43069,LICKING COUNTY,0.0575,0.0725,0.015,0,0,1
OH,Ohio,43070,CHAMPAIGN COUNTY,0.0575,0.0725,0.015,0,0,1
OH,Ohio,43071,LICKING COUNTY,0.0575,0.0725,0.015,0,0,2
OH,Ohio,43072,CHAMPAIGN COUNTY,0.0575,0.0725,0.015,0,0,2
OH,Ohio,43073,PATASKALA,0.0575,0.0725,0.015,0,0,3
OH,Ohio,43074,DELAWARE COUNTY,0.0575,0.07,0.0125,0,0,1
OH,Ohio,43076,PERRY COUNTY,0.0575,0.0725,0.015,0,0,1
OH,Ohio,43077,UNIONVILLE CENTER,0.0575,0.07,0.0125,0,0,1
OH,Ohio,43078,URBANA,0.0575,0.0725,0.015,0,0,1
OH,Ohio,43080,LICKING COUNTY,0.0575,0.0725,0.015,0,0,4
OH,Ohio,43081,WESTERVILLE COTA,0.0575,0.075,0.0125,0,0.005,2
