State,FullStateName,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
OK,Oklahoma,73001,CADDO COUNTY,0.045,0.06,0.015,0,0,1
OK,Oklahoma,73002,GRADY COUNTY,0.045,0.0525,0.0075,0,0,1
OK,Oklahoma,73003,EDMOND,0.045,0.0825,0,0.0375,0,1
OK,Oklahoma,73004,AMBER TOWN,0.045,0.0925,0.0075,0.04,0,1
OK,Oklahoma,73005,ANADARKO,0.045,0.095,0.015,0.035,0,2
OK,Oklahoma,73006,COMANCHE COUNTY,0.045,0.04875,0.00375,0,0,1
OK,Oklahoma,73007,EDMOND,0.045,0.0825,0,0.0375,0,1
OK,Oklahoma,73008,BETHANY,0.045,0.085,0,0.04,0,1
OK,Oklahoma,73009,BINGER TOWN,0.045,0.1,0.015,0.04,0,1
OK,Oklahoma,73010,BLANCHARD (MCCLAIN CO),0.045,0.09,0.005,0.04,0,2
OK,Oklahoma,73011,GRADY COUNTY,0.045,0.0525,0.0075,0,0,1
OK,Oklahoma,73012,OKLAHOMA CITY,0.045,0.08625,0,0.04125,0,1
OK,Oklahoma,73013,OKLAHOMA CITY,0.045,0.08625,0,0.04125,0,1
OK,Oklahoma,73014,CANADIAN COUNTY,0.045,0.0485,0.0035,0,0,1
OK,Oklahoma,73015,CARNEGIE TOWN,0.045,0.1,0.015,0.04,0,1
OK,Oklahoma,73016,LOGAN COUNTY,0.045,0.0525,0.0075,0,0,1
OK,Oklahoma,73017,GRADY COUNTY,0.045,0.0525,0.0075,0,0,1
OK,Oklahoma,73018,CHICKASHA,0.045,0.09,0.0075,0.0375,0,2
OK,Oklahoma,73019,NORMAN,0.045,0.0875,0.00125,0.04125,0,1
OK,Oklahoma,73020,CHOCTAW,0.045,0.0875,0,0.0425,0,1
OK,Oklahoma,73021,WASHITA COUNTY,0.045,0.065,0.02,0,0,1
OK,Oklahoma,73022,EL RENO,0.045,0.0885,0.0035,0.04,0,1
OK,Oklahoma,73023,CHICKASHA,0.045,0.09,0.0075,0.0375,0,1
OK,Oklahoma,73024,CORN TOWN,0.045,0.085,0.02,0.02,0,1
OK,Oklahoma,73025,LOGAN COUNTY,0.045,0.0525,0.0075,0,0,1
OK,Oklahoma,73026,NORMAN,0.045,0.0875,0.00125,0.04125,0,1
OK,Oklahoma,73027,PAYNE COUNTY,0.045,0.05313,0.00813,0,0,1
OK,Oklahoma,73028,LOGAN COUNTY,0.045,0.0525,0.0075,0,0,2
OK,Oklahoma,73029,CYRIL TOWN,0.045,0.1,0.015,0.04,0,1
OK,Oklahoma,73030,DAVIS,0.045,0.095,0.02,0.03,0,1
OK,Oklahoma,73031,DIBBLE TOWN,0.045,0.1,0.005,0.05,0,1
OK,Oklahoma,73032,DOUGHERTY TOWN,0.045,0.085,0.02,0.02,0,1
OK,Oklahoma,73033,EAKLY TOWN,0.045,0.09,0.015,0.03,0,1
OK,Oklahoma,73034,EDMOND,0.045,0.0825,0,0.0375,0,1
OK,Oklahoma,73036,EL RENO,0.045,0.0885,0.0035,0.04,0,1
OK,Oklahoma,73038,CADDO COUNTY,0.045,0.06,0.015,0,0,1
OK,Oklahoma,73039,DAVIS,0.045,0.095,0.02,0.03,0,1
OK,Oklahoma,73040,GEARY (BLAINE CO),0.045,0.08875,0.00875,0.035,0,1
OK,Oklahoma,73041,GOTEBO TOWN,0.045,0.09,0.005,0.04,0,1
OK,Oklahoma,73042,GRACEMONT TOWN,0.045,0.1,0.015,0.04,0,1
OK,Oklahoma,73043,GREENFIELD TOWN,0.045,0.08375,0.00875,0.03,0,1
OK,Oklahoma,73044,LOGAN COUNTY,0.045,0.0525,0.0075,0,0,1
OK,Oklahoma,73045,HARRAH,0.045,0.085,0,0.04,0,1
OK,Oklahoma,73047,HINTON TOWN,0.045,0.09,0.015,0.03,0,1
OK,Oklahoma,73048,HYDRO,0.045,0.105,0.015,0.045,0,1
OK,Oklahoma,73049,OKLAHOMA CITY,0.045,0.08625,0,0.04125,0,1
OK,Oklahoma,73050,LANGSTON TOWN,0.045,0.0925,0.0075,0.04,0,1
OK,Oklahoma,73051,CLEVELAND COUNTY,0.045,0.04625,0.00125,0,0,2
OK,Oklahoma,73052,MCCLAIN COUNTY,0.045,0.05,0.005,0,0,1
OK,Oklahoma,73053,CADDO COUNTY,0.045,0.06,0.015,0,0,1
OK,Oklahoma,73054,OKLAHOMA,0.045,0.045,0,0,0,1
OK,Oklahoma,73055,MARLOW,0.045,0.087,0.007,0.035,0,3
OK,Oklahoma,73056,GARFIELD COUNTY,0.045,0.0485,0.0035,0,0,1
OK,Oklahoma,73057,GARVIN COUNTY,0.045,0.0525,0.0075,0,0,1
OK,Oklahoma,73058,LOGAN COUNTY,0.045,0.0525,0.0075,0,0,1
OK,Oklahoma,73059,MINCO,0.045,0.0925,0.0075,0.04,0,1
OK,Oklahoma,73061,NOBLE COUNTY,0.045,0.06,0.015,0,0,1
OK,Oklahoma,73062,MOUNTAIN VIEW TOWN,0.045,0.09,0.005,0.04,0,1
OK,Oklahoma,73063,LOGAN COUNTY,0.045,0.0525,0.0075,0,0,1
OK,Oklahoma,73064,MUSTANG,0.045,0.0885,0.0035,0.04,0,1
OK,Oklahoma,73065,NEWCASTLE,0.045,0.09,0.005,0.04,0,1
OK,Oklahoma,73066,NICOMA PARK,0.045,0.095,0,0.05,0,1
OK,Oklahoma,73067,NINNEKAH TOWN,0.045,0.0825,0.0075,0.03,0,1
OK,Oklahoma,73068,NOBLE,0.045,0.0875,0.00125,0.04125,0,2
OK,Oklahoma,73069,NORMAN,0.045,0.0875,0.00125,0.04125,0,1
OK,Oklahoma,73070,NORMAN,0.045,0.0875,0.00125,0.04125,0,1
OK,Oklahoma,73071,NORMAN,0.045,0.0875,0.00125,0.04125,0,1
OK,Oklahoma,73072,NORMAN,0.045,0.0875,0.00125,0.04125,0,1
OK,Oklahoma,73073,LOGAN COUNTY,0.045,0.0525,0.0075,0,0,1
OK,Oklahoma,73074,PAOLI TOWN,0.045,0.0825,0.0075,0.03,0,1
OK,Oklahoma,73075,PAULS VALLEY,0.045,0.0975,0.0075,0.045,0,1
OK,Oklahoma,73077,PERRY,0.045,0.1025,0.015,0.0425,0,1
OK,Oklahoma,73078,PIEDMONT (CANADIAN CO),0.045,0.0985,0.0035,0.05,0,1
OK,Oklahoma,73079,POCASSET TOWN,0.045,0.0675,0.0075,0.015,0,1
OK,Oklahoma,73080,PURCELL,0.045,0.1,0.005,0.05,0,1
OK,Oklahoma,73082,GRADY COUNTY,0.045,0.0525,0.0075,0,0,1
OK,Oklahoma,73083,EDMOND,0.045,0.0825,0,0.0375,0,1
OK,Oklahoma,73084,OKLAHOMA CITY,0.045,0.08625,0,0.04125,0,1
OK,Oklahoma,73085,YUKON,0.045,0.0885,0.0035,0.04,0,1
OK,Oklahoma,73086,SULPHUR,0.045,0.095,0.02,0.03,0,1
OK,Oklahoma,73089,TUTTLE,0.045,0.0975,0.0075,0.045,0,1
OK,Oklahoma,73090,UNION TOWN,0.045,0.0885,0.0035,0.04,0,1
OK,Oklahoma,73092,GRADY COUNTY,0.045,0.0525,0.0075,0,0,1
OK,Oklahoma,73093,MCCLAIN COUNTY,0.045,0.05,0.005,0,0,2
OK,Oklahoma,73095,MCCLAIN COUNTY,0.045,0.05,0.005,0,0,1
OK,Oklahoma,73096,WEATHERFORD,0.045,0.095,0.005,0.045,0,1
OK,Oklahoma,73097,OKLAHOMA CITY,0.045,0.08625,0,0.04125,0,1
OK,Oklahoma,73098,WYNNEWOOD,0.045,0.0925,0.0075,0.04,0,1
OK,Oklahoma,73099,OKLAHOMA CITY (CANADIAN CO),0.045,0.08975,0.0035,0.04125,0,1
OK,Oklahoma,73101,OKLAHOMA CITY,0.045,0.08625,0,0.04125,0,2
OK,Oklahoma,73102,OKLAHOMA CITY,0.045,0.08625,0,0.04125,0,2
OK,Oklahoma,73103,OKLAHOMA CITY,0.045,0.08625,0,0.04125,0,2
OK,Oklahoma,73104,OKLAHOMA CITY,0.045,0.08625,0,0.04125,0,2
OK,Oklahoma,73105,OKLAHOMA CITY,0.045,0.08625,0,0.04125,0,2
OK,Oklahoma,73106,OKLAHOMA CITY,0.045,0.08625,0,0.04125,0,2
OK,Oklahoma,73107,OKLAHOMA CITY,0.045,0.08625,0,0.04125,0,2
OK,Oklahoma,73108,OKLAHOMA CITY,0.045,0.08625,0,0.04125,0,2
OK,Oklahoma,73109,OKLAHOMA CITY,0.045,0.08625,0,0.04125,0,2
OK,Oklahoma,73110,MIDWEST,0.045,0.091,0,0.046,0,3
OK,Oklahoma,73111,OKLAHOMA CITY,0.045,0.08625,0,0.04125,0,2
OK,Oklahoma,73112,OKLAHOMA CITY,0.045,0.08625,0,0.04125,0,3
OK,Oklahoma,73113,OKLAHOMA CITY,0.045,0.08625,0,0.04125,0,2
OK,Oklahoma,73114,OKLAHOMA CITY,0.045,0.08625,0,0.04125,0,2
OK,Oklahoma,73115,DEL,0.045,0.09,0,0.045,0,4
OK,Oklahoma,73116,OKLAHOMA CITY,0.045,0.08625,0,0.04125,0,3
OK,Oklahoma,73117,OKLAHOMA CITY,0.045,0.08625,0,0.04125,0,2
OK,Oklahoma,73118,OKLAHOMA CITY,0.045,0.08625,0,0.04125,0,2
OK,Oklahoma,73119,OKLAHOMA CITY,0.045,0.08625,0,0.04125,0,2
OK,Oklahoma,73120,OKLAHOMA CITY,0.045,0.08625,0,0.04125,0,5
OK,Oklahoma,73121,OKLAHOMA CITY,0.045,0.08625,0,0.04125,0,4
OK,Oklahoma,73122,WARR ACRES,0.045,0.085,0,0.04,0,3
OK,Oklahoma,73123,WARR ACRES,0.045,0.085,0,0.04,0,3
OK,Oklahoma,73125,OKLAHOMA CITY,0.045,0.08625,0,0.04125,0,2
OK,Oklahoma,73127,OKLAHOMA CITY,0.045,0.08625,0,0.04125,0,2
OK,Oklahoma,73128,OKLAHOMA CITY,0.045,0.08625,0,0.04125,0,2
OK,Oklahoma,73129,OKLAHOMA CITY,0.045,0.08625,0,0.04125,0,3
OK,Oklahoma,73130,MIDWEST,0.045,0.091,0,0.046,0,3
OK,Oklahoma,73131,OKLAHOMA CITY,0.045,0.08625,0,0.04125,0,2
OK,Oklahoma,73132,OKLAHOMA CITY,0.045,0.08625,0,0.04125,0,3
OK,Oklahoma,73134,OKLAHOMA CITY,0.045,0.08625,0,0.04125,0,2
OK,Oklahoma,73135,OKLAHOMA CITY,0.045,0.08625,0,0.04125,0,3
OK,Oklahoma,73136,OKLAHOMA CITY,0.045,0.08625,0,0.04125,0,2
OK,Oklahoma,73137,OKLAHOMA CITY,0.045,0.08625,0,0.04125,0,2
OK,Oklahoma,73139,OKLAHOMA CITY,0.045,0.08625,0,0.04125,0,2
OK,Oklahoma,73140,MIDWEST,0.045,0.091,0,0.046,0,3
OK,Oklahoma,73141,MIDWEST,0.045,0.091,0,0.046,0,2
OK,Oklahoma,73142,OKLAHOMA CITY,0.045,0.08625,0,0.04125,0,2
OK,Oklahoma,73143,OKLAHOMA CITY,0.045,0.08625,0,0.04125,0,2
OK,Oklahoma,73144,OKLAHOMA CITY,0.045,0.08625,0,0.04125,0,2
OK,Oklahoma,73145,OKLAHOMA CITY,0.045,0.08625,0,0.04125,0,3
OK,Oklahoma,73146,OKLAHOMA CITY,0.045,0.08625,0,0.04125,0,2
OK,Oklahoma,73147,OKLAHOMA CITY,0.045,0.08625,0,0.04125,0,2
OK,Oklahoma,73148,OKLAHOMA CITY,0.045,0.08625,0,0.04125,0,2
OK,Oklahoma,73149,OKLAHOMA CITY,0.045,0.08625,0,0.04125,0,2
OK,Oklahoma,73150,OKLAHOMA CITY,0.045,0.08625,0,0.04125,0,2
OK,Oklahoma,73151,OKLAHOMA CITY,0.045,0.08625,0,0.04125,0,2
OK,Oklahoma,73152,OKLAHOMA CITY,0.045,0.08625,0,0.04125,0,2
OK,Oklahoma,73153,CLEVELAND,0.045,0.0875,0.00125,0.04125,0,3
OK,Oklahoma,73154,OKLAHOMA CITY,0.045,0.08625,0,0.04125,0,2
OK,Oklahoma,73155,OKLAHOMA CITY,0.045,0.08625,0,0.04125,0,3
OK,Oklahoma,73156,THE VILLAGE,0.045,0.09,0,0.045,0,2
OK,Oklahoma,73157,OKLAHOMA CITY,0.045,0.08625,0,0.04125,0,2
OK,Oklahoma,73159,OKLAHOMA CITY,0.045,0.08625,0,0.04125,0,2
OK,Oklahoma,73160,MOORE,0.045,0.085,0.00125,0.03875,0,3
OK,Oklahoma,73162,OKLAHOMA CITY,0.045,0.08625,0,0.04125,0,2
OK,Oklahoma,73163,OKLAHOMA CITY,0.045,0.08625,0,0.04125,0,2
OK,Oklahoma,73164,OKLAHOMA CITY,0.045,0.08625,0,0.04125,0,2
OK,Oklahoma,73165,CLEVELAND,0.045,0.0875,0.00125,0.04125,0,4
OK,Oklahoma,73167,OKLAHOMA CITY,0.045,0.08625,0,0.04125,0,2
OK,Oklahoma,73169,OKLAHOMA CITY,0.045,0.08625,0,0.04125,0,2
OK,Oklahoma,73170,CLEVELAND,0.045,0.0875,0.00125,0.04125,0,3
OK,Oklahoma,73172,OKLAHOMA CITY,0.045,0.08625,0,0.04125,0,2
OK,Oklahoma,73173,CLEVELAND,0.045,0.0875,0.00125,0.04125,0,2
OK,Oklahoma,73178,OKLAHOMA CITY,0.045,0.08625,0,0.04125,0,2
