State,FullStateName,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
OR,Oregon,97001,CENTRAL DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97002,WILLAMETTE VALLEY DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97003,PORTLAND METRO DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97004,WILLAMETTE VALLEY DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97005,PORTLAND METRO DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97006,PORTLAND METRO DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97007,PORTLAND METRO DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97008,PORTLAND METRO DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97009,PORTLAND METRO DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97010,MT HOOD GORGE DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97011,MT HOOD GORGE DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97013,WILLAMETTE VALLEY DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97014,MT HOOD GORGE DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97015,PORTLAND METRO DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97016,PORTLAND METRO DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97017,WILLAMETTE VALLEY DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97018,PORTLAND METRO DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97019,MT HOOD GORGE DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97020,WILLAMETTE VALLEY DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97021,NORTH EASTERN DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97022,PORTLAND METRO DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97023,MT HOOD GORGE DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97024,PORTLAND METRO DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97026,WILLAMETTE VALLEY DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97027,PORTLAND METRO DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97028,MT HOOD GORGE DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97029,NORTH EASTERN DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97030,PORTLAND METRO DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97031,MT HOOD GORGE DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97032,WILLAMETTE VALLEY DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97033,NORTH EASTERN DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97034,PORTLAND METRO DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97035,PORTLAND METRO DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97036,PORTLAND METRO DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97037,CENTRAL DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97038,WILLAMETTE VALLEY DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97039,NORTH EASTERN DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97040,MT HOOD GORGE DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97041,MT HOOD GORGE DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97042,WILLAMETTE VALLEY DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97044,MT HOOD GORGE DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97045,PORTLAND METRO DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97048,PORTLAND METRO DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97049,MT HOOD GORGE DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97050,NORTH EASTERN DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97051,PORTLAND METRO DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97053,PORTLAND METRO DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97054,PORTLAND METRO DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97055,MT HOOD GORGE DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97056,PORTLAND METRO DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97057,CENTRAL DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97058,MT HOOD GORGE DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97060,MT HOOD GORGE DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97062,TUALATIN,0,0,0,0,0,0
OR,Oregon,97063,NORTH EASTERN DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97064,PORTLAND METRO DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97065,NORTH EASTERN DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97067,MT HOOD GORGE DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97068,PORTLAND METRO DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97070,WILLAMETTE VALLEY DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97071,WILLAMETTE VALLEY DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97075,PORTLAND METRO DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97078,PORTLAND METRO DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97079,PORTLAND METRO DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97080,PORTLAND METRO DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97086,PORTLAND METRO DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97089,PORTLAND METRO DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97101,WILLAMETTE VALLEY DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97102,NORTH COAST DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97103,NORTH COAST DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97106,PORTLAND METRO DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97107,NORTH COAST DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97108,NORTH COAST DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97109,PORTLAND METRO DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97110,NORTH COAST DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97111,WILLAMETTE VALLEY DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97112,NORTH COAST DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97113,PORTLAND METRO DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97114,WILLAMETTE VALLEY DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97115,WILLAMETTE VALLEY DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97116,PORTLAND METRO DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97117,PORTLAND METRO DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97118,NORTH COAST DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97119,PORTLAND METRO DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97121,NORTH COAST DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97122,NORTH COAST DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97123,PORTLAND METRO DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97124,PORTLAND METRO DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97125,PORTLAND METRO DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97127,WILLAMETTE VALLEY DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97128,WILLAMETTE VALLEY DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97129,HILLSBORO,0,0,0,0,0,0
OR,Oregon,97130,NORTH COAST DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97131,NORTH COAST DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97132,WILLAMETTE VALLEY DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97133,PORTLAND METRO DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97134,NORTH COAST DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97135,NORTH COAST DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97136,NORTH COAST DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97137,WILLAMETTE VALLEY DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97138,NORTH COAST DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97140,PORTLAND METRO DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97141,NORTH COAST DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97144,PORTLAND METRO DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97145,NORTH COAST DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97146,NORTH COAST DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97147,NORTH COAST DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97148,WILLAMETTE VALLEY DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97149,NORTH COAST DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97201,PORTLAND TOURISM IMPROVEMENT DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97202,PORTLAND TOURISM IMPROVEMENT DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97203,PORTLAND TOURISM IMPROVEMENT DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97204,PORTLAND TOURISM IMPROVEMENT DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97205,PORTLAND TOURISM IMPROVEMENT DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97206,PORTLAND TOURISM IMPROVEMENT DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97207,PORTLAND TOURISM IMPROVEMENT DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97208,PORTLAND TOURISM IMPROVEMENT DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97209,PORTLAND TOURISM IMPROVEMENT DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97210,PORTLAND TOURISM IMPROVEMENT DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97211,PORTLAND TOURISM IMPROVEMENT DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97212,PORTLAND TOURISM IMPROVEMENT DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97213,PORTLAND TOURISM IMPROVEMENT DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97214,PORTLAND TOURISM IMPROVEMENT DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97215,PORTLAND TOURISM IMPROVEMENT DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97216,PORTLAND TOURISM IMPROVEMENT DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97217,PORTLAND TOURISM IMPROVEMENT DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97218,PORTLAND TOURISM IMPROVEMENT DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97219,PORTLAND TOURISM IMPROVEMENT DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97220,PORTLAND TOURISM IMPROVEMENT DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97221,PORTLAND TOURISM IMPROVEMENT DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97222,PORTLAND METRO DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97223,PORTLAND METRO DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97224,PORTLAND METRO DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97225,PORTLAND METRO DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97227,PORTLAND TOURISM IMPROVEMENT DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97228,PORTLAND TOURISM IMPROVEMENT DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97229,PORTLAND METRO DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97230,PORTLAND TOURISM IMPROVEMENT DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97231,PORTLAND METRO DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97232,PORTLAND TOURISM IMPROVEMENT DISTRICT SP,0,0,0,0,0,0
OR,Oregon,97233,PORTLAND TOURISM IMPROVEMENT DISTRICT SP,0,0,0,0,0,0
