State,FullStateName,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
PA,Pennsylvania,15001,BEAVER,0.06,0.06,0,0,0,3
PA,Pennsylvania,15003,BEAVER,0.06,0.06,0,0,0,2
PA,Pennsylvania,15004,WASHINGTON,0.06,0.06,0,0,0,1
PA,Pennsylvania,15005,BEAVER,0.06,0.06,0,0,0,1
PA,Pennsylvania,15006,ALLEGHENY,0.06,0.07,0.01,0,0,1
PA,Pennsylvania,15007,ALLEGHENY COUNTY,0.06,0.07,0.01,0,0,1
PA,Pennsylvania,15009,BEAVER,0.06,0.06,0,0,0,3
PA,Pennsylvania,15010,BEAVER,0.06,0.06,0,0,0,3
PA,Pennsylvania,15012,WESTMORELAND,0.06,0.06,0,0,0,3
PA,Pennsylvania,15014,ALLEGHENY COUNTY,0.06,0.07,0.01,0,0,1
PA,Pennsylvania,15015,ALLEGHENY COUNTY,0.06,0.07,0.01,0,0,1
PA,Pennsylvania,15017,ALLEGHENY COUNTY,0.06,0.07,0.01,0,0,1
PA,Pennsylvania,15018,ALLEGHENY COUNTY,0.06,0.07,0.01,0,0,1
PA,Pennsylvania,15019,WASHINGTON,0.06,0.06,0,0,0,1
PA,Pennsylvania,15020,ALLEGHENY COUNTY,0.06,0.07,0.01,0,0,1
PA,Pennsylvania,15021,WASHINGTON,0.06,0.06,0,0,0,3
PA,Pennsylvania,15022,WASHINGTON,0.06,0.06,0,0,0,2
PA,Pennsylvania,15024,ALLEGHENY COUNTY,0.06,0.07,0.01,0,0,1
PA,Pennsylvania,15025,ALLEGHENY COUNTY,0.06,0.07,0.01,0,0,4
PA,Pennsylvania,15026,BEAVER,0.06,0.06,0,0,0,1
PA,Pennsylvania,15027,BEAVER,0.06,0.06,0,0,0,1
PA,Pennsylvania,15028,ALLEGHENY COUNTY,0.06,0.07,0.01,0,0,1
PA,Pennsylvania,15030,ALLEGHENY COUNTY,0.06,0.07,0.01,0,0,1
PA,Pennsylvania,15031,ALLEGHENY COUNTY,0.06,0.07,0.01,0,0,1
PA,Pennsylvania,15032,ALLEGHENY,0.06,0.07,0.01,0,0,1
PA,Pennsylvania,15033,WASHINGTON,0.06,0.06,0,0,0,1
PA,Pennsylvania,15034,ALLEGHENY COUNTY,0.06,0.07,0.01,0,0,1
