State,FullStateName,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
PR,Puerto Rico,601,ADJUNTAS CO,0.105,0.115,0.01,0,0,1
PR,Puerto Rico,602,AGUADA CO,0.105,0.115,0.01,0,0,1
PR,Puerto Rico,603,AGUADILLA CO,0.105,0.115,0.01,0,0,1
PR,Puerto Rico,604,AGUADILLA CO,0.105,0.115,0.01,0,0,1
PR,Puerto Rico,605,AGUADILLA CO,0.105,0.115,0.01,0,0,1
PR,Puerto Rico,606,MARICAO CO,0.105,0.115,0.01,0,0,1
PR,Puerto Rico,610,ANASCO CO,0.105,0.115,0.01,0,0,1
PR,Puerto Rico,611,UTUADO CO,0.105,0.115,0.01,0,0,1
PR,Puerto Rico,612,ARECIBO CO,0.105,0.115,0.01,0,0,1
PR,Puerto Rico,613,ARECIBO CO,0.105,0.115,0.01,0,0,1
PR,Puerto Rico,614,ARECIBO CO,0.105,0.115,0.01,0,0,1
PR,Puerto Rico,616,ARECIBO CO,0.105,0.115,0.01,0,0,1
PR,Puerto Rico,617,BARCELONETA CO,0.105,0.115,0.01,0,0,1
PR,Puerto Rico,622,CABO ROJO CO,0.105,0.115,0.01,0,0,1
PR,Puerto Rico,623,CABO ROJO CO,0.105,0.115,0.01,0,0,1
PR,Puerto Rico,624,PENUELAS CO,0.105,0.115,0.01,0,0,1
PR,Puerto Rico,627,CAMUY CO,0.105,0.115,0.01,0,0,1
PR,Puerto Rico,631,LARES CO,0.105,0.115,0.01,0,0,1
PR,Puerto Rico,636,MAYAGUEZ CO,0.105,0.115,0.01,0,0,1
PR,Puerto Rico,637,SABANA GRANDE CO,0.105,0.115,0.01,0,0,1
PR,Puerto Rico,638,CIALES CO,0.105,0.115,0.01,0,0,1
PR,Puerto Rico,641,UTUADO CO,0.105,0.115,0.01,0,0,1
PR,Puerto Rico,646,DORADO CO,0.105,0.115,0.01,0,0,1
PR,Puerto Rico,647,GUANICA CO,0.105,0.115,0.01,0,0,1
PR,Puerto Rico,650,FLORIDA CO,0.105,0.115,0.01,0,0,1
PR,Puerto Rico,652,ARECIBO CO,0.105,0.115,0.01,0,0,1
PR,Puerto Rico,653,GUANICA CO,0.105,0.115,0.01,0,0,1
PR,Puerto Rico,656,GUAYANILLA CO,0.105,0.115,0.01,0,0,1
PR,Puerto Rico,659,HATILLO CO,0.105,0.115,0.01,0,0,1
PR,Puerto Rico,660,HORMIGUEROS CO,0.105,0.115,0.01,0,0,1
PR,Puerto Rico,662,ISABELA CO,0.105,0.115,0.01,0,0,1
PR,Puerto Rico,664,JAYUYA CO,0.105,0.115,0.01,0,0,1
PR,Puerto Rico,667,LAJAS CO,0.105,0.115,0.01,0,0,1
PR,Puerto Rico,669,LARES CO,0.105,0.115,0.01,0,0,1
PR,Puerto Rico,670,LAS MARIAS CO,0.105,0.115,0.01,0,0,1
PR,Puerto Rico,674,MANATI CO,0.105,0.115,0.01,0,0,1
PR,Puerto Rico,676,MOCA CO,0.105,0.115,0.01,0,0,1
PR,Puerto Rico,677,RINCON CO,0.105,0.115,0.01,0,0,1
PR,Puerto Rico,678,QUEBRADILLAS CO,0.105,0.115,0.01,0,0,1
PR,Puerto Rico,680,MAYAGUEZ CO,0.105,0.115,0.01,0,0,1
PR,Puerto Rico,681,MAYAGUEZ CO,0.105,0.115,0.01,0,0,1
