State,FullStateName,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
RI,Rhode Island,2801,LITTLE COMPTON,0.07,0.07,0,0,0,0
RI,Rhode Island,2802,LINCOLN,0.07,0.07,0,0,0,0
RI,Rhode Island,2804,HOPKINTON,0.07,0.07,0,0,0,0
RI,Rhode Island,2806,BARRINGTON,0.07,0.07,0,0,0,0
RI,Rhode Island,2807,NEW SHOREHAM,0.07,0.07,0,0,0,0
RI,Rhode Island,2808,WESTERLY,0.07,0.07,0,0,0,0
RI,Rhode Island,2809,BRISTOL,0.07,0.07,0,0,0,0
RI,Rhode Island,2812,RICHMOND,0.07,0.07,0,0,0,0
RI,Rhode Island,2813,CHARLESTOWN,0.07,0.07,0,0,0,0
RI,Rhode Island,2814,GLOCESTER,0.07,0.07,0,0,0,0
RI,Rhode Island,2815,SCITUATE,0.07,0.07,0,0,0,0
RI,Rhode Island,2816,COVENTRY,0.07,0.07,0,0,0,0
RI,Rhode Island,2817,WEST GREENWICH,0.07,0.07,0,0,0,0
RI,Rhode Island,2818,EAST GREENWICH,0.07,0.07,0,0,0,0
RI,Rhode Island,2822,EXETER,0.07,0.07,0,0,0,0
RI,Rhode Island,2823,CRANSTON,0.07,0.07,0,0,0,0
RI,Rhode Island,2824,NORTH SMITHFIELD,0.07,0.07,0,0,0,0
RI,Rhode Island,2825,FOSTER,0.07,0.07,0,0,0,0
RI,Rhode Island,2826,BURRILLVILLE,0.07,0.07,0,0,0,0
RI,Rhode Island,2827,COVENTRY,0.07,0.07,0,0,0,0
RI,Rhode Island,2828,SMITHFIELD,0.07,0.07,0,0,0,0
RI,Rhode Island,2829,GLOCESTER,0.07,0.07,0,0,0,0
RI,Rhode Island,2830,BURRILLVILLE,0.07,0.07,0,0,0,0
RI,Rhode Island,2831,SCITUATE,0.07,0.07,0,0,0,0
RI,Rhode Island,2832,HOPKINTON,0.07,0.07,0,0,0,0
RI,Rhode Island,2833,HOPKINTON,0.07,0.07,0,0,0,0
RI,Rhode Island,2835,JAMESTOWN,0.07,0.07,0,0,0,0
RI,Rhode Island,2836,RICHMOND,0.07,0.07,0,0,0,0
RI,Rhode Island,2837,LITTLE COMPTON,0.07,0.07,0,0,0,0
RI,Rhode Island,2838,LINCOLN,0.07,0.07,0,0,0,0
RI,Rhode Island,2839,BURRILLVILLE,0.07,0.07,0,0,0,0
RI,Rhode Island,2840,NEWPORT,0.07,0.07,0,0,0,0
RI,Rhode Island,2841,NEWPORT,0.07,0.07,0,0,0,0
RI,Rhode Island,2842,MIDDLETOWN,0.07,0.07,0,0,0,0
RI,Rhode Island,2852,NORTH KINGSTOWN,0.07,0.07,0,0,0,0
RI,Rhode Island,2857,SCITUATE,0.07,0.07,0,0,0,0
RI,Rhode Island,2858,BURRILLVILLE,0.07,0.07,0,0,0,0
RI,Rhode Island,2859,BURRILLVILLE,0.07,0.07,0,0,0,0
RI,Rhode Island,2860,PAWTUCKET,0.07,0.07,0,0,0,0
RI,Rhode Island,2861,PAWTUCKET,0.07,0.07,0,0,0,0
RI,Rhode Island,2862,PAWTUCKET,0.07,0.07,0,0,0,0
RI,Rhode Island,2863,CENTRAL FALLS,0.07,0.07,0,0,0,0
RI,Rhode Island,2864,CUMBERLAND,0.07,0.07,0,0,0,0
RI,Rhode Island,2865,LINCOLN,0.07,0.07,0,0,0,0
RI,Rhode Island,2871,PORTSMOUTH,0.07,0.07,0,0,0,0
RI,Rhode Island,2872,PORTSMOUTH,0.07,0.07,0,0,0,0
RI,Rhode Island,2873,HOPKINTON,0.07,0.07,0,0,0,0
RI,Rhode Island,2874,NORTH KINGSTOWN,0.07,0.07,0,0,0,0
RI,Rhode Island,2875,RICHMOND,0.07,0.07,0,0,0,0
RI,Rhode Island,2876,NORTH SMITHFIELD,0.07,0.07,0,0,0,0
RI,Rhode Island,2877,NORTH KINGSTOWN,0.07,0.07,0,0,0,0
RI,Rhode Island,2878,TIVERTON,0.07,0.07,0,0,0,0
RI,Rhode Island,2879,SOUTH KINGSTOWN,0.07,0.07,0,0,0,0
RI,Rhode Island,2880,SOUTH KINGSTOWN,0.07,0.07,0,0,0,0
RI,Rhode Island,2881,SOUTH KINGSTOWN,0.07,0.07,0,0,0,0
RI,Rhode Island,2882,NARRAGANSETT,0.07,0.07,0,0,0,0
RI,Rhode Island,2883,SOUTH KINGSTOWN,0.07,0.07,0,0,0,0
RI,Rhode Island,2885,WARREN,0.07,0.07,0,0,0,0
RI,Rhode Island,2886,WARWICK,0.07,0.07,0,0,0,0
RI,Rhode Island,2887,WARWICK,0.07,0.07,0,0,0,0
RI,Rhode Island,2888,WARWICK,0.07,0.07,0,0,0,0
RI,Rhode Island,2889,WARWICK,0.07,0.07,0,0,0,0
RI,Rhode Island,2891,WESTERLY,0.07,0.07,0,0,0,0
RI,Rhode Island,2892,SOUTH KINGSTOWN,0.07,0.07,0,0,0,0
RI,Rhode Island,2893,WEST WARWICK,0.07,0.07,0,0,0,0
RI,Rhode Island,2894,RICHMOND,0.07,0.07,0,0,0,0
RI,Rhode Island,2895,WOONSOCKET,0.07,0.07,0,0,0,0
RI,Rhode Island,2896,NORTH SMITHFIELD,0.07,0.07,0,0,0,0
RI,Rhode Island,2898,RICHMOND,0.07,0.07,0,0,0,0
RI,Rhode Island,2901,PROVIDENCE,0.07,0.07,0,0,0,0
RI,Rhode Island,2902,PROVIDENCE,0.07,0.07,0,0,0,0
RI,Rhode Island,2903,PROVIDENCE,0.07,0.07,0,0,0,0
RI,Rhode Island,2904,NORTH PROVIDENCE,0.07,0.07,0,0,0,0
RI,Rhode Island,2905,PROVIDENCE,0.07,0.07,0,0,0,0
RI,Rhode Island,2906,PROVIDENCE,0.07,0.07,0,0,0,0
RI,Rhode Island,2907,PROVIDENCE,0.07,0.07,0,0,0,0
RI,Rhode Island,2908,PROVIDENCE,0.07,0.07,0,0,0,0
RI,Rhode Island,2909,PROVIDENCE,0.07,0.07,0,0,0,0
RI,Rhode Island,2910,CRANSTON,0.07,0.07,0,0,0,0
RI,Rhode Island,2911,NORTH PROVIDENCE,0.07,0.07,0,0,0,0
RI,Rhode Island,2912,PROVIDENCE,0.07,0.07,0,0,0,0
RI,Rhode Island,2914,EAST PROVIDENCE,0.07,0.07,0,0,0,0
RI,Rhode Island,2915,EAST PROVIDENCE,0.07,0.07,0,0,0,0
RI,Rhode Island,2916,EAST PROVIDENCE,0.07,0.07,0,0,0,0
RI,Rhode Island,2917,SMITHFIELD,0.07,0.07,0,0,0,0
RI,Rhode Island,2918,PROVIDENCE,0.07,0.07,0,0,0,0
RI,Rhode Island,2919,JOHNSTON,0.07,0.07,0,0,0,0
RI,Rhode Island,2920,CRANSTON,0.07,0.07,0,0,0,0
RI,Rhode Island,2921,CRANSTON,0.07,0.07,0,0,0,0
RI,Rhode Island,2940,PROVIDENCE,0.07,0.07,0,0,0,0
