State,FullStateName,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
SC,South Carolina,29001,CLARENDON COUNTY,0.06,0.08,0.01,0,0.01,1
SC,South Carolina,29002,RICHLAND COUNTY,0.06,0.08,0.01,0,0.01,1
SC,South Carolina,29003,BAMBERG COUNTY,0.06,0.08,0.01,0,0.01,2
SC,South Carolina,29006,BATESBURG-LEESVILLE (LEXINGTON CO),0.06,0.07,0,0,0.01,7
SC,South Carolina,29009,KERSHAW COUNTY,0.06,0.08,0.01,0,0.01,1
SC,South Carolina,29010,LEE COUNTY,0.06,0.08,0.01,0,0.01,9
SC,South Carolina,29014,CHESTER COUNTY,0.06,0.08,0.01,0,0.01,5
SC,South Carolina,29015,FAIRFIELD COUNTY,0.06,0.07,0.01,0,0,1
SC,South Carolina,29016,RICHLAND COUNTY,0.06,0.08,0.01,0,0.01,1
SC,South Carolina,29018,ORANGEBURG COUNTY,0.06,0.07,0,0,0.01,1
SC,South Carolina,29020,KERSHAW COUNTY,0.06,0.08,0.01,0,0.01,1
SC,South Carolina,29021,CAMDEN,0.06,0.08,0,0.01,0.01,1
SC,South Carolina,29030,CALHOUN CO CAPITAL PROJECTS TAX SP,0.06,0.08,0.01,0,0.01,3
SC,South Carolina,29031,UNION COUNTY,0.06,0.07,0.01,0,0,3
SC,South Carolina,29032,KERSHAW COUNTY,0.06,0.08,0.01,0,0.01,1
SC,South Carolina,29033,CAYCE (LEXINGTON CO),0.06,0.07,0,0,0.01,2
SC,South Carolina,29036,LEXINGTON COUNTY,0.06,0.07,0,0,0.01,2
SC,South Carolina,29037,NEWBERRY COUNTY,0.06,0.07,0,0,0.01,2
SC,South Carolina,29038,ORANGEBURG COUNTY,0.06,0.07,0,0,0.01,1
SC,South Carolina,29039,ORANGEBURG COUNTY,0.06,0.07,0,0,0.01,1
SC,South Carolina,29040,SUMTER COUNTY,0.06,0.08,0.01,0,0.01,3
SC,South Carolina,29041,CLARENDON COUNTY,0.06,0.08,0.01,0,0.01,1
SC,South Carolina,29042,BAMBERG COUNTY,0.06,0.08,0.01,0,0.01,1
SC,South Carolina,29044,RICHLAND COUNTY,0.06,0.08,0.01,0,0.01,3
SC,South Carolina,29045,KERSHAW COUNTY,0.06,0.08,0.01,0,0.01,1
SC,South Carolina,29046,LEE COUNTY,0.06,0.08,0.01,0,0.01,1
SC,South Carolina,29047,ORANGEBURG COUNTY,0.06,0.07,0,0,0.01,2
SC,South Carolina,29048,ORANGEBURG COUNTY,0.06,0.07,0,0,0.01,2
SC,South Carolina,29051,CLARENDON COUNTY,0.06,0.08,0.01,0,0.01,1
SC,South Carolina,29052,RICHLAND COUNTY,0.06,0.08,0.01,0,0.01,2
SC,South Carolina,29053,LEXINGTON COUNTY,0.06,0.07,0,0,0.01,1
SC,South Carolina,29054,LEXINGTON COUNTY,0.06,0.07,0,0,0.01,1
SC,South Carolina,29055,GREAT FALLS,0.06,0.08,0,0.01,0.01,2
SC,South Carolina,29056,WILLIAMSBURG COUNTY,0.06,0.08,0.01,0,0.01,1
SC,South Carolina,29058,LANCASTER COUNTY,0.06,0.08,0.01,0,0.01,3
SC,South Carolina,29059,ORANGEBURG COUNTY,0.06,0.07,0,0,0.01,2
SC,South Carolina,29061,RICHLAND COUNTY,0.06,0.08,0.01,0,0.01,2
SC,South Carolina,29062,SUMTER COUNTY,0.06,0.08,0.01,0,0.01,1
SC,South Carolina,29063,RICHLAND COUNTY,0.06,0.08,0.01,0,0.01,1
SC,South Carolina,29065,FAIRFIELD COUNTY,0.06,0.07,0.01,0,0,2
SC,South Carolina,29067,LANCASTER COUNTY,0.06,0.08,0.01,0,0.01,3
SC,South Carolina,29069,DARLINGTON COUNTY,0.06,0.08,0.01,0,0.01,3
SC,South Carolina,29070,LEXINGTON COUNTY,0.06,0.07,0,0,0.01,7
SC,South Carolina,29071,LEXINGTON,0.06,0.07,0,0,0.01,1
