State,FullStateName,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
TN,Tennessee,37010,MONTGOMERY COUNTY,0.07,0.095,0.025,0,0,1
TN,Tennessee,37011,NASHVILLE,0.07,0.0925,0.0225,0,0,1
TN,Tennessee,37012,DEKALB COUNTY,0.07,0.0975,0.0275,0,0,1
TN,Tennessee,37013,NASHVILLE,0.07,0.0925,0.0225,0,0,2
TN,Tennessee,37014,WILLIAMSON COUNTY,0.07,0.0975,0.0275,0,0,2
TN,Tennessee,37015,CHEATHAM COUNTY,0.07,0.0925,0.0225,0,0,1
TN,Tennessee,37016,CANNON COUNTY,0.07,0.0875,0.0175,0,0,1
TN,Tennessee,37018,COFFEE COUNTY,0.07,0.0975,0.0275,0,0,1
TN,Tennessee,37019,MARSHALL COUNTY,0.07,0.0925,0.0225,0,0,1
TN,Tennessee,37020,BEDFORD COUNTY,0.07,0.0975,0.0275,0,0,1
TN,Tennessee,37022,SUMNER COUNTY,0.07,0.0925,0.0225,0,0,2
TN,Tennessee,37023,STEWART COUNTY,0.07,0.0925,0.0225,0,0,1
TN,Tennessee,37024,NASHVILLE,0.07,0.0925,0.0225,0,0,1
TN,Tennessee,37025,HICKMAN COUNTY,0.07,0.0975,0.0275,0,0,1
TN,Tennessee,37026,CANNON COUNTY,0.07,0.0875,0.0175,0,0,1
TN,Tennessee,37027,BRENTWOOD (WILLIAMSON),0.07,0.0975,0.0275,0,0,3
TN,Tennessee,37028,STEWART COUNTY,0.07,0.0925,0.0225,0,0,1
TN,Tennessee,37029,DICKSON COUNTY,0.07,0.0975,0.0275,0,0,1
TN,Tennessee,37030,CARTHAGE,0.07,0.0975,0.02,0.0075,0,4
TN,Tennessee,37031,SUMNER COUNTY,0.07,0.0925,0.0225,0,0,1
TN,Tennessee,37032,ROBERTSON COUNTY,0.07,0.0975,0.0275,0,0,1
TN,Tennessee,37033,HICKMAN COUNTY,0.07,0.0975,0.0275,0,0,8
TN,Tennessee,37034,MARSHALL COUNTY,0.07,0.0925,0.0225,0,0,1
TN,Tennessee,37035,CHEATHAM COUNTY,0.07,0.0925,0.0225,0,0,1
TN,Tennessee,37036,DICKSON COUNTY,0.07,0.0975,0.0275,0,0,1
TN,Tennessee,37037,RUTHERFORD COUNTY,0.07,0.0975,0.0275,0,0,1
TN,Tennessee,37040,CLARKSVILLE,0.07,0.095,0.025,0,0,1
TN,Tennessee,37041,CLARKSVILLE,0.07,0.095,0.025,0,0,1
TN,Tennessee,37042,CLARKSVILLE,0.07,0.095,0.025,0,0,2
