State,FullStateName,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
TX,Texas,73301,AUSTIN,0.0625,0.0825,0,0.01,0.01,3
TX,Texas,73344,AUSTIN,0.0625,0.0825,0,0.01,0.01,3
TX,Texas,73960,TEXHOMA,0.0625,0.0625,0,0,0,1
TX,Texas,75001,ADDISON,0.0625,0.0825,0,0.01,0.01,1
TX,Texas,75002,COLLIN,0.0625,0.0825,0,0.02,0,3
TX,Texas,75006,CARROLLTON,0.0625,0.0825,0,0.01,0.01,2
TX,Texas,75007,CARROLLTON,0.0625,0.0825,0,0.01,0.01,2
TX,Texas,75009,CELINA,0.0625,0.0825,0,0.02,0,1
TX,Texas,75010,CARROLLTON,0.0625,0.0825,0,0.01,0.01,2
TX,Texas,75011,CARROLLTON,0.0625,0.0825,0,0.01,0.01,2
TX,Texas,75013,COLLIN,0.0625,0.0825,0,0.02,0,1
TX,Texas,75014,IRVING,0.0625,0.0825,0,0.01,0.01,1
TX,Texas,75015,IRVING,0.0625,0.0825,0,0.01,0.01,1
TX,Texas,75016,IRVING,0.0625,0.0825,0,0.01,0.01,1
TX,Texas,75017,IRVING,0.0625,0.0825,0,0.01,0.01,1
TX,Texas,75019,COPPELL CRIME CONTROL,0.0625,0.0825,0,0.0175,0.0025,1
TX,Texas,75020,DENISON,0.0625,0.0825,0,0.02,0,1
TX,Texas,75021,GRAYSON ,0.0625,0.0625,0,0,0,1
TX,Texas,75022,FLOWER MOUND,0.0625,0.0825,0,0.015,0.005,3
TX,Texas,75023,PLANO,0.0625,0.0825,0,0.01,0.01,1
TX,Texas,75024,PLANO,0.0625,0.0825,0,0.01,0.01,1
TX,Texas,75025,PLANO,0.0625,0.0825,0,0.01,0.01,1
TX,Texas,75026,PLANO,0.0625,0.0825,0,0.01,0.01,1
TX,Texas,75027,DENTON ,0.0625,0.0625,0,0,0,3
TX,Texas,75028,FLOWER MOUND,0.0625,0.0825,0,0.015,0.005,3
TX,Texas,75029,LEWISVILLE CRIME CONTROL DISTRICT SP,0.0625,0.0825,0,0.0125,0.0075,1
TX,Texas,75030,ROWLETT,0.0625,0.0825,0,0.01,0.01,1
TX,Texas,75032,ROCKWALL,0.0625,0.0825,0,0.02,0,4
TX,Texas,75033,FRISCO,0.0625,0.0825,0,0.02,0,1
TX,Texas,75034,FRISCO,0.0625,0.0825,0,0.02,0,2
TX,Texas,75035,FRISCO,0.0625,0.0825,0,0.02,0,2
TX,Texas,75036,FRISCO,0.0625,0.0825,0,0.02,0,1
TX,Texas,75038,IRVING,0.0625,0.0825,0,0.01,0.01,1
TX,Texas,75039,IRVING,0.0625,0.0825,0,0.01,0.01,1
TX,Texas,75040,GARLAND,0.0625,0.0825,0,0.01,0.01,1
TX,Texas,75041,GARLAND,0.0625,0.0825,0,0.01,0.01,1
TX,Texas,75042,GARLAND,0.0625,0.0825,0,0.01,0.01,1
TX,Texas,75043,GARLAND,0.0625,0.0825,0,0.01,0.01,1
TX,Texas,75044,GARLAND,0.0625,0.0825,0,0.01,0.01,1
TX,Texas,75045,GARLAND,0.0625,0.0825,0,0.01,0.01,1
TX,Texas,75046,GARLAND,0.0625,0.0825,0,0.01,0.01,1
TX,Texas,75047,GARLAND,0.0625,0.0825,0,0.01,0.01,1
TX,Texas,75048,SACHSE MDD SP,0.0625,0.0825,0,0.0175,0.0025,2
TX,Texas,75049,GARLAND,0.0625,0.0825,0,0.01,0.01,1
TX,Texas,75050,DALLAS,0.0625,0.0825,0,0.0175,0.0025,1
TX,Texas,75051,DALLAS,0.0625,0.0825,0,0.0175,0.0025,1
TX,Texas,75052,DALLAS,0.0625,0.0825,0,0.0175,0.0025,1
TX,Texas,75053,DALLAS,0.0625,0.0825,0,0.0175,0.0025,1
TX,Texas,75054,DALLAS,0.0625,0.0825,0,0.0175,0.0025,1
TX,Texas,75056,THE COLONY,0.0625,0.0825,0,0.02,0,2
TX,Texas,75057,LEWISVILLE CRIME CONTROL DISTRICT SP,0.0625,0.0825,0,0.0125,0.0075,1
TX,Texas,75058,GUNTER,0.0625,0.0825,0,0.02,0,1
TX,Texas,75060,IRVING,0.0625,0.0825,0,0.01,0.01,1
TX,Texas,75061,IRVING,0.0625,0.0825,0,0.01,0.01,1
TX,Texas,75062,IRVING,0.0625,0.0825,0,0.01,0.01,1
TX,Texas,75063,IRVING,0.0625,0.0825,0,0.01,0.01,1
TX,Texas,75065,LAKE DALLAS,0.0625,0.0825,0,0.02,0,2
TX,Texas,75067,LEWISVILLE CRIME CONTROL DISTRICT SP,0.0625,0.0825,0,0.0125,0.0075,2
