State,FullStateName,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
UT,Utah,84001,DUCHESNE CO,0.0485,0.0635,0.015,0,0,2
UT,Utah,84002,DUCHESNE CO,0.0485,0.0635,0.015,0,0,1
UT,Utah,84003,AMERICAN FORK,0.0485,0.0725,0.008,0.011,0.005,4
UT,Utah,84004,ALPINE,0.0485,0.0715,0.008,0.01,0.005,1
UT,Utah,84005,EAGLE MOUNTAIN,0.0485,0.0715,0.018,0,0.005,2
UT,Utah,84006,COPPERTON,0.0485,0.0725,0.0035,0.01,0.0105,3
UT,Utah,84007,DUCHESNE CO,0.0485,0.0635,0.015,0,0,2
UT,Utah,84008,UINTAH COUNTY,0.0485,0.0645,0.016,0,0,1
UT,Utah,84009,SOUTH JORDAN,0.0485,0.0725,0.0135,0,0.0105,1
UT,Utah,84010,BOUNTIFUL,0.0485,0.0725,0.018,0,0.006,4
UT,Utah,84011,BOUNTIFUL,0.0485,0.0725,0.018,0,0.006,1
UT,Utah,84013,FAIRFIELD,0.0485,0.0715,0.018,0,0.005,3
UT,Utah,84014,CENTERVILLE,0.0485,0.0725,0.018,0,0.006,1
UT,Utah,84015,CLEARFIELD,0.0485,0.0725,0.018,0.001,0.005,6
UT,Utah,84016,CLEARFIELD,0.0485,0.0725,0.018,0.001,0.005,1
UT,Utah,84017,SUMMIT COUNTY,0.0485,0.0715,0.0155,0,0.0075,5
UT,Utah,84018,MORGAN COUNTY,0.0485,0.062,0.0135,0,0,1
UT,Utah,84020,DRAPER,0.0485,0.0725,0.0135,0,0.0105,1
UT,Utah,84021,DUCHESNE (CITY),0.0485,0.0645,0.015,0.001,0,3
UT,Utah,84022,TOOELE COUNTY,0.0485,0.066,0.0175,0,0,2
UT,Utah,84023,DAGGETT COUNTY,0.0485,0.0735,0.025,0,0,1
UT,Utah,84024,SUMMIT COUNTY,0.0485,0.0715,0.0155,0,0.0075,2
UT,Utah,84025,FARMINGTON,0.0485,0.0725,0.018,0.001,0.005,1
UT,Utah,84026,UINTAH COUNTY,0.0485,0.0645,0.016,0,0,4
UT,Utah,84027,DUCHESNE CO,0.0485,0.0635,0.015,0,0,1
UT,Utah,84028,GARDEN CITY,0.0485,0.0795,0.005,0.01,0.016,3
UT,Utah,84029,GRANTSVILLE,0.0485,0.069,0.005,0.01,0.0055,4
UT,Utah,84031,DUCHESNE CO,0.0485,0.0635,0.015,0,0,2
UT,Utah,84032,HEBER,0.0485,0.064,0,0.01,0.0055,8
UT,Utah,84033,HENEFER,0.0485,0.0715,0.0155,0,0.0075,1
UT,Utah,84034,TOOELE COUNTY,0.0485,0.066,0.0175,0,0,2
UT,Utah,84035,UINTAH COUNTY,0.0485,0.0645,0.016,0,0,1
UT,Utah,84036,SUMMIT COUNTY,0.0485,0.0715,0.0155,0,0.0075,8
UT,Utah,84037,KAYSVILLE,0.0485,0.0715,0.018,0,0.005,3
UT,Utah,84038,LAKETOWN,0.0485,0.0635,0.015,0,0,3
UT,Utah,84039,UINTAH COUNTY,0.0485,0.0645,0.016,0,0,1
UT,Utah,84040,LAYTON,0.0485,0.0725,0.018,0.001,0.005,2
UT,Utah,84041,LAYTON,0.0485,0.0725,0.018,0.001,0.005,2
UT,Utah,84042,LINDON,0.0485,0.0725,0.008,0.011,0.005,1
UT,Utah,84043,LEHI,0.0485,0.0715,0.008,0.01,0.005,5
UT,Utah,84044,MAGNA,0.0485,0.0725,0.0035,0.01,0.0105,2
UT,Utah,84045,SARATOGA SPRINGS,0.0485,0.0715,0.018,0,0.005,2
UT,Utah,84046,DAGGETT COUNTY,0.0485,0.0735,0.025,0,0,1
UT,Utah,84047,MIDVALE,0.0485,0.0725,0.0135,0,0.0105,4
UT,Utah,84049,MIDWAY,0.0485,0.075,0,0.01,0.0165,1
UT,Utah,84050,MORGAN COUNTY,0.0485,0.062,0.0135,0,0,8
UT,Utah,84051,DUCHESNE CO,0.0485,0.0635,0.015,0,0,1
UT,Utah,84052,DUCHESNE CO,0.0485,0.0635,0.015,0,0,1
UT,Utah,84053,DUCHESNE CO,0.0485,0.0635,0.015,0,0,1
UT,Utah,84054,NORTH SALT LAKE,0.0485,0.0725,0.018,0,0.006,1
UT,Utah,84055,OAKLEY,0.0485,0.0715,0.0155,0,0.0075,1
UT,Utah,84056,CLEARFIELD,0.0485,0.0725,0.018,0.001,0.005,1
UT,Utah,84057,OREM,0.0485,0.0725,0.008,0.011,0.005,5
UT,Utah,84058,OREM,0.0485,0.0725,0.008,0.011,0.005,6
UT,Utah,84059,OREM,0.0485,0.0725,0.008,0.011,0.005,1
UT,Utah,84060,PARK CITY,0.0485,0.0905,0.003,0.01,0.029,2
UT,Utah,84061,SUMMIT COUNTY,0.0485,0.0715,0.0155,0,0.0075,2
UT,Utah,84062,PLEASANT GROVE,0.0485,0.0725,0.008,0.011,0.005,3
UT,Utah,84063,UINTAH COUNTY,0.0485,0.0645,0.016,0,0,1
