State,FullStateName,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
VA,Virginia,20101,LOUDOUN COUNTY,0.043,0.06,0.01,0,0.007,1
VA,Virginia,20102,LOUDOUN COUNTY,0.043,0.06,0.01,0,0.007,1
VA,Virginia,20103,LOUDOUN COUNTY,0.043,0.06,0.01,0,0.007,1
VA,Virginia,20104,LOUDOUN COUNTY,0.043,0.06,0.01,0,0.007,1
VA,Virginia,20105,LOUDOUN COUNTY,0.043,0.06,0.01,0,0.007,2
VA,Virginia,20106,CULPEPER COUNTY,0.043,0.053,0.01,0,0,2
VA,Virginia,20108,MANASSAS CITY,0.043,0.06,0,0.01,0.007,1
VA,Virginia,20109,PRINCE WILLIAM COUNTY,0.043,0.06,0.01,0,0.007,2
VA,Virginia,20110,MANASSAS CITY,0.043,0.06,0,0.01,0.007,1
VA,Virginia,20111,PRINCE WILLIAM COUNTY,0.043,0.06,0.01,0,0.007,2
VA,Virginia,20112,PRINCE WILLIAM COUNTY,0.043,0.06,0.01,0,0.007,1
VA,Virginia,20113,PRINCE WILLIAM COUNTY,0.043,0.06,0.01,0,0.007,1
VA,Virginia,20115,FAUQUIER COUNTY,0.043,0.053,0.01,0,0,1
VA,Virginia,20117,LOUDOUN COUNTY,0.043,0.06,0.01,0,0.007,1
VA,Virginia,20119,FAUQUIER COUNTY,0.043,0.053,0.01,0,0,1
VA,Virginia,20120,FAIRFAX COUNTY,0.043,0.06,0.01,0,0.007,2
VA,Virginia,20121,FAIRFAX COUNTY,0.043,0.06,0.01,0,0.007,1
VA,Virginia,20122,FAIRFAX COUNTY,0.043,0.06,0.01,0,0.007,1
VA,Virginia,20124,FAIRFAX COUNTY,0.043,0.06,0.01,0,0.007,1
VA,Virginia,20128,FAUQUIER COUNTY,0.043,0.053,0.01,0,0,1
VA,Virginia,20129,LOUDOUN COUNTY,0.043,0.06,0.01,0,0.007,1
VA,Virginia,20130,CLARKE COUNTY,0.043,0.053,0.01,0,0,1
VA,Virginia,20131,LOUDOUN COUNTY,0.043,0.06,0.01,0,0.007,1
VA,Virginia,20132,LOUDOUN COUNTY,0.043,0.06,0.01,0,0.007,1
VA,Virginia,20135,CLARKE COUNTY,0.043,0.053,0.01,0,0,2
VA,Virginia,20136,PRINCE WILLIAM COUNTY,0.043,0.06,0.01,0,0.007,1
VA,Virginia,20137,FAUQUIER COUNTY,0.043,0.053,0.01,0,0,1
VA,Virginia,20138,FAUQUIER COUNTY,0.043,0.053,0.01,0,0,1
VA,Virginia,20139,FAUQUIER COUNTY,0.043,0.053,0.01,0,0,1
VA,Virginia,20140,FAUQUIER COUNTY,0.043,0.053,0.01,0,0,1
VA,Virginia,20141,LOUDOUN COUNTY,0.043,0.06,0.01,0,0.007,1
VA,Virginia,20143,PRINCE WILLIAM COUNTY,0.043,0.06,0.01,0,0.007,1
VA,Virginia,20144,FAUQUIER COUNTY,0.043,0.053,0.01,0,0,1
