State,FullStateName,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
VT,Vermont,5001,HARTFORD,0.06,0.06,0,0,0,3
VT,Vermont,5009,HARTFORD,0.06,0.06,0,0,0,1
VT,Vermont,5030,WEATHERSFIELD,0.06,0.06,0,0,0,1
VT,Vermont,5031,BARNARD,0.06,0.06,0,0,0,1
VT,Vermont,5032,BETHEL,0.06,0.06,0,0,0,4
VT,Vermont,5033,BRADFORD,0.06,0.06,0,0,0,3
VT,Vermont,5034,BRIDGEWATER,0.06,0.06,0,0,0,2
VT,Vermont,5035,BRIDGEWATER,0.06,0.06,0,0,0,3
VT,Vermont,5036,BROOKFIELD,0.06,0.06,0,0,0,2
VT,Vermont,5037,WEST WINDSOR,0.06,0.06,0,0,0,1
VT,Vermont,5038,CHELSEA,0.06,0.06,0,0,0,1
VT,Vermont,5039,CORINTH,0.06,0.06,0,0,0,6
VT,Vermont,5040,CORINTH,0.06,0.06,0,0,0,1
VT,Vermont,5041,RANDOLPH,0.06,0.06,0,0,0,3
VT,Vermont,5042,RYEGATE,0.06,0.06,0,0,0,1
VT,Vermont,5043,THETFORD,0.06,0.06,0,0,0,1
VT,Vermont,5045,FAIRLEE,0.06,0.06,0,0,0,2
VT,Vermont,5046,GROTON,0.06,0.06,0,0,0,1
VT,Vermont,5047,HARTFORD,0.06,0.06,0,0,0,1
VT,Vermont,5048,HARTLAND,0.06,0.06,0,0,0,1
VT,Vermont,5049,HARTLAND,0.06,0.06,0,0,0,1
VT,Vermont,5050,BARNET,0.06,0.06,0,0,0,1
VT,Vermont,5051,NEWBURY,0.06,0.06,0,0,0,2
VT,Vermont,5052,HARTLAND,0.06,0.06,0,0,0,1
VT,Vermont,5053,POMFRET,0.06,0.06,0,0,0,1
VT,Vermont,5054,THETFORD,0.06,0.06,0,0,0,1
VT,Vermont,5055,NORWICH,0.06,0.06,0,0,0,1
VT,Vermont,5056,PLYMOUTH,0.06,0.06,0,0,0,1
VT,Vermont,5058,THETFORD,0.06,0.06,0,0,0,1
VT,Vermont,5059,HARTFORD,0.06,0.06,0,0,0,1
VT,Vermont,5060,RANDOLPH,0.06,0.06,0,0,0,4
VT,Vermont,5061,RANDOLPH,0.06,0.06,0,0,0,1
VT,Vermont,5062,READING,0.06,0.06,0,0,0,4
VT,Vermont,5065,SHARON,0.06,0.06,0,0,0,1
VT,Vermont,5067,POMFRET,0.06,0.06,0,0,0,1
VT,Vermont,5068,ROYALTON,0.06,0.06,0,0,0,3
VT,Vermont,5069,NEWBURY,0.06,0.06,0,0,0,1
VT,Vermont,5070,STRAFFORD,0.06,0.06,0,0,0,1
VT,Vermont,5071,WOODSTOCK,0.06,0.06,0,0,0,1
VT,Vermont,5072,STRAFFORD,0.06,0.06,0,0,0,1
VT,Vermont,5073,WOODSTOCK,0.06,0.06,0,0,0,1
VT,Vermont,5074,THETFORD,0.06,0.06,0,0,0,2
VT,Vermont,5075,THETFORD,0.06,0.06,0,0,0,2
VT,Vermont,5076,TOPSHAM,0.06,0.06,0,0,0,3
VT,Vermont,5077,TUNBRIDGE,0.06,0.06,0,0,0,2
VT,Vermont,5079,VERSHIRE,0.06,0.06,0,0,0,1
VT,Vermont,5081,NEWBURY,0.06,0.06,0,0,0,1
VT,Vermont,5083,WEST FAIRLEE,0.06,0.06,0,0,0,1
VT,Vermont,5084,POMFRET,0.06,0.06,0,0,0,1
VT,Vermont,5085,NEWBURY,0.06,0.06,0,0,0,1
VT,Vermont,5086,TOPSHAM,0.06,0.06,0,0,0,3
VT,Vermont,5088,HARTFORD,0.06,0.06,0,0,0,1
VT,Vermont,5089,WINDSOR,0.06,0.06,0,0,0,5
VT,Vermont,5091,WOODSTOCK,0.06,0.06,0,0,0,2
VT,Vermont,5101,BELLOWS FALLS VILLAGE,0.06,0.06,0,0,0,4
VT,Vermont,5141,ROCKINGHAM,0.06,0.06,0,0,0,1
VT,Vermont,5142,CAVENDISH,0.06,0.06,0,0,0,1
VT,Vermont,5143,CHESTER,0.06,0.06,0,0,0,9
VT,Vermont,5146,GRAFTON,0.06,0.06,0,0,0,1
VT,Vermont,5148,LONDONDERRY,0.06,0.06,0,0,0,2
VT,Vermont,5149,LUDLOW,0.06,0.06,0,0,0,5
VT,Vermont,5150,SPRINGFIELD,0.06,0.06,0,0,0,1
VT,Vermont,5151,WEATHERSFIELD,0.06,0.06,0,0,0,4
VT,Vermont,5152,PERU,0.06,0.06,0,0,0,1
VT,Vermont,5153,CAVENDISH,0.06,0.06,0,0,0,2
VT,Vermont,5154,SAXTONS RIVER VILLAGE,0.06,0.06,0,0,0,1
VT,Vermont,5155,LONDONDERRY,0.06,0.06,0,0,0,3
VT,Vermont,5156,SPRINGFIELD,0.06,0.06,0,0,0,5
