State,FullStateName,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
WA,Washington,98001,KING COUNTY,0.065,0.101,0,0,0.036,3
WA,Washington,98002,AUBURN/KING SPECIAL TAX DIST,0.065,0.101,0,0.036,0,1
WA,Washington,98003,FEDERAL WAY,0.065,0.101,0,0.036,0,2
WA,Washington,98004,BELLEVUE,0.065,0.101,0,0.036,0,6
WA,Washington,98005,BELLEVUE,0.065,0.101,0,0.036,0,1
WA,Washington,98006,BELLEVUE,0.065,0.101,0,0.036,0,3
WA,Washington,98007,BELLEVUE,0.065,0.101,0,0.036,0,2
WA,Washington,98008,BELLEVUE,0.065,0.101,0,0.036,0,1
WA,Washington,98009,BELLEVUE,0.065,0.101,0,0.036,0,1
WA,Washington,98010,BLACK DIAMOND,0.065,0.087,0,0.022,0,2
WA,Washington,98011,BOTHELL (KING CO),0.065,0.101,0,0.036,0,4
WA,Washington,98012,MILL CREEK,0.065,0.105,0,0.04,0,3
WA,Washington,98014,KING COUNTY NON-RTA,0.065,0.087,0.022,0,0,2
WA,Washington,98015,BELLEVUE,0.065,0.101,0,0.036,0,1
WA,Washington,98019,DUVALL,0.065,0.089,0,0.024,0,1
WA,Washington,98020,EDMONDS,0.065,0.104,0,0.039,0,2
WA,Washington,98021,BOTHELL (SNOHOMISH CO),0.065,0.104,0,0.039,0,3
WA,Washington,98022,ENUMCLAW,0.065,0.088,0,0.023,0,7
WA,Washington,98023,FEDERAL WAY,0.065,0.101,0,0.036,0,2
WA,Washington,98024,KING COUNTY NON-RTA,0.065,0.087,0.022,0,0,3
WA,Washington,98025,KING COUNTY NON-RTA,0.065,0.087,0.022,0,0,1
WA,Washington,98026,EDMONDS,0.065,0.104,0,0.039,0,1
WA,Washington,98027,ISSAQUAH,0.065,0.101,0,0.036,0,3
WA,Washington,98028,KENMORE,0.065,0.101,0,0.036,0,3
WA,Washington,98029,ISSAQUAH,0.065,0.101,0,0.036,0,1
WA,Washington,98030,KENT,0.065,0.101,0,0.036,0,1
WA,Washington,98031,KENT,0.065,0.101,0,0.036,0,1
WA,Washington,98032,KENT,0.065,0.101,0,0.036,0,2
WA,Washington,98033,KIRKLAND,0.065,0.102,0,0.037,0,5
WA,Washington,98034,KIRKLAND,0.065,0.102,0,0.037,0,4
WA,Washington,98035,KENT,0.065,0.101,0,0.036,0,1
WA,Washington,98036,LYNNWOOD,0.065,0.105,0,0.04,0,2
WA,Washington,98037,LYNNWOOD,0.065,0.105,0,0.04,0,1
WA,Washington,98038,MAPLE VALLEY,0.065,0.087,0,0.022,0,3
WA,Washington,98039,MEDINA,0.065,0.101,0,0.036,0,1
WA,Washington,98040,MERCER ISLAND,0.065,0.101,0,0.036,0,1
WA,Washington,98041,BOTHELL (KING CO),0.065,0.101,0,0.036,0,2
WA,Washington,98042,COVINGTON,0.065,0.087,0,0.022,0,3
WA,Washington,98043,MOUNTLAKE TERRACE,0.065,0.104,0,0.039,0,1
WA,Washington,98045,NORTH BEND,0.065,0.09,0,0.025,0,3
WA,Washington,98046,LYNNWOOD,0.065,0.105,0,0.04,0,1
WA,Washington,98047,PACIFIC (KING CO),0.065,0.101,0,0.036,0,2
WA,Washington,98050,KING COUNTY NON-RTA,0.065,0.087,0.022,0,0,1
WA,Washington,98051,KING COUNTY NON-RTA,0.065,0.087,0.022,0,0,3
WA,Washington,98052,REDMOND,0.065,0.101,0,0.036,0,5
WA,Washington,98053,KING COUNTY NON-RTA,0.065,0.087,0.022,0,0,1
WA,Washington,98055,RENTON,0.065,0.101,0,0.036,0,1
WA,Washington,98056,RENTON,0.065,0.101,0,0.036,0,4
WA,Washington,98057,RENTON,0.065,0.101,0,0.036,0,1
WA,Washington,98058,KING COUNTY,0.065,0.101,0,0,0.036,3
WA,Washington,98059,RENTON,0.065,0.101,0,0.036,0,2
WA,Washington,98061,BAINBRIDGE ISLAND,0.065,0.09,0,0.025,0,1
WA,Washington,98062,BURIEN,0.065,0.101,0,0.036,0,2
WA,Washington,98063,FEDERAL WAY,0.065,0.101,0,0.036,0,2
WA,Washington,98064,KENT,0.065,0.101,0,0.036,0,1
WA,Washington,98065,SNOQUALMIE,0.065,0.087,0,0.022,0,1
WA,Washington,98068,KITTITAS COUNTY,0.065,0.08,0.015,0,0,3
WA,Washington,98070,KING COUNTY NON-RTA,0.065,0.087,0.022,0,0,3
WA,Washington,98071,AUBURN/KING SPECIAL TAX DIST,0.065,0.101,0,0.036,0,1
WA,Washington,98072,WOODINVILLE,0.065,0.101,0,0.036,0,2
WA,Washington,98073,REDMOND,0.065,0.101,0,0.036,0,1
WA,Washington,98074,SAMMAMISH,0.065,0.101,0,0.036,0,2
WA,Washington,98075,SAMMAMISH,0.065,0.101,0,0.036,0,2
WA,Washington,98077,KING COUNTY NON-RTA,0.065,0.087,0.022,0,0,1
WA,Washington,98082,MILL CREEK,0.065,0.105,0,0.04,0,3
WA,Washington,98083,KIRKLAND,0.065,0.102,0,0.037,0,1
WA,Washington,98087,SNOHOMISH COUNTY UNINCORP. P.T.B.A.,0.065,0.104,0,0,0.039,1
WA,Washington,98089,KENT,0.065,0.101,0,0.036,0,1
WA,Washington,98092,AUBURN/KING SPECIAL TAX DIST,0.065,0.101,0,0.036,0,1
WA,Washington,98093,FEDERAL WAY,0.065,0.101,0,0.036,0,2
WA,Washington,98101,SEATTLE,0.065,0.1025,0,0.0375,0,1
