State,FullStateName,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
WI,Wisconsin,53001,SHEBOYGAN,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53002,WASHINGTON,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53003,DODGE,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53004,BASEBALL STADIUM DISTRICT OZAUKEE CO,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53005,BROOKFIELD,0.05,0.05,0,0,0,1
WI,Wisconsin,53006,DODGE,0.05,0.055,0.005,0,0,2
WI,Wisconsin,53007,WAUKESHA,0.05,0.05,0,0,0,1
WI,Wisconsin,53008,BROOKFIELD,0.05,0.05,0,0,0,1
WI,Wisconsin,53010,FOND DU LAC,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53011,SHEBOYGAN,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53012,CEDARBURG ,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53013,SHEBOYGAN,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53014,CHILTON ,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53015,MANITOWOC,0.05,0.05,0,0,0,1
WI,Wisconsin,53016,DODGE,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53017,WASHINGTON COUNTY,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53018,DELAFIELD ,0.05,0.05,0,0,0,1
WI,Wisconsin,53019,FOND DU LAC,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53020,SHEBOYGAN,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53021,BASEBALL STADIUM DISTRICT OZAUKEE CO,0.05,0.055,0.005,0,0,2
WI,Wisconsin,53022,WASHINGTON,0.05,0.055,0.005,0,0,2
WI,Wisconsin,53023,SHEBOYGAN,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53024,BASEBALL STADIUM DISTRICT OZAUKEE CO,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53026,SHEBOYGAN,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53027,HARTFORD ,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53029,WAUKESHA,0.05,0.05,0,0,0,2
WI,Wisconsin,53031,SHEBOYGAN,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53032,HORICON ,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53033,WASHINGTON COUNTY,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53034,DODGE,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53035,DODGE,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53036,JEFFERSON,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53037,WASHINGTON,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53038,JEFFERSON,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53039,JUNEAU,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53040,WASHINGTON COUNTY,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53042,MANITOWOC,0.05,0.05,0,0,0,1
WI,Wisconsin,53044,SHEBOYGAN,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53045,BROOKFIELD,0.05,0.05,0,0,0,1
WI,Wisconsin,53046,WAUKESHA,0.05,0.05,0,0,0,1
WI,Wisconsin,53047,DODGE,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53048,DODGE,0.05,0.055,0.005,0,0,2
WI,Wisconsin,53049,FOND DU LAC,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53050,MAYVILLE,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53051,WAUKESHA,0.05,0.05,0,0,0,1
WI,Wisconsin,53052,WAUKESHA,0.05,0.05,0,0,0,1
WI,Wisconsin,53056,WAUKESHA,0.05,0.05,0,0,0,1
WI,Wisconsin,53057,FOND DU LAC COUNTY,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53058,WAUKESHA,0.05,0.05,0,0,0,2
WI,Wisconsin,53059,DODGE,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53060,WASHINGTON COUNTY,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53061,NEW HOLSTEIN,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53062,NEW HOLSTEIN,0.05,0.055,0.005,0,0,2
WI,Wisconsin,53063,MANITOWOC,0.05,0.05,0,0,0,1
WI,Wisconsin,53064,WAUKESHA,0.05,0.05,0,0,0,1
WI,Wisconsin,53065,FOND DU LAC,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53066,OCONOMOWOC,0.05,0.05,0,0,0,1
WI,Wisconsin,53069,WAUKESHA,0.05,0.05,0,0,0,1
WI,Wisconsin,53070,SHEBOYGAN COUNTY,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53072,PEWAUKEE,0.05,0.05,0,0,0,2
WI,Wisconsin,53073,PLYMOUTH,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53074,PORT WASHINGTON,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53075,SHEBOYGAN COUNTY,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53076,WASHINGTON COUNTY,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53078,DODGE,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53079,FOND DU LAC,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53080,BASEBALL STADIUM DISTRICT OZAUKEE CO,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53081,SHEBOYGAN,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53082,SHEBOYGAN,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53083,SHEBOYGAN,0.05,0.055,0.005,0,0,3
WI,Wisconsin,53085,SHEBOYGAN FALLS,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53086,WASHINGTON COUNTY,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53088,CALUMET,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53089,WAUKESHA,0.05,0.05,0,0,0,2
WI,Wisconsin,53090,WEST BEND,0.05,0.055,0.005,0,0,2
WI,Wisconsin,53091,DODGE COUNTY,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53092,MEQUON,0.05,0.055,0.005,0,0,2
WI,Wisconsin,53093,SHEBOYGAN,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53094,WATERTOWN,0.05,0.055,0.005,0,0,3
WI,Wisconsin,53095,WEST BEND,0.05,0.055,0.005,0,0,2
WI,Wisconsin,53097,MEQUON,0.05,0.055,0.005,0,0,2
WI,Wisconsin,53098,WATERTOWN,0.05,0.055,0.005,0,0,2
WI,Wisconsin,53099,DODGE,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53101,KENOSHA,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53102,KENOSHA COUNTY,0.05,0.055,0.005,0,0,2
WI,Wisconsin,53103,WAUKESHA,0.05,0.05,0,0,0,1
WI,Wisconsin,53104,KENOSHA COUNTY,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53105,BURLINGTON,0.05,0.05,0,0,0,1
WI,Wisconsin,53108,RACINE,0.05,0.05,0,0,0,1
WI,Wisconsin,53109,KENOSHA COUNTY,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53110,CUDAHY ,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53114,WALWORTH COUNTY,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53115,DELAVAN ,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53118,WAUKESHA,0.05,0.05,0,0,0,1
WI,Wisconsin,53119,WAUKESHA,0.05,0.05,0,0,0,1
WI,Wisconsin,53120,WALWORTH,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53121,ELKHORN ,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53122,WAUKESHA,0.05,0.05,0,0,0,1
WI,Wisconsin,53125,WALWORTH,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53126,RACINE,0.05,0.05,0,0,0,2
WI,Wisconsin,53127,WAUKESHA,0.05,0.05,0,0,0,1
WI,Wisconsin,53128,WALWORTH COUNTY,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53129,MILWAUKEE,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53130,MILWAUKEE,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53132,FRANKLIN ,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53137,JEFFERSON,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53138,WALWORTH,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53139,RACINE,0.05,0.05,0,0,0,1
WI,Wisconsin,53140,KENOSHA ,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53141,KENOSHA ,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53142,KENOSHA ,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53143,KENOSHA ,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53144,KENOSHA ,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53146,NEW BERLIN,0.05,0.05,0,0,0,2
WI,Wisconsin,53147,LAKE GENEVA,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53148,WALWORTH,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53149,WAUKESHA,0.05,0.05,0,0,0,1
WI,Wisconsin,53150,MUSKEGO,0.05,0.05,0,0,0,1
WI,Wisconsin,53151,NEW BERLIN,0.05,0.05,0,0,0,2
WI,Wisconsin,53152,KENOSHA,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53153,WAUKESHA,0.05,0.05,0,0,0,1
WI,Wisconsin,53154,OAK CREEK,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53156,JEFFERSON COUNTY,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53157,WALWORTH COUNTY,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53158,KENOSHA,0.05,0.055,0.005,0,0,2
WI,Wisconsin,53159,KENOSHA,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53167,RACINE,0.05,0.05,0,0,0,1
WI,Wisconsin,53168,KENOSHA COUNTY,0.05,0.055,0.005,0,0,2
WI,Wisconsin,53170,KENOSHA COUNTY,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53171,KENOSHA COUNTY,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53172,SOUTH MILWAUKEE,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53176,WALWORTH,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53177,RACINE,0.05,0.05,0,0,0,2
WI,Wisconsin,53178,JEFFERSON,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53179,KENOSHA COUNTY,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53181,KENOSHA COUNTY,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53182,RACINE,0.05,0.05,0,0,0,1
WI,Wisconsin,53183,WAUKESHA,0.05,0.05,0,0,0,1
WI,Wisconsin,53184,WALWORTH,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53185,RACINE,0.05,0.05,0,0,0,2
WI,Wisconsin,53186,WAUKESHA,0.05,0.05,0,0,0,2
WI,Wisconsin,53187,WAUKESHA,0.05,0.05,0,0,0,1
WI,Wisconsin,53188,WAUKESHA,0.05,0.05,0,0,0,2
WI,Wisconsin,53189,WAUKESHA,0.05,0.05,0,0,0,1
WI,Wisconsin,53190,WHITEWATER,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53191,WALWORTH,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53192,KENOSHA COUNTY,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53194,KENOSHA COUNTY,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53195,WALWORTH,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53201,MILWAUKEE,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53202,MILWAUKEE,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53203,MILWAUKEE,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53204,MILWAUKEE,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53205,MILWAUKEE,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53206,MILWAUKEE,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53207,MILWAUKEE,0.05,0.055,0.005,0,0,5
WI,Wisconsin,53208,MILWAUKEE,0.05,0.055,0.005,0,0,2
WI,Wisconsin,53209,MILWAUKEE,0.05,0.055,0.005,0,0,4
WI,Wisconsin,53210,MILWAUKEE,0.05,0.055,0.005,0,0,3
WI,Wisconsin,53211,MILWAUKEE,0.05,0.055,0.005,0,0,3
WI,Wisconsin,53212,MILWAUKEE,0.05,0.055,0.005,0,0,2
WI,Wisconsin,53213,WAUWATOSA,0.05,0.055,0.005,0,0,3
WI,Wisconsin,53214,WEST ALLIS,0.05,0.055,0.005,0,0,3
WI,Wisconsin,53215,MILWAUKEE,0.05,0.055,0.005,0,0,2
WI,Wisconsin,53216,MILWAUKEE,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53217,MILWAUKEE,0.05,0.055,0.005,0,0,5
WI,Wisconsin,53218,MILWAUKEE,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53219,MILWAUKEE,0.05,0.055,0.005,0,0,4
WI,Wisconsin,53220,GREENFIELD ,0.05,0.055,0.005,0,0,2
WI,Wisconsin,53221,MILWAUKEE,0.05,0.055,0.005,0,0,2
WI,Wisconsin,53222,MILWAUKEE,0.05,0.055,0.005,0,0,3
WI,Wisconsin,53223,MILWAUKEE,0.05,0.055,0.005,0,0,2
WI,Wisconsin,53224,MILWAUKEE,0.05,0.055,0.005,0,0,1
WI,Wisconsin,53225,MILWAUKEE,0.05,0.055,0.005,0,0,2
WI,Wisconsin,53226,WAUWATOSA,0.05,0.055,0.005,0,0,3
WI,Wisconsin,53227,WEST ALLIS,0.05,0.055,0.005,0,0,5
WI,Wisconsin,53228,GREENFIELD ,0.05,0.055,0.005,0,0,4
