State,FullStateName,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
WV,West Virginia,24701,MERCER,0.06,0.06,0,0,0,8
WV,West Virginia,24712,MERCER,0.06,0.06,0,0,0,1
WV,West Virginia,24714,MERCER,0.06,0.06,0,0,0,1
WV,West Virginia,24715,MERCER,0.06,0.06,0,0,0,1
WV,West Virginia,24716,WYOMING,0.06,0.06,0,0,0,1
WV,West Virginia,24719,WYOMING,0.06,0.06,0,0,0,1
WV,West Virginia,24724,BRAMWELL,0.06,0.06,0,0,0,2
WV,West Virginia,24726,WYOMING,0.06,0.06,0,0,0,1
WV,West Virginia,24729,MERCER,0.06,0.06,0,0,0,1
WV,West Virginia,24731,MERCER,0.06,0.06,0,0,0,1
WV,West Virginia,24732,MERCER,0.06,0.06,0,0,0,1
WV,West Virginia,24733,MERCER,0.06,0.06,0,0,0,1
WV,West Virginia,24736,MERCER,0.06,0.06,0,0,0,3
WV,West Virginia,24737,MERCER,0.06,0.06,0,0,0,1
WV,West Virginia,24738,MERCER,0.06,0.06,0,0,0,1
WV,West Virginia,24739,PRINCETON,0.06,0.07,0,0.01,0,2
WV,West Virginia,24740,MERCER,0.06,0.06,0,0,0,3
WV,West Virginia,24747,MERCER,0.06,0.06,0,0,0,3
WV,West Virginia,24801,WELCH,0.06,0.06,0,0,0,9
WV,West Virginia,24808,ANAWALT,0.06,0.06,0,0,0,2
WV,West Virginia,24811,MCDOWELL,0.06,0.06,0,0,0,2
WV,West Virginia,24813,MCDOWELL,0.06,0.06,0,0,0,1
WV,West Virginia,24815,MCDOWELL,0.06,0.06,0,0,0,3
WV,West Virginia,24816,MCDOWELL,0.06,0.06,0,0,0,1
WV,West Virginia,24817,BRADSHAW,0.06,0.06,0,0,0,1
WV,West Virginia,24818,WYOMING,0.06,0.06,0,0,0,1
WV,West Virginia,24822,WYOMING,0.06,0.06,0,0,0,1
WV,West Virginia,24823,WYOMING,0.06,0.06,0,0,0,1
WV,West Virginia,24826,MCDOWELL,0.06,0.06,0,0,0,1
WV,West Virginia,24827,WYOMING,0.06,0.06,0,0,0,1
WV,West Virginia,24828,MCDOWELL,0.06,0.06,0,0,0,2
WV,West Virginia,24829,MCDOWELL,0.06,0.06,0,0,0,1
