State,FullStateName,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
WY,Wyoming,82001,CHEYENNE,0.04,0.05,0.01,0,0,1
WY,Wyoming,82002,CHEYENNE,0.04,0.05,0.01,0,0,1
WY,Wyoming,82003,CHEYENNE,0.04,0.05,0.01,0,0,1
WY,Wyoming,82005,LARAMIE COUNTY,0.04,0.05,0.01,0,0,1
WY,Wyoming,82006,CHEYENNE,0.04,0.05,0.01,0,0,1
WY,Wyoming,82007,LARAMIE COUNTY,0.04,0.05,0.01,0,0,1
WY,Wyoming,82009,LARAMIE COUNTY,0.04,0.05,0.01,0,0,3
WY,Wyoming,82010,CHEYENNE,0.04,0.05,0.01,0,0,1
WY,Wyoming,82050,LARAMIE COUNTY,0.04,0.05,0.01,0,0,1
WY,Wyoming,82051,ALBANY COUNTY,0.04,0.06,0.02,0,0,3
WY,Wyoming,82052,ALBANY COUNTY,0.04,0.06,0.02,0,0,1
WY,Wyoming,82053,LARAMIE COUNTY,0.04,0.05,0.01,0,0,2
WY,Wyoming,82054,LARAMIE COUNTY,0.04,0.05,0.01,0,0,1
WY,Wyoming,82055,ALBANY COUNTY,0.04,0.06,0.02,0,0,1
WY,Wyoming,82058,ALBANY COUNTY,0.04,0.06,0.02,0,0,2
WY,Wyoming,82059,LARAMIE COUNTY,0.04,0.05,0.01,0,0,3
WY,Wyoming,82060,LARAMIE COUNTY,0.04,0.05,0.01,0,0,1
WY,Wyoming,82063,ALBANY COUNTY,0.04,0.06,0.02,0,0,3
WY,Wyoming,82070,LARAMIE,0.04,0.06,0.02,0,0,4
WY,Wyoming,82071,LARAMIE,0.04,0.06,0.02,0,0,1
WY,Wyoming,82072,LARAMIE,0.04,0.06,0.02,0,0,5
WY,Wyoming,82081,LARAMIE COUNTY,0.04,0.05,0.01,0,0,1
WY,Wyoming,82082,PINE BLUFFS,0.04,0.05,0.01,0,0,1
WY,Wyoming,82083,ROCK RIVER,0.04,0.06,0.02,0,0,3
WY,Wyoming,82084,ALBANY COUNTY,0.04,0.06,0.02,0,0,1
WY,Wyoming,82190,TETON COUNTY,0.04,0.06,0.02,0,0,3
WY,Wyoming,82201,WHEATLAND,0.04,0.06,0.02,0,0,3
WY,Wyoming,82210,CHUGWATER,0.04,0.06,0.02,0,0,2
WY,Wyoming,82212,GOSHEN COUNTY,0.04,0.0525,0.0125,0,0,1
WY,Wyoming,82213,PLATTE COUNTY,0.04,0.06,0.02,0,0,1
WY,Wyoming,82214,PLATTE COUNTY,0.04,0.06,0.02,0,0,1
WY,Wyoming,82215,HARTVILLE,0.04,0.06,0.02,0,0,2
WY,Wyoming,82217,GOSHEN COUNTY,0.04,0.0525,0.0125,0,0,1
WY,Wyoming,82218,GOSHEN COUNTY,0.04,0.0525,0.0125,0,0,1
WY,Wyoming,82219,GOSHEN COUNTY,0.04,0.0525,0.0125,0,0,1
WY,Wyoming,82221,GOSHEN COUNTY,0.04,0.0525,0.0125,0,0,1
WY,Wyoming,82222,NIOBRARA COUNTY,0.04,0.06,0.02,0,0,1
WY,Wyoming,82223,GOSHEN COUNTY,0.04,0.0525,0.0125,0,0,2
WY,Wyoming,82224,NIOBRARA COUNTY,0.04,0.06,0.02,0,0,1
WY,Wyoming,82225,NIOBRARA COUNTY,0.04,0.06,0.02,0,0,1
WY,Wyoming,82227,NIOBRARA COUNTY,0.04,0.06,0.02,0,0,1
WY,Wyoming,82229,CONVERSE COUNTY,0.04,0.05,0.01,0,0,1
WY,Wyoming,82240,TORRINGTON,0.04,0.0525,0.0125,0,0,2
WY,Wyoming,82242,VAN TASSELL,0.04,0.06,0.02,0,0,1
WY,Wyoming,82243,GOSHEN COUNTY,0.04,0.0525,0.0125,0,0,1
WY,Wyoming,82244,GOSHEN COUNTY,0.04,0.0525,0.0125,0,0,1
